cloudlet_id,arrival_time,length,pes_required,file_size,output_size
0,0,141958,2,141,70
1,0,151932,2,151,75
2,0,123694,3,123,61
3,0,139879,3,139,69
4,0,130268,2,130,65
5,1,74886,2,74,37
6,1,157337,4,157,78
7,1,107498,1,107,53
8,1,132727,1,132,66
9,1,146324,2,146,73
10,2,36023,1,36,18
11,2,61090,1,61,30
12,2,87221,1,87,43
13,2,84820,1,84,42
14,2,20769,1,20,10
15,3,79735,1,79,39
16,3,84925,1,84,42
17,3,25311,2,25,12
18,3,123355,2,123,61
19,3,105305,3,105,52
20,4,150608,4,150,75
21,4,104478,1,104,52
22,4,142537,1,142,71
23,4,150523,3,150,75
24,4,22747,1,22,11
25,5,143855,2,143,71
26,5,85725,1,85,42
27,5,149981,2,149,74
28,5,104654,5,104,52
29,5,139346,2,139,69
30,6,87435,1,87,43
31,6,76886,2,76,38
32,6,86803,1,86,43
33,6,51551,5,51,25
34,6,136216,1,136,68
35,7,31394,6,31,15
36,7,89092,2,89,44
37,7,23890,1,23,11
38,7,61606,2,61,30
39,7,107313,1,107,53
40,8,28792,2,28,14
41,8,88148,3,88,44
42,8,144243,2,144,72
43,8,140174,1,140,70
44,8,144358,6,144,72
45,9,68555,2,68,34
46,9,37159,1,37,18
47,9,130510,3,130,65
48,9,126530,2,126,63
49,9,100077,3,100,50
50,10,55920,1,55,27
51,10,39457,1,39,19
52,10,98953,1,98,49
53,10,72995,4,72,36
54,10,29692,1,29,14
55,11,57065,2,57,28
56,11,119299,1,119,59
57,11,31534,3,31,15
58,11,60397,1,60,30
59,11,111387,4,111,55
60,12,21016,3,21,10
61,12,75591,2,75,37
62,12,43247,3,43,21
63,12,44300,3,44,22
64,12,102798,3,102,51
65,13,29268,2,29,14
66,13,106807,4,106,53
67,13,32185,2,32,16
68,13,159643,2,159,79
69,13,58044,5,58,29
70,14,71214,1,71,35
71,14,134752,3,134,67
72,14,68984,1,68,34
73,14,60774,2,60,30
74,14,22568,1,22,11
75,15,140151,1,140,70
76,15,153767,5,153,76
77,15,144375,2,144,72
78,15,156330,1,156,78
79,15,59504,2,59,29
80,16,33986,1,33,16
81,16,81858,2,81,40
82,16,149312,2,149,74
83,16,32666,1,32,16
84,16,58660,5,58,29
85,17,154633,2,154,77
86,17,46854,1,46,23
87,17,84505,3,84,42
88,17,124488,1,124,62
89,17,42662,3,42,21
90,18,28392,2,28,14
91,18,50535,1,50,25
92,18,133569,1,133,66
93,18,72256,2,72,36
94,18,109135,2,109,54
95,19,147478,1,147,73
96,19,55222,1,55,27
97,19,97373,1,97,48
98,19,143684,1,143,71
99,19,30965,2,30,15
100,20,44538,1,44,22
101,20,128066,1,128,64
102,20,133252,2,133,66
103,20,159182,2,159,79
104,20,118806,3,118,59
105,21,157982,2,157,78
106,21,130989,1,130,65
107,21,110982,1,110,55
108,21,141626,1,141,70
109,21,139176,1,139,69
110,22,151278,1,151,75
111,22,142409,2,142,71
112,22,43419,1,43,21
113,22,70015,1,70,35
114,22,142096,3,142,71
115,23,127059,3,127,63
116,23,130687,1,130,65
117,23,107939,1,107,53
118,23,125878,4,125,62
119,23,82623,1,82,41
120,24,95450,1,95,47
121,24,113426,1,113,56
122,24,137845,4,137,68
123,24,63585,1,63,31
124,24,129225,3,129,64
125,25,84044,2,84,42
126,25,129556,3,129,64
127,25,22693,2,22,11
128,25,115259,3,115,57
129,25,45939,1,45,22
130,26,38047,1,38,19
131,26,46105,1,46,23
132,26,95766,1,95,47
133,26,64262,2,64,32
134,26,145117,2,145,72
135,27,43776,1,43,21
136,27,148376,3,148,74
137,27,157848,1,157,78
138,27,112787,1,112,56
139,27,147948,7,147,73
140,28,75016,1,75,37
141,28,41959,1,41,20
142,28,156602,1,156,78
143,28,139101,4,139,69
144,28,23748,1,23,11
145,29,33545,2,33,16
146,29,147659,3,147,73
147,29,93530,4,93,46
148,29,113557,2,113,56
149,29,81087,2,81,40
150,30,88840,3,88,44
151,30,138451,1,138,69
152,30,71005,2,71,35
153,30,59353,2,59,29
154,30,72733,3,72,36
155,31,85318,1,85,42
156,31,87172,4,87,43
157,31,113264,3,113,56
158,31,46736,1,46,23
159,31,132859,2,132,66
160,32,132181,1,132,66
161,32,151926,6,151,75
162,32,110084,2,110,55
163,32,27392,1,27,13
164,32,75680,3,75,37
165,33,70859,3,70,35
166,33,145657,3,145,72
167,33,90467,1,90,45
168,33,118506,1,118,59
169,33,129751,1,129,64
170,34,138906,1,138,69
171,34,45342,2,45,22
172,34,126308,1,126,63
173,34,126081,1,126,63
174,34,109045,2,109,54
175,35,54698,2,54,27
176,35,130078,1,130,65
177,35,100623,4,100,50
178,35,42671,2,42,21
179,35,113384,1,113,56
180,36,106202,4,106,53
181,36,71663,2,71,35
182,36,35708,1,35,17
183,36,111906,1,111,55
184,36,69811,3,69,34
185,37,153883,5,153,76
186,37,76250,1,76,38
187,37,132547,2,132,66
188,37,144249,1,144,72
189,37,54754,2,54,27
190,38,153983,4,153,76
191,38,159752,1,159,79
192,38,104896,1,104,52
193,38,91295,1,91,45
194,38,120689,1,120,60
195,39,31111,1,31,15
196,39,57504,2,57,28
197,39,152874,1,152,76
198,39,28155,3,28,14
199,39,59384,1,59,29
200,40,132561,1,132,66
201,40,67254,1,67,33
202,40,41918,1,41,20
203,40,105981,1,105,52
204,40,50306,2,50,25
205,41,66843,4,66,33
206,41,140975,2,140,70
207,41,116601,1,116,58
208,41,127512,1,127,63
209,41,131472,2,131,65
210,42,153121,1,153,76
211,42,123727,1,123,61
212,42,132893,1,132,66
213,42,40932,5,40,20
214,42,137796,2,137,68
215,43,49855,2,49,24
216,43,27400,2,27,13
217,43,137858,2,137,68
218,43,35151,2,35,17
219,43,86690,2,86,43
220,44,24499,1,24,12
221,44,26295,1,26,13
222,44,140885,2,140,70
223,44,146071,3,146,73
224,44,79040,2,79,39
225,45,32183,1,32,16
226,45,136336,1,136,68
227,45,52711,1,52,26
228,45,25539,1,25,12
229,45,146063,2,146,73
230,46,153629,1,153,76
231,46,58360,2,58,29
232,46,153272,1,153,76
233,46,41357,1,41,20
234,46,139121,3,139,69
235,47,97505,2,97,48
236,47,22869,4,22,11
237,47,70108,1,70,35
238,47,132296,2,132,66
239,47,114179,1,114,57
240,48,110272,1,110,55
241,48,58467,2,58,29
242,48,43328,4,43,21
243,48,111412,1,111,55
244,48,155059,1,155,77
245,49,78871,5,78,39
246,49,148391,3,148,74
247,49,106416,1,106,53
248,49,90271,2,90,45
249,49,64064,3,64,32
250,50,127450,2,127,63
251,50,39830,2,39,19
252,50,157965,4,157,78
253,50,136381,1,136,68
254,50,67333,1,67,33
255,51,154508,2,154,77
256,51,96213,1,96,48
257,51,156967,2,156,78
258,51,50746,1,50,25
259,51,69377,1,69,34
260,52,74045,4,74,37
261,52,117888,1,117,58
262,52,127455,3,127,63
263,52,156672,3,156,78
264,52,113179,1,113,56
265,53,65714,2,65,32
266,53,122946,2,122,61
267,53,129616,3,129,64
268,53,125983,2,125,62
269,53,144123,1,144,72
270,54,63484,2,63,31
271,54,102989,1,102,51
272,54,56212,1,56,28
273,54,63525,1,63,31
274,54,83208,3,83,41
275,55,53828,2,53,26
276,55,23420,2,23,11
277,55,116752,3,116,58
278,55,151373,5,151,75
279,55,135294,4,135,67
280,56,144019,1,144,72
281,56,85726,1,85,42
282,56,135668,1,135,67
283,56,26102,2,26,13
284,56,138015,1,138,69
285,57,46641,4,46,23
286,57,123746,3,123,61
287,57,56631,1,56,28
288,57,92991,1,92,46
289,57,24014,1,24,12
290,58,31093,2,31,15
291,58,38070,4,38,19
292,58,55777,2,55,27
293,58,76958,2,76,38
294,58,102074,1,102,51
295,59,30729,4,30,15
296,59,125864,1,125,62
297,59,150858,4,150,75
298,59,125510,2,125,62
299,59,74748,2,74,37
300,60,25801,2,25,12
301,60,49592,1,49,24
302,60,30647,3,30,15
303,60,159788,5,159,79
304,60,130627,1,130,65
305,61,90316,1,90,45
306,61,22368,2,22,11
307,61,97575,2,97,48
308,61,26655,1,26,13
309,61,90031,2,90,45
310,62,107922,1,107,53
311,62,144046,5,144,72
312,62,52097,3,52,26
313,62,144862,1,144,72
314,62,138834,5,138,69
315,63,113848,1,113,56
316,63,72921,3,72,36
317,63,146141,2,146,73
318,63,42677,2,42,21
319,63,75609,4,75,37
320,64,51024,2,51,25
321,64,90313,4,90,45
322,64,147813,3,147,73
323,64,115285,2,115,57
324,64,133632,2,133,66
325,65,23051,1,23,11
326,65,134692,1,134,67
327,65,107235,2,107,53
328,65,93523,1,93,46
329,65,114476,1,114,57
330,66,37019,5,37,18
331,66,103613,4,103,51
332,66,106672,2,106,53
333,66,93847,4,93,46
334,66,102750,1,102,51
335,67,48251,1,48,24
336,67,123481,4,123,61
337,67,132566,2,132,66
338,67,45945,3,45,22
339,67,110852,3,110,55
340,68,52217,1,52,26
341,68,28308,3,28,14
342,68,25949,1,25,12
343,68,152222,3,152,76
344,68,120235,1,120,60
345,69,94740,3,94,47
346,69,136352,4,136,68
347,69,86617,1,86,43
348,69,36896,2,36,18
349,69,150798,2,150,75
350,70,158877,2,158,79
351,70,25237,3,25,12
352,70,40056,1,40,20
353,70,134548,4,134,67
354,70,131488,3,131,65
355,71,154415,1,154,77
356,71,49375,1,49,24
357,71,36964,1,36,18
358,71,133429,1,133,66
359,71,87215,2,87,43
360,72,89042,1,89,44
361,72,113468,2,113,56
362,72,29435,3,29,14
363,72,98832,1,98,49
364,72,71293,2,71,35
365,73,98781,1,98,49
366,73,63919,3,63,31
367,73,141172,4,141,70
368,73,114758,3,114,57
369,73,76573,1,76,38
370,74,79101,1,79,39
371,74,46646,1,46,23
372,74,124185,2,124,62
373,74,43049,3,43,21
374,74,118116,5,118,59
375,75,117379,2,117,58
376,75,88385,2,88,44
377,75,146131,1,146,73
378,75,43289,1,43,21
379,75,130226,1,130,65
380,76,120793,1,120,60
381,76,29823,2,29,14
382,76,61975,5,61,30
383,76,29540,2,29,14
384,76,36364,2,36,18
385,77,155683,2,155,77
386,77,47663,1,47,23
387,77,71991,1,71,35
388,77,124182,1,124,62
389,77,114704,1,114,57
390,78,69115,1,69,34
391,78,111007,2,111,55
392,78,31938,4,31,15
393,78,111680,1,111,55
394,78,24000,3,24,12
395,79,121042,1,121,60
396,79,113610,2,113,56
397,79,123691,1,123,61
