cloudlet_id,arrival_time,length,pes_required,file_size,output_size
0,0,773664,1,773,386
1,0,577447,1,577,288
2,0,343333,1,343,171
3,0,322994,2,322,161
4,0,181170,1,181,90
5,0,240686,1,240,120
6,0,585007,2,585,292
7,1,365966,1,365,182
8,1,621842,1,621,310
9,1,204179,1,204,102
10,1,529088,3,529,264
11,1,722600,1,722,361
12,1,648863,4,648,324
13,1,629734,2,629,314
14,1,435272,2,435,217
15,1,676305,2,676,338
16,1,516891,2,516,258
17,1,375809,2,375,187
18,1,357866,1,357,178
19,2,264384,1,264,132
20,2,554837,1,554,277
21,2,791206,2,791,395
22,2,446933,2,446,223
23,2,515822,2,515,257
24,2,450299,1,450,225
25,2,361577,3,361,180
26,2,288910,1,288,144
27,2,214030,2,214,107
28,3,429629,1,429,214
29,3,662399,1,662,331
30,3,392051,2,392,196
31,3,503164,1,503,251
32,3,637161,1,637,318
33,3,308104,3,308,154
34,3,140591,2,140,70
35,3,520660,3,520,260
36,3,702707,4,702,351
37,3,759523,1,759,379
38,3,517922,1,517,258
39,3,273149,2,273,136
40,4,155264,2,155,77
41,4,478727,2,478,239
42,4,131280,1,131,65
43,4,717847,2,717,358
44,4,750305,2,750,375
45,4,678976,1,678,339
46,4,646863,2,646,323
47,4,452299,1,452,226
48,4,552312,7,552,276
49,5,250417,2,250,125
50,5,262886,2,262,131
51,5,477746,2,477,238
52,5,128081,3,128,64
53,5,421079,4,421,210
54,5,795608,3,795,397
55,5,263049,1,263,131
56,6,471279,1,471,235
57,6,205289,1,205,102
58,6,632294,1,632,316
59,6,693296,2,693,346
60,6,453318,3,453,226
61,6,566987,2,566,283
62,6,663656,2,663,331
63,6,600647,1,600,300
64,7,315676,1,315,157
65,7,796195,3,796,398
66,7,356822,2,356,178
67,7,177155,1,177,88
68,7,598440,2,598,299
69,7,279833,1,279,139
70,7,690865,5,690,345
71,8,611492,4,611,305
72,8,558827,2,558,279
73,8,766338,2,766,383
74,8,359029,1,359,179
75,8,200866,1,200,100
76,8,461072,3,461,230
77,8,220537,3,220,110
78,9,303434,2,303,151
79,9,484748,4,484,242
80,9,472376,3,472,236
81,10,190546,2,190,95
82,10,721212,3,721,360
83,10,355101,3,355,177
84,10,541955,4,541,270
85,10,488498,2,488,244
86,10,552661,4,552,276
87,10,457703,2,457,228
88,10,364020,1,364,182
89,10,402027,2,402,201
90,10,308745,1,308,154
91,11,774275,1,774,387
92,11,727946,5,727,363
93,11,669579,1,669,334
94,11,666533,1,666,333
95,11,617046,1,617,308
96,11,340811,3,340,170
97,11,522645,2,522,261
98,11,387114,3,387,193
99,11,387421,2,387,193
100,11,658066,2,658,329
