cloudlet_id,arrival_time,length,pes_required,file_size,output_size
0,0,221958,4,221,110
1,0,771155,1,771,385
2,0,231932,2,231,115
3,0,465838,1,465,232
4,0,359178,1,359,179
5,0,744167,1,744,372
6,0,210268,1,210,105
7,0,154886,2,154,77
8,0,237337,3,237,118
9,0,621430,1,621,310
10,1,187498,3,187,93
11,1,275203,2,275,137
12,1,291335,1,291,145
13,1,378167,2,378,189
14,1,141090,1,141,70
15,1,429365,2,429,214
16,1,164820,2,164,82
17,1,421879,1,421,210
18,1,427069,1,427,213
19,1,299041,2,299,149
20,2,203355,4,203,101
21,2,335796,1,335,167
22,2,314176,3,314,157
23,2,284779,2,284,142
24,2,447449,4,447,223
25,2,521909,3,521,260
26,2,358795,2,358,179
27,2,586232,2,586,293
28,2,600186,4,600,300
29,2,256730,1,256,128
30,3,484681,1,484,242
31,3,249503,1,249,124
32,3,754811,3,754,377
33,3,627035,3,627,313
34,3,748143,1,748,374
35,3,552366,2,552,276
36,3,165725,2,165,82
37,3,229981,1,229,114
38,3,184654,6,184,92
39,3,691723,1,691,345
40,4,419030,1,419,209
41,4,428947,2,428,214
42,4,655839,3,655,327
43,4,373538,1,373,186
44,4,431236,2,431,215
45,4,628178,2,628,314
46,4,665894,1,665,332
47,4,589492,1,589,294
48,4,356840,2,356,178
49,4,573254,1,573,286
50,5,449457,4,449,224
51,5,765987,3,765,382
52,5,370936,6,370,185
53,5,339931,1,339,169
54,5,339629,5,339,169
55,5,305041,2,305,152
56,5,798361,1,798,399
57,5,517113,1,517,258
58,5,168148,1,168,84
59,5,748531,2,748,374
60,6,351995,2,351,175
61,6,778843,1,778,389
62,6,672843,2,672,336
63,6,356508,1,356,178
64,6,206530,2,206,103
65,6,704365,1,704,352
66,6,560337,3,560,280
67,6,559773,3,559,279
68,6,308261,2,308,154
69,6,441097,1,441,220
70,7,415139,1,415,207
71,7,271829,3,271,135
72,7,371836,1,371,185
73,7,538974,1,538,269
74,7,302283,1,302,151
75,7,296769,2,296,148
76,7,661353,2,661,330
77,7,323165,3,323,161
78,7,723587,1,723,361
79,7,635822,1,635,317
80,8,587879,3,587,293
81,8,664685,3,664,332
82,8,453531,1,453,226
83,8,363160,2,363,181
84,8,679879,1,679,339
85,8,320884,4,320,160
86,8,123247,1,123,61
87,8,124300,4,124,62
88,8,567281,2,567,283
89,8,707086,2,707,353
90,9,633556,1,633,316
91,9,448951,2,448,224
92,9,374329,2,374,187
93,9,532315,1,532,266
94,9,616588,2,616,308
95,9,336584,5,336,168
96,9,662332,2,662,331
97,9,476896,3,476,238
98,9,148984,1,148,74
99,9,402918,2,402,201
100,10,364712,1,364,182
101,10,220151,2,220,110
102,10,555808,4,555,277
103,10,233767,2,233,116
104,10,748663,1,748,374
105,10,236330,1,236,118
106,10,580754,2,580,290
107,10,401648,2,401,200
108,10,788519,3,788,394
109,10,113986,3,113,56
110,11,686146,2,686,343
111,11,229312,1,229,114
112,11,112666,1,112,56
113,11,400804,1,400,200
114,11,234633,1,234,117
115,11,388998,2,388,194
116,11,728776,2,728,364
117,11,384806,2,384,192
118,11,130535,1,130,65
119,11,475713,1,475,237
120,12,451279,1,451,225
121,12,701661,1,701,350
122,12,747972,3,747,373
123,12,589570,1,589,294
124,12,556551,2,556,278
125,12,373109,1,373,186
126,12,124538,4,124,62
127,12,301664,2,301,150
128,12,591234,1,591,295
129,12,239182,2,239,119
130,13,572525,3,572,286
131,13,258338,5,258,129
132,13,284064,1,284,142
133,13,314020,4,314,157
134,13,723094,4,723,361
135,13,715270,4,715,357
136,13,745914,2,745,372
137,13,219176,2,219,109
138,13,318126,2,318,159
139,13,318969,3,318,159
140,14,222409,2,222,111
141,14,647707,2,647,323
142,14,353618,2,353,176
143,14,150015,3,150,75
144,14,222096,3,222,111
145,14,731347,1,731,365
146,14,285340,3,285,142
147,14,210687,2,210,105
148,14,511357,3,511,255
149,14,205878,2,205,102
150,15,298286,1,298,149
151,15,264899,4,264,132
152,15,424767,1,424,212
153,15,479989,3,479,239
154,15,515515,2,515,257
155,15,143585,2,143,71
156,15,471369,1,471,235
157,15,164044,2,164,82
158,15,542296,1,542,271
159,15,209556,1,209,104
160,16,626981,1,626,313
161,16,300235,1,300,150
162,16,125939,5,125,62
163,16,252906,5,252,126
164,16,642335,1,642,321
165,16,388249,3,388,194
166,16,175766,1,175,87
167,16,508923,2,508,254
168,16,515192,3,515,257
169,16,668550,4,668,334
170,17,487261,2,487,243
171,17,785440,3,785,392
172,17,752664,1,752,376
173,17,554589,7,554,277
174,17,237848,1,237,118
175,17,717075,2,717,358
176,17,227948,2,227,113
177,17,679304,2,679,339
178,17,502690,1,502,251
179,17,599046,4,599,299
180,18,551269,1,551,275
181,18,121959,2,121,60
182,18,760890,1,760,380
183,18,328576,1,328,164
184,18,637833,2,637,318
185,18,265838,2,265,132
186,18,435674,1,435,217
187,18,161087,1,161,80
188,18,693128,2,693,346
189,18,218451,3,218,109
190,19,547600,4,547,273
191,19,539792,1,539,269
192,19,139353,1,139,69
193,19,293075,1,293,146
194,19,314283,1,314,157
195,19,414877,2,414,207
196,19,165318,2,165,82
197,19,582690,1,582,291
198,19,516880,1,516,258
199,19,691460,1,691,345
200,20,193264,3,193,96
201,20,325281,5,325,162
202,20,737147,1,737,368
203,20,494070,1,494,247
204,20,452228,4,452,226
205,20,531839,4,531,265
206,20,369536,2,369,184
207,20,417824,1,417,208
208,20,357426,1,357,178
209,20,277789,2,277,138
210,21,613153,1,613,306
211,21,225657,1,225,112
212,21,335167,2,335,167
213,21,781669,1,781,390
214,21,580671,3,580,290
215,21,170467,1,170,85
216,21,283734,1,283,141
217,21,722794,2,722,361
218,21,209751,1,209,104
219,21,481050,5,481,240
220,22,792517,2,792,396
221,22,561079,1,561,280
222,22,468452,3,468,234
223,22,206081,1,206,103
224,22,713333,4,713,356
225,22,658986,1,658,329
226,22,210078,2,210,105
227,22,122671,1,122,61
228,22,518400,2,518,259
229,22,455528,3,455,227
230,23,710490,3,710,355
231,23,151663,1,151,75
232,23,115708,1,115,57
233,23,411955,3,411,205
234,23,233883,4,233,116
235,23,418394,1,418,209
236,23,212547,2,212,106
237,23,659042,1,659,329
238,23,242483,4,242,121
239,23,758271,1,758,379
240,24,314835,1,314,157
241,24,501896,3,501,250
242,24,184896,1,184,92
243,24,577095,2,577,288
244,24,171295,2,171,85
245,24,373255,1,373,186
246,24,399648,1,399,199
247,24,757162,2,757,378
248,24,108155,1,108,54
249,24,566872,2,566,283
250,25,474705,3,474,237
251,25,671542,3,671,335
252,25,710269,1,710,355
253,25,654594,1,654,327
254,25,247718,1,247,123
255,25,408987,1,408,204
256,25,745263,2,745,372
257,25,458745,2,458,229
258,25,207512,1,207,103
259,25,247443,1,247,123
260,26,570587,1,570,285
261,26,473616,2,473,236
262,26,757409,1,757,378
263,26,786976,2,786,393
264,26,465871,1,465,232
265,26,475037,4,475,237
266,26,217796,4,217,108
267,26,391999,1,391,195
268,26,292506,1,292,146
269,26,798376,2,798,399
270,27,369544,1,369,184
271,27,480002,2,480,240
272,27,798002,3,798,399
273,27,639439,2,639,319
274,27,690978,3,690,345
275,27,628787,1,628,314
276,27,630583,1,630,315
277,27,488215,3,488,244
278,27,421184,1,421,210
279,27,522515,2,522,261
280,28,768234,1,768,384
281,28,478480,1,478,239
282,28,132711,7,132,66
283,28,601157,1,601,300
284,28,284423,6,284,142
285,28,616349,5,616,308
286,28,757917,3,757,378
287,28,233272,2,233,116
288,28,743409,2,743,371
289,28,177505,4,177,88
290,29,102869,1,102,51
291,29,554351,2,554,277
292,29,412252,2,412,206
293,29,736584,2,736,368
294,29,718467,2,718,359
295,29,190272,1,190,95
296,29,138467,2,138,69
297,29,580047,4,580,290
298,29,759347,1,759,379
299,29,158871,4,158,79
300,30,228391,2,228,114
301,30,539430,3,539,269
302,30,710704,2,710,355
303,30,356687,3,356,178
304,30,207450,1,207,103
305,30,271890,3,271,135
306,30,538741,1,538,269
307,30,381974,4,381,190
308,30,500109,7,500,250
309,30,216381,1,216,108
310,31,573125,1,573,286
311,31,671621,3,671,335
312,31,234508,1,234,117
313,31,499111,4,499,249
314,31,250810,1,250,125
315,31,392890,1,392,196
316,31,673665,5,673,336
317,31,460032,2,460,230
318,31,469599,3,469,234
319,31,760960,1,760,380
320,32,271836,2,271,135
321,32,145714,2,145,72
322,32,727234,2,727,363
323,32,730271,2,730,365
324,32,566960,2,566,283
325,32,224123,2,224,112
326,32,405628,1,405,202
327,32,182989,3,182,91
328,32,398356,1,398,199
329,32,278274,2,278,139
330,33,787995,1,787,393
331,33,425352,2,425,212
332,33,511927,3,511,255
333,33,231373,1,231,115
334,33,538452,1,538,269
335,33,215294,1,215,107
