cloudlet_id,arrival_time,length,pes_required,file_size,output_size
0,0,92317,1,92,46
1,0,70530,1,70,35
2,0,101099,3,101,50
3,0,45888,3,45,22
4,0,85836,2,85,42
5,0,130478,4,130,65
6,0,68990,3,68,34
7,1,106544,2,106,53
8,1,83627,5,83,41
9,1,148345,2,148,74
10,1,92843,2,92,46
11,1,49251,2,49,24
12,2,94418,4,94,47
13,2,72620,1,72,36
14,2,30040,1,30,15
15,2,157041,1,157,78
16,2,33162,1,33,16
17,2,85435,1,85,42
18,2,138504,3,138,69
19,2,94667,2,94,47
20,2,148658,1,148,74
21,2,25037,3,25,12
22,2,80526,2,80,40
23,2,107914,2,107,53
24,2,112162,1,112,56
25,3,79090,4,79,39
26,3,153523,1,153,76
27,3,85560,1,85,42
28,3,157034,1,157,78
29,3,109552,3,109,54
30,3,36444,2,36,18
31,3,60443,1,60,30
32,3,117229,1,117,58
33,4,132314,2,132,66
34,4,44248,2,44,22
35,4,147521,1,147,73
36,4,88008,3,88,44
37,4,80309,5,80,40
38,4,63237,1,63,31
39,5,146967,2,146,73
40,5,28104,1,28,14
41,5,103230,3,103,51
42,5,110266,2,110,55
43,5,54980,1,54,27
44,5,94990,3,94,47
45,5,29554,3,29,14
46,5,111049,1,111,55
47,5,68167,1,68,34
48,6,87238,1,87,43
49,6,37038,2,37,18
50,6,155343,3,155,77
51,6,47397,2,47,23
52,7,94491,2,94,47
53,7,49602,3,49,24
54,7,74471,2,74,37
55,7,117081,2,117,58
56,7,43116,2,43,21
57,8,26674,4,26,13
58,8,25446,1,25,12
59,8,144809,1,144,72
60,8,40760,1,40,20
61,8,21963,3,21,10
62,8,128281,2,128,64
63,8,25177,1,25,12
64,8,31160,6,31,15
65,8,122876,4,122,61
66,8,27543,5,27,13
67,8,127211,1,127,63
68,8,59278,4,59,29
69,9,154395,1,154,77
70,9,72105,1,72,36
71,9,96151,1,96,48
72,9,86968,2,86,43
73,10,83830,1,83,41
74,10,93967,2,93,46
75,10,159402,3,159,79
76,10,28611,1,28,14
77,10,33872,1,33,16
78,10,69455,1,69,34
79,10,54930,4,54,27
80,10,92022,1,92,46
81,11,82714,2,82,41
82,11,144906,1,144,72
83,11,128722,4,128,64
84,11,86704,1,86,43
85,11,20415,2,20,10
86,11,96441,2,96,48
87,11,131736,4,131,65
88,11,90779,1,90,45
89,12,108444,2,108,54
90,12,124448,1,124,62
91,12,29888,5,29,14
92,12,144790,2,144,72
93,12,78765,2,78,39
94,12,35935,2,35,17
95,12,93002,1,93,46
96,12,100631,1,100,50
97,13,21320,2,21,10
98,13,66032,5,66,33
99,13,97763,1,97,48
100,13,58002,4,58,29
101,13,58912,1,58,29
102,13,20552,4,20,10
103,13,40140,1,40,20
104,13,105591,1,105,52
105,13,53367,2,53,26
106,13,44061,3,44,22
107,14,116590,3,116,58
108,14,62124,2,62,31
109,14,153054,2,153,76
110,14,136322,1,136,68
111,14,126134,1,126,63
112,14,55765,1,55,27
113,14,102606,2,102,51
114,14,116422,2,116,58
115,15,129910,3,129,64
116,15,74681,3,74,37
117,15,82349,1,82,41
118,15,120063,3,120,60
119,15,83474,1,83,41
120,16,42592,3,42,21
121,16,132196,1,132,66
122,16,43618,3,43,21
123,16,71632,2,71,35
124,16,29529,2,29,14
125,16,142164,2,142,71
126,16,44154,1,44,22
127,17,52882,1,52,26
128,17,64917,2,64,32
129,17,102488,3,102,51
130,17,35701,1,35,17
131,17,88225,1,88,44
132,17,139278,2,139,69
133,17,22988,2,22,11
134,17,55919,2,55,27
135,17,29013,4,29,14
