cloudlet_id,arrival_time,length,pes_required,file_size,output_size
0,0,692891,1,692,346
1,0,359449,2,359,179
2,0,1426872,1,1426,713
3,0,1010843,4,1010,505
4,0,612138,5,612,306
5,0,546252,2,546,273
6,0,501909,1,501,250
7,1,1030966,6,1030,515
8,1,739417,2,739,369
9,1,200000,1,200,100
10,1,200000,4,200,100
11,1,668251,2,668,334
12,1,1232296,2,1232,616
13,2,1221653,2,1221,610
14,2,1244542,8,1244,622
15,2,244565,3,244,122
16,2,1738734,4,1738,869
17,2,488720,6,488,244
18,3,279746,2,279,139
19,3,1186033,3,1186,593
20,4,1039538,3,1039,519
21,4,376189,8,376,188
22,4,336701,2,336,168
23,5,1289329,8,1289,644
24,5,917626,4,917,458
25,6,440832,5,440,220
26,6,458575,3,458,229
27,6,491885,2,491,245
28,6,212309,1,212,106
29,6,227613,1,227,113
30,7,1302622,2,1302,651
31,7,516370,3,516,258
32,7,377986,1,377,188
33,7,1885119,2,1885,942
34,8,567446,2,567,283
35,8,472434,1,472,236
36,8,1284889,4,1284,642
37,8,1416049,2,1416,708
38,8,291029,1,291,145
39,8,757355,2,757,378
40,9,356158,4,356,178
41,9,706162,3,706,353
42,9,632284,1,632,316
43,9,515284,1,515,257
44,10,943984,8,943,471
45,10,647064,7,647,323
46,11,622741,1,622,311
47,11,1058922,8,1058,529
48,11,769978,2,769,384
49,11,588059,4,588,294
50,11,1048258,3,1048,524
51,11,390150,5,390,195
52,11,413547,8,413,206
53,11,564713,3,564,282
54,12,636794,3,636,318
55,12,1105195,5,1105,552
56,12,1453377,1,1453,726
57,12,1010781,5,1010,505
58,13,573130,1,573,286
59,13,651801,1,651,325
60,13,200000,3,200,100
61,13,1584043,6,1584,792
62,13,1027267,2,1027,513
63,14,817932,2,817,408
64,14,1049919,1,1049,524
65,14,1234191,2,1234,617
66,14,2000000,2,2000,1000
67,14,567997,1,567,283
68,14,711823,2,711,355
69,15,329880,5,329,164
70,15,753971,3,753,376
71,15,533557,2,533,266
72,15,1047691,6,1047,523
73,16,538885,3,538,269
74,16,1145414,2,1145,572
75,16,289786,7,289,144
76,17,426117,8,426,213
77,17,1152673,1,1152,576
78,17,728478,1,728,364
79,17,601351,6,601,300
80,17,507705,1,507,253
81,18,506493,4,506,253
82,18,471903,4,471,235
83,18,382210,3,382,191
84,18,1119556,1,1119,559
85,18,654821,1,654,327
86,19,315501,7,315,157
87,19,1245802,3,1245,622
88,19,631020,1,631,315
89,19,483534,4,483,241
90,19,858574,7,858,429
91,19,682187,7,682,341
92,20,265787,2,265,132
93,20,723010,8,723,361
94,20,304118,7,304,152
95,21,591118,8,591,295
96,21,405442,8,405,202
97,21,1659742,2,1659,829
98,21,661758,7,661,330
99,22,344469,6,344,172
100,22,1171615,1,1171,585
101,22,746404,3,746,373
102,22,1214135,3,1214,607
103,23,459321,2,459,229
104,23,744700,2,744,372
105,23,617271,2,617,308
106,23,330209,3,330,165
107,24,1298784,1,1298,649
108,25,593569,1,593,296
109,25,302010,1,302,151
110,25,472290,5,472,236
111,25,280705,1,280,140
112,25,872320,4,872,436
113,25,969914,4,969,484
114,25,572131,1,572,286
115,25,893987,1,893,446
116,25,919258,5,919,459
117,26,418057,7,418,209
118,26,214047,2,214,107
119,26,1118714,4,1118,559
120,26,2000000,8,2000,1000
121,26,1077222,4,1077,538
122,26,598774,7,598,299
123,26,439698,7,439,219
124,26,868139,7,868,434
125,27,310699,2,310,155
126,27,449095,2,449,224
127,27,864384,2,864,432
128,27,319407,1,319,159
129,27,345781,2,345,172
130,28,1596977,3,1596,798
131,28,1066520,5,1066,533
132,28,385841,8,385,192
133,28,656781,3,656,328
134,29,1253794,4,1253,626
135,29,844679,2,844,422
136,29,2000000,4,2000,1000
137,29,329968,6,329,164
138,29,804679,8,804,402
139,30,396278,4,396,198
140,30,655806,4,655,327
141,30,1131519,4,1131,565
142,30,1286475,6,1286,643
143,31,635105,2,635,317
144,31,1058253,5,1058,529
145,31,960513,2,960,480
146,31,1207959,7,1207,603
147,31,1376661,2,1376,688
148,32,785900,1,785,392
149,32,603839,7,603,301
150,32,1182234,2,1182,591
151,32,653838,3,653,326
152,32,486046,2,486,243
153,34,648917,2,648,324
154,34,1172513,3,1172,586
155,35,427067,2,427,213
156,35,1159975,7,1159,579
157,36,207333,3,207,103
158,36,1293569,4,1293,646
159,36,2000000,2,2000,1000
160,36,487712,1,487,243
161,36,360587,3,360,180
162,36,1222140,2,1222,611
163,37,441302,8,441,220
164,37,1261802,4,1261,630
165,38,637244,2,637,318
166,38,1215881,4,1215,607
167,38,743694,4,743,371
168,39,791423,2,791,395
169,39,646402,4,646,323
170,39,443784,4,443,221
171,39,952129,4,952,476
172,39,1423749,5,1423,711
173,40,764125,8,764,382
174,40,686265,8,686,343
175,40,226174,2,226,113
176,41,517694,1,517,258
177,41,816926,5,816,408
178,41,399951,2,399,199
179,41,1107809,4,1107,553
180,41,643733,1,643,321
181,42,1732193,2,1732,866
182,42,498665,2,498,249
183,42,1097289,4,1097,548
184,42,783306,7,783,391
185,42,729841,1,729,364
186,42,828182,7,828,414
187,42,1106583,1,1106,553
188,43,1116879,4,1116,558
189,43,662651,4,662,331
190,43,514790,2,514,257
191,43,1334309,4,1334,667
192,43,472627,5,472,236
193,44,287249,3,287,143
194,44,291916,6,291,145
195,44,837895,7,837,418
196,44,253083,3,253,126
197,44,536961,4,536,268
198,44,768846,1,768,384
199,44,374109,7,374,187
200,44,2000000,2,2000,1000
201,44,1305884,1,1305,652
202,44,750538,6,750,375
203,45,976382,1,976,488
204,45,668742,3,668,334
205,45,508980,7,508,254
206,45,1174310,1,1174,587
207,45,492306,6,492,246
208,46,687775,5,687,343
209,47,541499,1,541,270
210,47,496785,2,496,248
211,47,260080,7,260,130
212,47,581675,4,581,290
213,47,578311,2,578,289
214,47,756689,5,756,378
215,47,755248,1,755,377
216,48,953864,1,953,476
217,48,711630,6,711,355
