cloudlet_id,arrival_time,length,pes_required,file_size,output_size,deadline
0,1,52000000,1,40000,20000,1847
1,4,13884000,1,10680,5340,676
2,18,9412000,1,7240,3620,993
3,19,15444000,1,11880,5940,3141
4,25,19656000,1,15120,7560,1076
5,25,15548000,1,11960,5980,2603
6,43,14144000,1,10880,5440,1118
7,51,52000000,1,40000,20000,2124
8,53,38688000,1,29760,14880,1904
9,55,13936000,1,10720,5360,635
10,62,11544000,1,8880,4440,658
11,63,9360000,1,7200,3600,910
12,72,52000000,1,40000,20000,1954
13,74,8840000,1,6800,3400,622
14,86,52000000,1,40000,20000,2914
15,89,24648000,1,18960,9480,1159
16,101,52000000,1,40000,20000,3773
17,101,19396000,1,14920,7460,2742
18,102,16640000,1,12800,6400,830
19,103,9360000,1,7200,3600,1539
20,107,52000000,1,40000,20000,4323
21,111,21164000,1,16280,8140,2748
22,113,52000000,1,40000,20000,2006
23,114,17888000,1,13760,6880,1010
24,124,18668000,1,14360,7180,991
25,124,24544000,1,18880,9440,2515
26,126,9204000,1,7080,3540,1159
27,131,31304000,1,24080,12040,1401
28,133,19240000,1,14800,7400,1290
29,136,35516000,1,27320,13660,1433
30,140,52000000,1,40000,20000,2270
31,148,37180000,1,28600,14300,1290
32,150,16536000,1,12720,6360,919
33,157,14456000,1,11120,5560,982
34,160,9932000,1,7640,3820,3300
35,161,10868000,1,8360,4180,1145
36,161,30472000,1,23440,11720,2349
37,166,28340000,1,21800,10900,1210
38,169,38324000,1,29480,14740,3303
39,169,23972000,1,18440,9220,1241
40,171,52000000,1,40000,20000,4299
41,173,52000000,1,40000,20000,3194
42,174,25896000,1,19920,9960,1148
43,178,18720000,1,14400,7200,2023
44,178,24024000,1,18480,9240,1282
45,181,12584000,1,9680,4840,1046
46,186,52000000,1,40000,20000,3287
47,190,9776000,1,7520,3760,2146
48,193,10400000,1,8000,4000,692
49,194,52000000,1,40000,20000,1964
50,200,33696000,1,25920,12960,2605
51,205,11596000,1,8920,4460,1064
52,210,16016000,1,12320,6160,1029
53,210,41392000,1,31840,15920,3368
54,211,28964000,1,22280,11140,1629
55,213,9308000,1,7160,3580,816
56,218,8684000,1,6680,3340,2058
57,221,52000000,1,40000,20000,3447
58,226,52000000,1,40000,20000,3696
59,226,43836000,1,33720,16860,2123
60,230,11440000,1,8800,4400,748
61,230,52000000,1,40000,20000,1865
62,231,20904000,1,16080,8040,1171
63,235,35204000,1,27080,13540,2645
64,235,9464000,1,7280,3640,1110
65,246,8268000,1,6360,3180,2612
66,258,40508000,1,31160,15580,4094
67,261,15184000,1,11680,5840,1279
68,264,29588000,1,22760,11380,1794
69,266,9360000,1,7200,3600,903
70,267,52000000,1,40000,20000,2313
71,273,8788000,1,6760,3380,2574
72,274,52000000,1,40000,20000,4109
73,274,24128000,1,18560,9280,3761
74,278,8892000,1,6840,3420,3380
75,280,17836000,1,13720,6860,1018
76,283,52000000,1,40000,20000,2210
77,292,31096000,1,23920,11960,1477
78,292,18408000,1,14160,7080,1100
79,295,13936000,1,10720,5360,1248
80,302,23868000,1,18360,9180,1406
81,302,11388000,1,8760,4380,1324
82,311,35776000,1,27520,13760,2407
83,311,52000000,1,40000,20000,2080
84,312,17108000,1,13160,6580,1563
85,313,31980000,1,24600,12300,1836
86,316,8736000,1,6720,3360,741
87,316,40924000,1,31480,15740,3062
88,318,17108000,1,13160,6580,1259
89,322,52000000,1,40000,20000,2085
90,324,13416000,1,10320,5160,1437
91,327,52000000,1,40000,20000,1966
92,331,10296000,1,7920,3960,926
93,331,9672000,1,7440,3720,2565
94,336,12376000,1,9520,4760,1134
95,339,21996000,1,16920,8460,1474
96,354,8372000,1,6440,3220,2473
97,362,13728000,1,10560,5280,2747
98,363,29224000,1,22480,11240,1437
99,366,13780000,1,10600,5300,3084
100,367,30628000,1,23560,11780,2623
101,368,33332000,1,25640,12820,1788
102,372,52000000,1,40000,20000,4265
103,377,15444000,1,11880,5940,963
104,378,10296000,1,7920,3960,3606
105,381,16224000,1,12480,6240,1568
106,381,8268000,1,6360,3180,874
107,384,52000000,1,40000,20000,3005
108,392,18460000,1,14200,7100,3640
109,395,12116000,1,9320,4660,940
110,405,9360000,1,7200,3600,3615
111,406,25896000,1,19920,9960,1340
112,408,52000000,1,40000,20000,2302
113,410,11284000,1,8680,4340,3101
114,427,10608000,1,8160,4080,1203
115,428,7956000,1,6120,3060,1062
116,428,52000000,1,40000,20000,3401
117,449,9100000,1,7000,3500,2578
118,452,10244000,1,7880,3940,1580
119,456,50128000,1,38560,19280,2017
120,462,48672000,1,37440,18720,2363
121,465,52000000,1,40000,20000,4036
122,471,17472000,1,13440,6720,1340
123,473,10296000,1,7920,3960,3702
124,477,52000000,1,40000,20000,3788
125,485,51064000,1,39280,19640,4745
126,487,26520000,1,20400,10200,3333
127,489,24752000,1,19040,9520,1906
128,489,10296000,1,7920,3960,2743
129,497,27300000,1,21000,10500,1506
130,497,38688000,1,29760,14880,2289
131,498,42276000,1,32520,16260,2845
132,503,9048000,1,6960,3480,3117
133,505,10452000,1,8040,4020,3402
134,510,10296000,1,7920,3960,1071
135,515,9360000,1,7200,3600,2573
136,515,11544000,1,8880,4440,1349
137,516,9516000,1,7320,3660,1583
138,526,18720000,1,14400,7200,1300
139,527,14352000,1,11040,5520,1704
140,533,26728000,1,20560,10280,1909
141,534,10972000,1,8440,4220,2817
142,535,22776000,1,17520,8760,3474
143,544,52000000,1,40000,20000,4514
144,546,52000000,1,40000,20000,2400
145,549,8684000,1,6680,3340,2835
146,553,29276000,1,22520,11260,1810
147,555,36504000,1,28080,14040,4351
148,566,16224000,1,12480,6240,1212
149,567,11024000,1,8480,4240,1194
150,571,28080000,1,21600,10800,1855
151,575,8996000,1,6920,3460,1634
152,591,9308000,1,7160,3580,1438
153,592,12740000,1,9800,4900,1654
154,595,13104000,1,10080,5040,2390
155,595,9360000,1,7200,3600,2681
156,595,38480000,1,29600,14800,1791
157,599,18928000,1,14560,7280,3925
158,601,31876000,1,24520,12260,1628
159,605,9360000,1,7200,3600,3092
160,606,26884000,1,20680,10340,3830
161,609,9516000,1,7320,3660,2692
162,610,28080000,1,21600,10800,3673
163,612,9360000,1,7200,3600,1048
164,620,25220000,1,19400,9700,2584
165,621,52000000,1,40000,20000,3570
166,628,52000000,1,40000,20000,2784
167,628,9360000,1,7200,3600,3392
168,634,7852000,1,6040,3020,1621
169,635,52000000,1,40000,20000,2337
170,640,9724000,1,7480,3740,3155
171,644,29588000,1,22760,11380,1608
172,649,27768000,1,21360,10680,1806
173,654,16120000,1,12400,6200,3634
174,656,14508000,1,11160,5580,1593
175,660,52000000,1,40000,20000,2846
176,669,11856000,1,9120,4560,1363
177,676,12428000,1,9560,4780,2787
178,691,27560000,1,21200,10600,4179
179,693,40924000,1,31480,15740,2291
180,707,52000000,1,40000,20000,2332
