cloudlet_id,arrival_time,length,pes_required,file_size,output_size
0,0,418074,1,418,209
1,0,245698,1,245,122
2,0,208296,1,208,104
3,1,153438,1,153,76
4,1,267225,2,267,133
5,1,632884,4,632,316
6,1,167090,2,167,83
7,1,354469,1,354,177
8,1,206028,1,206,103
9,2,309853,2,309,154
10,2,425454,1,425,212
11,2,294982,3,294,147
12,3,563449,2,563,281
13,3,630096,3,630,315
14,3,62635,1,62,31
15,3,297551,2,297,148
16,3,408871,1,408,204
17,3,568917,4,568,284
18,3,331863,2,331,165
19,3,397009,1,397,198
20,3,226488,1,226,113
21,3,170080,1,170,85
22,3,616807,2,616,308
23,4,126389,1,126,63
24,4,749292,2,749,374
25,4,508772,1,508,254
26,4,501995,2,501,250
27,4,486320,3,486,243
28,4,362097,3,362,181
29,4,458812,3,458,229
30,5,371665,1,371,185
31,5,482960,1,482,241
32,5,394947,2,394,197
33,5,257447,1,257,128
34,6,269414,2,269,134
35,6,252359,1,252,126
36,6,545635,1,545,272
37,6,307383,1,307,153
38,6,113184,4,113,56
39,7,459525,1,459,229
40,7,627177,2,627,313
41,7,515962,1,515,257
42,7,309501,2,309,154
43,7,161978,1,161,80
44,7,379859,4,379,189
45,8,376116,4,376,188
46,8,254620,1,254,127
47,8,482655,4,482,241
48,8,676993,8,676,338
49,8,433342,3,433,216
50,9,424071,3,424,212
51,9,259415,1,259,129
52,10,609612,2,609,304
53,10,388728,1,388,194
54,10,313155,1,313,156
55,11,409553,8,409,204
56,11,470794,1,470,235
57,11,420882,3,420,210
58,11,580923,3,580,290
59,11,457595,4,457,228
60,11,357408,8,357,178
61,11,460178,1,460,230
62,11,474945,1,474,237
63,11,205543,2,205,102
64,11,572412,1,572,286
65,12,354864,1,354,177
66,12,358701,1,358,179
67,12,512706,3,512,256
68,12,512074,2,512,256
69,13,294875,1,294,147
70,13,520435,2,520,260
71,13,315932,1,315,157
72,13,672935,1,672,336
73,14,275770,3,275,137
74,14,435921,2,435,217
75,14,282697,3,282,141
76,14,733404,1,733,366
77,14,214326,3,214,107
78,14,478654,2,478,239
79,14,289763,2,289,144
80,15,346883,2,346,173
81,15,468030,4,468,234
82,15,583687,2,583,291
83,15,643509,2,643,321
84,15,169457,7,169,84
85,15,440162,3,440,220
86,16,618924,2,618,309
87,16,147203,3,147,73
88,16,447157,1,447,223
89,16,399687,1,399,199
90,16,462181,2,462,231
91,17,284154,4,284,142
92,17,184657,4,184,92
93,17,113034,1,113,56
94,17,546457,2,546,273
95,18,565607,1,565,282
96,18,445402,8,445,222
97,18,319877,6,319,159
98,18,156543,2,156,78
99,18,484501,3,484,242
100,18,234883,3,234,117
101,18,293305,2,293,146
102,18,312015,1,312,156
103,18,370369,2,370,185
104,19,286143,2,286,143
105,19,405018,2,405,202
