cloudlet_id,arrival_time,length,pes_required,file_size,output_size
0,0,767585,1,767,383
1,0,467034,2,467,233
2,0,452921,2,452,226
3,0,416500,2,416,208
4,0,452502,3,452,226
5,1,684640,1,684,342
6,1,247575,2,247,123
7,1,288346,6,288,144
8,1,729043,3,729,364
9,1,767612,1,767,383
10,2,386888,1,386,193
11,2,647513,3,647,323
12,2,692244,3,692,346
13,2,385814,3,385,192
14,2,297703,2,297,148
15,3,322689,1,322,161
16,3,439698,1,439,219
17,3,713097,3,713,356
18,3,218465,1,218,109
19,3,576232,1,576,288
20,4,369996,1,369,184
21,4,574080,2,574,287
22,4,718307,1,718,359
23,4,465644,3,465,232
24,4,162021,2,162,81
25,5,345789,2,345,172
26,5,313676,1,313,156
27,5,229941,1,229,114
28,5,369731,3,369,184
29,5,649865,3,649,324
30,6,610333,1,610,305
31,6,124008,2,124,62
32,6,489917,2,489,244
33,6,737838,1,737,368
34,6,150925,1,150,75
35,7,381119,1,381,190
36,7,126047,3,126,63
37,7,647877,1,647,323
38,7,172704,1,172,86
39,7,368874,1,368,184
40,8,133362,4,133,66
41,8,504602,1,504,252
42,8,111683,2,111,55
43,8,469408,1,469,234
44,8,142039,1,142,71
45,9,767592,2,767,383
46,9,225903,2,225,112
47,9,180406,2,180,90
48,9,147267,2,147,73
49,9,548355,3,548,274
50,10,740329,2,740,370
51,10,793171,4,793,396
52,10,301250,1,301,150
53,10,755556,3,755,377
54,10,377706,2,377,188
55,11,193587,4,193,96
56,11,579459,2,579,289
57,11,173220,1,173,86
58,11,411694,3,411,205
59,11,278635,1,278,139
60,12,682482,2,682,341
61,12,622176,4,622,311
62,12,149596,1,149,74
63,12,383085,2,383,191
64,12,567421,2,567,283
65,13,438773,2,438,219
66,13,796807,1,796,398
67,13,619340,1,619,309
68,13,362163,2,362,181
69,13,738004,1,738,369
70,14,328471,1,328,164
71,14,546472,4,546,273
72,14,324550,2,324,162
73,14,768700,4,768,384
74,14,261572,2,261,130
75,15,779059,2,779,389
76,15,740354,4,740,370
77,15,257179,3,257,128
78,15,146254,2,146,73
79,15,178464,5,178,89
80,16,650911,3,650,325
81,16,565012,1,565,282
82,16,711255,1,711,355
83,16,551643,1,551,275
84,16,535010,1,535,267
85,17,658921,1,658,329
86,17,208105,2,208,104
87,17,468178,3,468,234
88,17,461387,3,461,230
89,17,135299,1,135,67
90,18,793443,1,793,396
91,18,594659,2,594,297
92,18,332664,2,332,166
93,18,612124,1,612,306
94,18,513922,3,513,256
95,19,521606,1,521,260
96,19,139883,1,139,69
97,19,653532,1,653,326
98,19,616953,2,616,308
99,19,618106,1,618,309
100,20,167694,1,167,83
101,20,334458,1,334,167
102,20,676687,2,676,338
103,20,167309,4,167,83
104,20,105285,1,105,52
105,21,325978,2,325,162
106,21,708098,1,708,354
107,21,681981,2,681,340
108,21,270192,1,270,135
109,21,304649,1,304,152
110,22,349945,1,349,174
111,22,575137,4,575,287
112,22,358792,3,358,179
113,22,292015,1,292,146
