cloudlet_id,arrival_time,length,pes_required,file_size,output_size
0,1,599115,2,599,299
1,8,179141,4,179,89
2,11,112115,1,112,56
3,14,139062,3,139,69
4,14,728349,4,728,364
5,15,394700,2,394,197
6,15,490479,2,490,245
7,20,626257,2,626,313
8,22,497686,2,497,248
9,25,221863,3,221,110
10,25,601076,2,601,300
11,34,747296,8,747,373
12,38,600726,1,600,300
13,39,778556,1,778,389
14,40,730111,2,730,365
15,40,734965,1,734,367
16,41,148320,1,148,74
17,43,596758,1,596,298
18,44,246649,1,246,123
19,45,225354,1,225,112
20,47,712297,5,712,356
21,48,548625,1,548,274
22,49,128625,3,128,64
23,50,386233,3,386,193
24,51,136487,4,136,68
25,55,559054,1,559,279
26,56,328071,4,328,164
27,58,588011,2,588,294
28,60,412282,2,412,206
29,60,273895,2,273,136
30,62,530424,3,530,265
31,63,416205,1,416,208
32,63,201376,3,201,100
33,70,525106,2,525,262
34,79,381652,3,381,190
35,83,572132,7,572,286
36,84,258056,1,258,129
37,84,734457,7,734,367
38,87,660347,1,660,330
39,88,562785,1,562,281
40,89,727697,1,727,363
41,90,599653,1,599,299
42,91,629992,2,629,314
43,97,735567,1,735,367
44,97,782568,1,782,391
45,100,742804,4,742,371
46,101,622828,3,622,311
47,103,578366,3,578,289
48,105,519139,4,519,259
49,105,619777,3,619,309
50,114,476188,1,476,238
51,118,332549,1,332,166
52,125,653453,3,653,326
53,130,691491,1,691,345
54,133,584965,2,584,292
55,139,136321,1,136,68
56,139,435441,1,435,217
57,140,345014,2,345,172
58,140,256498,2,256,128
59,141,117772,2,117,58
60,142,494583,2,494,247
61,143,338389,1,338,169
62,147,739430,1,739,369
63,148,716024,4,716,358
64,149,151924,2,151,75
65,151,628014,1,628,314
66,152,451296,3,451,225
67,156,127723,1,127,63
68,156,764468,2,764,382
69,167,308786,1,308,154
70,170,659931,3,659,329
71,171,786684,2,786,393
72,171,314432,1,314,157
73,175,239999,4,239,119
74,178,458690,2,458,229
75,181,179973,1,179,89
76,185,734122,1,734,367
77,185,553449,1,553,276
78,186,387681,1,387,193
79,187,594509,2,594,297
80,192,731810,3,731,365
81,194,646900,2,646,323
82,195,325049,1,325,162
83,195,368615,1,368,184
84,196,266703,1,266,133
85,197,131348,2,131,65
86,201,295804,3,295,147
87,203,235832,1,235,117
88,209,394923,3,394,197
89,210,383780,4,383,191
90,210,706177,2,706,353
91,214,153551,3,153,76
92,217,504772,2,504,252
93,219,766923,2,766,383
94,223,671107,2,671,335
95,225,435914,2,435,217
96,226,520182,1,520,260
97,228,312781,1,312,156
98,228,553105,1,553,276
99,228,782347,2,782,391
100,228,648884,1,648,324
101,231,159182,4,159,79
