cloudlet_id,arrival_time,length,pes_required,file_size,output_size,deadline
0,2,32067,3,64,32,1202
1,2,111873,2,74,37,1202
2,2,32067,3,64,32,1202
3,4,165239,1,110,55,1204
4,8,160663,4,107,53,1208
5,8,39441,2,64,32,1208
6,9,209987,2,139,69,1209
7,10,222880,1,148,74,1210
8,11,167251,3,111,55,1211
9,11,280659,1,187,93,1211
10,12,295378,3,196,98,1212
11,12,73322,1,64,32,1212
12,13,235135,2,156,78,1213
13,14,192143,2,128,64,1214
14,15,190518,3,127,63,1215
15,17,227757,2,151,75,1217
16,18,108447,1,72,36,1218
17,19,117595,2,78,39,1219
18,20,100690,1,67,33,1220
19,20,105869,1,70,35,1220
20,21,153228,3,102,51,1221
21,22,55585,1,64,32,1222
22,22,84885,3,64,32,1222
23,22,202005,2,134,67,1222
24,23,155215,1,103,51,1223
25,26,187966,2,125,62,1226
26,30,32067,3,64,32,1230
27,30,103780,1,69,34,1230
28,30,120261,2,80,40,1230
29,32,162683,3,108,54,1232
30,32,118035,3,78,39,1232
31,32,227668,2,151,75,1232
32,33,156131,1,104,52,1233
33,33,161563,1,107,53,1233
34,35,161312,1,107,53,1235
35,35,211417,3,140,70,1235
36,35,126308,3,84,42,1235
37,36,241317,2,160,80,1236
38,37,193529,3,129,64,1237
39,38,171449,2,114,57,1238
40,45,163347,2,108,54,1245
41,45,197876,2,131,65,1245
42,45,233597,4,155,77,1245
43,46,228556,1,152,76,1246
44,46,187454,2,124,62,1246
45,46,223592,2,149,74,1246
46,47,168875,2,112,56,1247
47,49,250704,4,167,83,1249
48,49,158416,3,105,52,1249
49,50,32067,3,64,32,1250
50,50,256865,1,171,85,1250
51,50,168117,2,112,56,1250
52,52,75841,2,64,32,1252
53,53,146033,2,97,48,1253
54,54,96566,2,64,32,1254
55,54,311868,2,207,103,1254
56,55,196244,3,130,65,1255
57,55,47151,4,64,32,1255
58,56,199742,3,133,66,1256
59,56,131566,2,87,43,1256
60,58,298633,1,199,99,1258
61,59,84382,3,64,32,1259
62,60,32067,3,64,32,1260
63,60,165088,2,110,55,1260
64,60,135225,2,90,45,1260
65,61,130278,3,86,43,1261
66,63,32067,1,64,32,1263
67,66,191130,3,127,63,1266
68,67,281069,1,187,93,1267
69,67,32067,1,64,32,1267
70,67,244840,2,163,81,1267
71,69,119302,1,79,39,1269
72,69,329818,2,219,109,1269
73,72,191794,2,127,63,1272
74,73,146782,1,97,48,1273
75,74,240090,3,160,80,1274
76,75,198289,1,132,66,1275
77,75,117589,3,78,39,1275
78,76,211578,2,141,70,1276
79,77,123488,2,82,41,1277
80,77,32067,1,64,32,1277
81,79,306917,1,204,102,1279
82,80,135113,1,90,45,1280
83,80,116395,1,77,38,1280
84,81,184775,4,123,61,1281
85,83,47807,3,64,32,1283
86,84,62673,1,64,32,1284
87,84,124285,3,82,41,1284
88,85,122837,2,81,40,1285
89,86,165522,2,110,55,1286
90,88,241329,2,160,80,1288
91,90,126134,3,84,42,1290
92,93,195891,1,130,65,1293
93,95,203738,2,135,67,1295
94,95,82118,2,64,32,1295
95,97,176819,1,117,58,1297
96,98,92321,2,64,32,1298
97,99,237097,2,158,79,1299
98,100,193171,1,128,64,1300
99,101,161526,1,107,53,1301
100,102,63675,2,64,32,1302
101,102,168704,3,112,56,1302
102,103,104994,2,69,34,1303
103,105,211271,1,140,70,1305
104,106,151726,3,101,50,1306
105,106,101724,2,67,33,1306
106,110,227113,3,151,75,1310
107,111,212395,3,141,70,1311
108,111,117529,1,78,39,1311
109,114,244177,2,162,81,1314
110,115,138806,1,92,46,1315
111,117,138030,1,92,46,1317
112,119,169268,4,112,56,1319
113,120,106032,3,70,35,1320
114,120,128471,1,85,42,1320
115,122,148757,2,99,49,1322
116,125,270747,1,180,90,1325
117,126,268537,3,179,89,1326
118,126,141658,2,94,47,1326
119,128,276530,2,184,92,1328
120,129,157212,2,104,52,1329
121,129,187795,2,125,62,1329
122,131,224086,2,149,74,1331
123,131,181407,2,120,60,1331
124,131,334593,2,223,111,1331
125,131,177893,2,118,59,1331
126,132,73928,1,64,32,1332
127,133,254526,2,169,84,1333
128,133,130605,2,87,43,1333
129,134,138381,2,92,46,1334
130,135,32067,3,64,32,1335
131,136,232558,1,155,77,1336
132,139,219387,2,146,73,1339
133,139,217986,1,145,72,1339
134,140,230928,3,153,76,1340
135,140,282343,2,188,94,1340
136,140,157016,2,104,52,1340
137,140,227985,2,151,75,1340
138,141,106667,1,71,35,1341
139,141,134808,2,89,44,1341
140,143,236582,1,157,78,1343
141,143,188555,2,125,62,1343
142,145,64128,2,64,32,1345
143,148,186406,3,124,62,1348
