cloudlet_id,arrival_time,length,pes_required,file_size,output_size,deadline
0,0,226040,3,150,75,3600
1,0,115018,2,76,38,3600
2,0,109514,1,73,36,3600
3,1,218881,3,145,72,3601
4,1,53293,1,64,32,3601
5,2,115999,1,77,38,3602
6,2,245598,1,163,81,3602
7,2,135963,1,90,45,3602
8,2,112137,1,74,37,3602
9,3,93010,1,64,32,3603
10,3,202468,3,134,67,3603
11,4,157903,3,105,52,3604
12,4,202709,2,135,67,3604
13,5,173248,1,115,57,3605
14,6,351031,2,234,117,3606
15,6,151600,1,101,50,3606
16,6,39686,2,64,32,3606
17,6,199800,1,133,66,3606
18,7,189866,1,126,63,3607
19,7,203288,2,135,67,3607
20,7,49772,1,64,32,3607
21,7,288311,1,192,96,3607
22,7,186942,3,124,62,3607
23,7,185941,1,123,61,3607
24,8,51819,1,64,32,3608
25,8,230898,1,153,76,3608
26,8,183981,1,122,61,3608
27,8,307309,2,204,102,3608
28,8,153502,1,102,51,3608
29,8,82143,1,64,32,3608
30,9,200868,3,133,66,3609
31,9,110206,3,73,36,3609
32,9,225825,3,150,75,3609
33,9,95491,2,64,32,3609
34,9,178462,2,118,59,3609
35,10,169973,1,113,56,3610
36,10,186716,1,124,62,3610
37,10,144978,2,96,48,3610
38,10,119201,3,79,39,3610
39,10,184522,2,123,61,3610
40,10,139319,2,92,46,3610
41,10,202951,3,135,67,3610
42,10,166060,2,110,55,3610
43,10,39686,3,64,32,3610
44,12,184313,2,122,61,3612
45,12,310246,1,206,103,3612
46,12,216001,2,144,72,3612
47,12,241639,3,161,80,3612
48,12,229201,1,152,76,3612
49,13,149008,2,99,49,3613
50,14,74087,3,64,32,3614
51,14,259842,1,173,86,3614
52,14,281047,4,187,93,3614
53,15,238760,3,159,79,3615
54,15,226439,2,150,75,3615
55,15,223873,1,149,74,3615
56,15,187289,1,124,62,3615
57,15,213414,4,142,71,3615
58,16,190744,2,127,63,3616
59,16,217909,3,145,72,3616
60,17,108032,1,72,36,3617
61,17,135324,2,90,45,3617
62,17,238838,3,159,79,3617
63,17,160478,1,106,53,3617
64,17,39686,2,64,32,3617
65,17,200520,2,133,66,3617
66,18,39686,2,64,32,3618
67,18,354603,3,236,118,3618
68,18,251815,2,167,83,3618
69,18,247738,3,165,82,3618
70,18,132644,2,88,44,3618
71,18,92760,2,64,32,3618
72,18,171627,2,114,57,3618
73,19,191628,2,127,63,3619
74,19,123659,3,82,41,3619
