cloudlet_id,arrival_time,length,pes_required,file_size,output_size,deadline
0,0,253303,1,168,84,220
1,0,172727,1,115,57,509
2,0,413732,4,275,137,589
3,0,163499,2,108,54,142
4,0,241750,3,161,80,235
5,0,237032,3,158,79,844
6,0,165499,3,110,55,174
7,1,279442,2,186,93,222
8,1,188019,3,125,62,860
9,1,158577,2,105,52,606
10,1,195637,1,130,65,408
11,1,128193,2,85,42,519
12,1,302771,2,201,100,638
13,2,251540,3,167,83,336
14,2,283534,3,189,94,229
15,2,74392,3,64,32,736
16,2,219772,1,146,73,644
17,3,126574,2,84,42,522
18,3,203239,4,135,67,760
19,4,309706,1,206,103,552
20,4,218530,1,145,72,889
21,4,179755,2,119,59,283
22,4,295907,1,197,98,555
23,5,286117,1,190,95,502
24,5,361199,4,240,120,400
25,5,39845,1,64,32,586
26,6,224852,2,149,74,309
27,6,158172,1,105,52,751
28,6,117113,4,78,39,802
29,6,205836,1,137,68,226
30,6,91293,1,64,32,490
31,6,39845,3,64,32,342
32,7,114608,1,76,38,191
33,7,172094,2,114,57,825
34,7,362843,4,241,120,462
35,7,130842,1,87,43,242
36,7,90748,4,64,32,652
37,7,39845,1,64,32,284
38,7,163996,1,109,54,830
39,8,173995,2,115,57,297
40,8,208810,1,139,69,153
41,8,65884,1,64,32,284
42,8,127195,4,84,42,397
43,8,39845,2,64,32,493
44,8,210592,1,140,70,834
45,8,54835,2,64,32,671
46,8,39845,3,64,32,392
47,9,299544,3,199,99,142
48,9,240819,2,160,80,253
49,9,227025,2,151,75,906
50,9,226955,2,151,75,487
51,9,102717,1,68,34,668
52,9,291789,2,194,97,171
53,9,101573,2,67,33,155
54,10,366921,3,244,122,789
55,10,215804,1,143,71,588
56,10,39845,4,64,32,370
57,10,273459,3,182,91,377
58,10,372463,3,248,124,199
59,10,172754,2,115,57,264
60,10,291184,3,194,97,149
61,10,176585,2,117,58,784
62,10,139315,3,92,46,493
63,10,39845,2,64,32,229
64,11,306459,1,204,102,707
