cloudlet_id,arrival_time,length,pes_required,file_size,output_size,deadline
0,0,349058,1,232,116,220
1,1,205567,2,137,68,510
2,1,171498,1,114,57,590
3,1,179089,1,119,59,143
4,2,182261,3,121,60,237
5,2,326169,1,217,108,846
6,2,244428,2,162,81,176
7,3,302082,2,201,100,224
8,4,39733,1,64,32,863
9,4,230864,1,153,76,609
10,4,296412,4,197,98,411
11,7,378156,1,252,126,525
12,7,204379,3,136,68,644
13,7,48276,1,64,32,341
14,8,254424,2,169,84,235
15,8,148223,1,98,49,742
16,8,41599,1,64,32,650
17,8,146483,1,97,48,527
18,8,296221,1,197,98,765
19,8,309271,1,206,103,556
20,9,266344,2,177,88,894
21,9,108158,2,72,36,288
22,9,426888,1,284,142,560
23,9,97348,3,64,32,506
24,10,194963,1,129,64,405
25,10,72758,3,64,32,591
26,10,319709,3,213,106,313
27,11,241845,4,161,80,756
28,11,281404,1,187,93,807
29,11,210101,4,140,70,231
30,12,195956,1,130,65,496
31,12,217674,3,145,72,348
32,12,39733,2,64,32,196
33,12,291001,2,194,97,830
34,12,283811,1,189,94,467
35,12,167099,3,111,55,247
36,13,201089,3,134,67,658
37,14,229025,1,152,76,291
38,14,342632,1,228,114,837
39,14,240905,3,160,80,303
40,15,206123,3,137,68,160
41,15,156844,3,104,52,291
42,15,67976,2,64,32,404
43,17,149110,2,99,49,502
44,17,208832,3,139,69,843
45,18,179934,3,119,59,681
46,18,209270,3,139,69,402
47,18,269182,2,179,89,151
48,18,241501,1,161,80,262
49,19,227218,2,151,75,916
50,20,261308,2,174,87,498
51,20,219324,1,146,73,679
52,20,199930,2,133,66,182
53,21,244708,1,163,81,167
54,21,48282,2,64,32,800
55,21,314762,1,209,104,599
56,21,87541,4,64,32,381
57,21,277648,3,185,92,388
58,22,204007,2,136,68,211
59,22,301945,1,201,100,276
60,22,206070,1,137,68,161
61,22,118537,3,79,39,796
62,23,298943,2,199,99,506
63,23,219518,2,146,73,242
64,23,213639,1,142,71,719
65,23,210324,1,140,70,295
66,23,292613,2,195,97,191
67,24,276233,2,184,92,610
68,25,223741,1,149,74,843
69,26,64543,1,64,32,167
70,26,167095,3,111,55,774
71,26,212696,2,141,70,294
72,27,363744,3,242,121,219
73,28,237680,4,158,79,162
74,30,195110,2,130,65,378
75,30,310283,2,206,103,717
76,30,193430,1,128,64,534
77,31,200907,3,133,66,816
78,31,217475,1,144,72,320
79,32,69542,1,64,32,397
80,32,289065,2,192,96,353
81,32,241548,1,161,80,915
82,32,178238,3,118,59,885
83,33,101406,1,67,33,418
84,33,222631,3,148,74,493
85,33,328709,2,219,109,398
86,34,146240,2,97,48,736
87,35,108670,2,72,36,186
88,35,241150,1,160,80,207
89,35,60882,1,64,32,470
90,36,39733,2,64,32,347
91,36,163899,4,109,54,815
92,36,141970,3,94,47,734
93,36,178920,3,119,59,581
94,37,154406,1,102,51,672
95,37,233427,3,155,77,696
96,37,183978,3,122,61,766
97,38,150202,3,100,50,881
98,38,162843,4,108,54,274
99,39,260233,1,173,86,647
100,39,289489,1,192,96,271
101,40,284645,2,189,94,505
102,40,266151,1,177,88,773
103,41,39733,2,64,32,858
104,41,114284,3,76,38,753
105,41,175746,2,117,58,188
106,42,222286,2,148,74,442
107,42,59304,2,64,32,289
108,42,331064,3,220,110,941
109,43,231059,1,154,77,275
110,45,148420,1,98,49,355
111,45,218585,3,145,72,443
112,45,173009,2,115,57,212
113,45,136072,1,90,45,843
114,46,249245,2,166,83,662
115,46,163454,2,108,54,290
116,46,77830,2,64,32,554
117,47,147270,2,98,49,228
118,47,193814,3,129,64,643
119,48,107544,3,71,35,348
120,48,316844,1,211,105,198
121,49,106728,1,71,35,258
122,49,361233,4,240,120,602
123,49,284119,1,189,94,665
124,49,120010,1,80,40,422
125,50,215841,1,143,71,671
126,50,309901,2,206,103,444
127,50,187182,1,124,62,271
128,50,97644,1,65,32,415
129,51,214319,1,142,71,479
130,52,382255,1,254,127,883
131,52,71163,3,64,32,262
132,53,253997,2,169,84,240
133,53,205327,2,136,68,610
134,53,193951,1,129,64,924
135,54,169674,2,113,56,881
136,54,176006,3,117,58,720
137,54,297370,2,198,99,226
138,54,257977,3,171,85,802
139,55,115497,2,76,38,708
140,55,344043,3,229,114,287
141,56,88757,2,64,32,538
142,56,264007,1,176,88,214
143,56,221217,3,147,73,801
144,56,311960,2,207,103,736
145,57,236679,3,157,78,804
146,57,299287,1,199,99,770
147,58,202726,1,135,67,386
148,58,291899,2,194,97,793
149,58,235752,1,157,78,372
150,59,397098,3,264,132,286
151,60,142806,2,95,47,484
152,60,311786,3,207,103,568
153,60,246578,3,164,82,402
154,61,220848,1,147,73,653
155,61,154452,3,102,51,650
156,61,245102,1,163,81,368
157,61,73383,1,64,32,666
158,61,82798,2,64,32,459
159,61,268813,2,179,89,754
160,62,66177,3,64,32,408
161,62,333665,4,222,111,805
162,63,180695,2,120,60,506
163,63,227570,3,151,75,614
164,63,212001,2,141,70,708
165,63,242870,2,161,80,587
166,63,180360,1,120,60,383
167,64,172474,2,114,57,947
168,64,194079,3,129,64,258
169,65,299167,2,199,99,438
170,65,306692,2,204,102,613
171,66,319273,1,212,106,208
172,66,238062,4,158,79,306
173,66,187481,2,124,62,809
174,67,55258,1,64,32,798
175,67,262911,2,175,87,683
176,67,280587,3,187,93,890
177,67,169403,3,112,56,776
178,67,277603,3,185,92,420
179,67,320694,1,213,106,689
180,68,213915,2,142,71,453
181,68,299953,4,199,99,772
182,68,232993,4,155,77,488
183,68,50395,1,64,32,307
184,68,163248,2,108,54,871
185,69,168844,1,112,56,727
186,69,252836,1,168,84,769
187,70,128327,1,85,42,626
188,71,166284,2,110,55,801
189,71,119486,1,79,39,540
190,71,202068,3,134,67,632
191,72,211756,2,141,70,240
192,73,292656,2,195,97,625
193,73,276784,3,184,92,828
194,73,220241,2,146,73,743
195,74,227096,1,151,75,820
196,74,215263,2,143,71,580
197,74,215608,4,143,71,881
198,75,343815,2,229,114,279
199,75,39733,3,64,32,878
200,75,189846,2,126,63,484
201,75,233507,2,155,77,265
202,76,306558,2,204,102,679
203,76,107723,1,71,35,550
204,76,236561,1,157,78,530
205,77,282608,1,188,94,861
206,77,165737,2,110,55,304
207,77,39733,3,64,32,678
208,77,173388,4,115,57,519
209,78,98206,3,65,32,610
210,78,263751,2,175,87,587
211,78,129491,3,86,43,302
212,79,364737,3,243,121,598
213,80,218208,1,145,72,872
214,80,133557,1,89,44,333
215,80,160448,2,106,53,208
216,81,107920,2,71,35,253
217,81,240383,1,160,80,559
218,81,338869,2,225,112,961
219,82,186293,1,124,62,236
220,82,288240,3,192,96,974
221,83,121313,3,80,40,621
222,84,233100,1,155,77,297
223,84,411524,2,274,137,530
224,84,79898,2,64,32,365
225,85,315724,1,210,105,762
226,85,310482,3,206,103,627
227,85,39733,4,64,32,429
228,86,77323,2,64,32,405
229,86,118287,1,78,39,882
230,87,292154,1,194,97,804
231,87,167205,1,111,55,547
232,88,190574,1,127,63,524
233,88,268779,3,179,89,783
234,89,216070,2,144,72,966
235,90,225702,2,150,75,272
236,91,176793,3,117,58,335
237,92,306002,2,204,102,494
238,93,135952,2,90,45,609
239,93,355233,1,236,118,268
240,95,175257,1,116,58,256
241,95,134142,2,89,44,386
242,95,263254,1,175,87,516
243,95,245751,4,163,81,791
244,95,39733,2,64,32,690
245,95,225179,1,150,75,237
246,97,84698,3,64,32,252
247,97,131211,1,87,43,569
248,97,275678,3,183,91,899
249,97,128224,2,85,42,930
250,97,237057,4,158,79,501
251,97,171321,1,114,57,909
252,98,378046,2,252,126,942
253,99,196617,1,131,65,536
254,99,100122,1,66,33,800
255,99,106374,2,70,35,503
256,100,124112,1,82,41,339
257,100,216421,2,144,72,668
258,100,204716,1,136,68,287
259,101,291587,3,194,97,738
260,101,219834,1,146,73,852
261,102,216343,2,144,72,936
262,102,233754,2,155,77,571
263,102,193177,2,128,64,313
264,102,230846,1,153,76,925
265,102,274686,4,183,91,900
266,103,274671,2,183,91,977
267,104,155874,2,103,51,687
268,104,46526,2,64,32,749
269,105,132284,2,88,44,516
270,105,229691,2,153,76,367
271,106,39733,3,64,32,453
272,106,161899,1,107,53,788
273,106,244532,2,163,81,479
274,107,153928,1,102,51,766
275,107,104338,2,69,34,618
276,107,361049,1,240,120,577
277,108,328021,1,218,109,982
278,109,181086,3,120,60,358
279,110,322382,2,214,107,609
280,110,320193,2,213,106,354
281,110,103060,2,68,34,961
282,110,443646,2,295,147,611
283,111,120224,2,80,40,489
284,111,180430,1,120,60,362
285,112,105971,2,70,35,695
286,112,210803,2,140,70,543
287,113,86273,2,64,32,332
288,114,203136,2,135,67,259
289,114,300498,1,200,100,539
290,114,222772,1,148,74,688
291,115,180011,3,120,60,639
292,117,341779,4,227,113,939
293,117,123426,2,82,41,948
294,117,290073,3,193,96,967
295,119,176471,2,117,58,862
296,119,222733,1,148,74,611
297,120,206206,1,137,68,648
298,120,214794,2,143,71,549
299,120,198545,2,132,66,551
300,120,133344,2,88,44,272
301,120,152382,2,101,50,863
302,121,242611,1,161,80,432
303,122,193436,3,128,64,264
304,122,99065,1,66,33,605
305,122,139916,1,93,46,801
306,124,140976,3,93,46,584
307,125,197917,3,131,65,529
308,126,218708,3,145,72,759
309,126,210826,2,140,70,373
310,127,144182,1,96,48,255
311,127,204139,3,136,68,709
312,128,80146,2,64,32,661
313,128,39733,2,64,32,923
314,128,197445,1,131,65,572
315,129,54456,2,64,32,862
316,129,117574,1,78,39,262
317,129,94331,3,64,32,270
318,130,258229,1,172,86,716
319,130,93786,3,64,32,426
320,130,226474,1,150,75,302
321,130,158012,3,105,52,349
322,130,91093,4,64,32,542
323,131,60735,2,64,32,513
324,131,242655,1,161,80,690
325,131,235799,4,157,78,943
326,131,270365,2,180,90,536
327,131,364794,1,243,121,394
328,131,225291,3,150,75,701
329,131,226038,1,150,75,252
330,132,189770,1,126,63,552
331,132,210160,1,140,70,499
332,132,169321,1,112,56,554
333,133,120601,1,80,40,292
334,133,378688,3,252,126,685
335,133,39733,3,64,32,739
336,133,222980,2,148,74,837
337,134,239777,2,159,79,1000
338,134,213559,1,142,71,530
339,135,114073,2,76,38,766
340,135,182825,1,121,60,599
341,135,158622,3,105,52,422
342,135,103700,3,69,34,948
343,135,195506,2,130,65,836
344,136,163112,1,108,54,991
345,136,150088,1,100,50,896
346,136,260406,3,173,86,971
347,138,104556,2,69,34,357
348,138,238492,3,158,79,270
349,138,144467,1,96,48,412
350,139,237135,2,158,79,580
351,139,205084,2,136,68,795
352,139,220329,1,146,73,600
353,139,111211,1,74,37,659
354,140,129417,3,86,43,853
355,140,122109,3,81,40,315
