cloudlet_id,arrival_time,length,pes_required,file_size,output_size,deadline
0,0,253303,1,168,84,220
1,0,172727,1,115,57,509
2,0,413732,4,275,137,589
3,0,163499,2,108,54,142
4,0,241750,3,161,80,235
5,1,237032,3,158,79,845
6,1,165499,3,110,55,175
7,1,279442,2,186,93,222
8,1,188019,3,125,62,860
9,1,158577,2,105,52,606
10,2,195637,1,130,65,409
11,2,128193,2,85,42,520
12,2,302771,2,201,100,639
13,2,251540,3,167,83,336
14,2,283534,3,189,94,229
15,3,74392,3,64,32,737
16,3,219772,1,146,73,645
17,4,126574,2,84,42,523
18,4,203239,4,135,67,761
19,4,309706,1,206,103,552
20,4,218530,1,145,72,889
21,5,179755,2,119,59,284
22,5,295907,1,197,98,556
23,6,286117,1,190,95,503
24,6,361199,4,240,120,401
25,7,39845,1,64,32,588
26,7,224852,2,149,74,310
27,7,158172,1,105,52,752
28,7,117113,4,78,39,803
29,8,205836,1,137,68,228
30,8,91293,1,64,32,492
31,8,39845,3,64,32,344
32,8,114608,1,76,38,192
33,8,172094,2,114,57,826
34,8,362843,4,241,120,463
35,8,130842,1,87,43,243
36,8,90748,4,64,32,653
37,8,39845,1,64,32,285
38,9,163996,1,109,54,832
39,9,173995,2,115,57,298
40,9,208810,1,139,69,154
41,9,65884,1,64,32,285
42,9,127195,4,84,42,398
43,9,39845,2,64,32,494
44,9,210592,1,140,70,835
45,10,54835,2,64,32,673
46,10,39845,3,64,32,394
47,10,299544,3,199,99,143
48,10,240819,2,160,80,254
49,11,227025,2,151,75,908
50,11,226955,2,151,75,489
51,11,102717,1,68,34,670
52,11,291789,2,194,97,173
53,11,101573,2,67,33,157
54,12,366921,3,244,122,791
55,12,215804,1,143,71,590
56,12,39845,4,64,32,372
57,12,273459,3,182,91,379
58,12,372463,3,248,124,201
59,12,172754,2,115,57,266
60,12,291184,3,194,97,151
61,12,176585,2,117,58,786
62,12,139315,3,92,46,495
63,13,39845,2,64,32,232
64,13,306459,1,204,102,709
