cloudlet_id,arrival_time,length,pes_required,file_size,output_size
0,0,171958,2,171,85
1,0,196867,2,196,98
2,0,181932,2,181,90
3,0,153694,1,153,76
4,0,169879,8,169,84
5,1,160268,4,160,80
6,1,104886,4,104,52
7,1,187337,8,187,93
8,1,218266,4,218,109
9,1,137498,1,137,68
10,2,162727,4,162,81
11,2,176324,4,176,88
12,2,225203,8,225,112
13,2,241335,4,241,120
14,2,66023,1,66,33
15,3,91090,2,91,45
16,3,117221,2,117,58
17,3,114820,4,114,57
18,3,50769,4,50,25
19,3,109735,2,109,54
20,4,244027,8,244,122
21,4,114925,4,114,57
22,4,249041,2,249,124
23,4,55311,1,55,27
24,4,153355,1,153,76
25,5,234779,2,234,117
26,5,135305,1,135,67
27,5,209765,2,209,104
28,5,180608,2,180,90
29,5,206730,1,206,103
30,6,134478,8,134,67
31,6,172537,1,172,86
32,6,199503,4,199,99
33,6,180523,4,180,90
34,6,52747,8,52,26
35,7,173855,1,173,86
36,7,240222,2,240,120
37,7,115725,8,115,57
38,7,179981,8,179,89
39,7,134654,8,134,67
40,8,216845,2,216,108
41,8,169346,1,169,84
42,8,117435,4,117,58
43,8,106886,8,106,53
44,8,116803,4,116,58
45,9,81551,4,81,40
46,9,166216,2,166,83
47,9,61394,8,61,30
48,9,119092,2,119,59
49,9,53890,2,53,26
50,10,91606,4,91,45
51,10,137313,4,137,68
52,10,191699,2,191,95
53,10,58792,1,58,29
54,10,224073,4,224,112
55,11,204969,2,204,102
56,11,118148,4,118,59
57,11,174243,1,174,87
58,11,170174,4,170,85
59,11,204555,4,204,102
60,12,174358,1,174,87
61,12,98555,2,98,49
62,12,67159,1,67,33
63,12,160510,1,160,80
64,12,156530,8,156,78
65,13,130077,2,130,65
66,13,85920,8,85,42
67,13,248193,2,248,124
68,13,69457,8,69,34
69,13,247629,8,247,123
70,14,128953,4,128,64
71,14,102995,4,102,51
72,14,221829,4,221,110
73,14,59692,2,59,29
74,14,226830,8,226,113
75,15,246769,8,246,123
76,15,87065,8,87,43
77,15,149299,1,149,74
78,15,213678,8,213,106
79,15,61534,8,61,30
80,16,90397,2,90,45
81,16,141387,1,141,70
82,16,51016,8,51,25
83,16,105591,4,105,52
84,16,73247,8,73,36
85,17,74300,1,74,37
86,17,132798,8,132,66
87,17,59268,2,59,29
88,17,136807,1,136,68
89,17,62185,1,62,31
90,18,244776,8,244,122
91,18,220171,4,220,110
92,18,189643,4,189,94
93,18,88044,2,88,44
94,18,101214,8,101,50
95,19,242300,2,242,121
96,19,164752,8,164,82
97,19,98984,4,98,49
98,19,90774,2,90,45
99,19,52568,4,52,26
100,20,170151,2,170,85
101,20,243664,8,243,121
102,20,248635,4,248,124
103,20,183767,2,183,91
104,20,174375,8,174,87
105,21,229262,2,229,114
106,21,186330,4,186,93
107,21,89504,8,89,44
108,21,214231,4,214,107
109,21,63986,1,63,31
110,22,111858,8,111,55
111,22,179312,4,179,89
112,22,62666,2,62,31
113,22,88660,1,88,44
114,22,184633,8,184,92
115,23,76854,4,76,38
116,23,114505,4,114,57
117,23,154488,8,154,77
118,23,233323,8,233,116
119,23,72662,1,72,36
120,24,58392,2,58,29
121,24,80535,2,80,40
122,24,163569,8,163,81
123,24,102256,1,102,51
124,24,139135,4,139,69
125,25,177478,8,177,88
126,25,85222,8,85,42
127,25,127373,2,127,63
128,25,173684,8,173,86
129,25,244407,1,244,122
130,26,60965,8,60,30
131,26,74538,1,74,37
132,26,158066,2,158,79
133,26,163252,8,163,81
134,26,189182,1,189,94
135,27,208338,2,208,104
136,27,234064,8,234,117
137,27,148806,8,148,74
138,27,187982,4,187,93
139,27,160989,8,160,80
140,28,140982,4,140,70
141,28,171626,2,171,85
142,28,169176,2,169,84
143,28,181278,2,181,90
144,28,172409,8,172,86
145,29,73419,4,73,36
146,29,231708,2,231,115
147,29,100015,4,100,50
148,29,172096,8,172,86
149,29,157059,1,157,78
150,30,235340,4,235,117
151,30,160687,4,160,80
152,30,137939,4,137,68
153,30,199213,1,199,99
154,30,155878,8,155,77
155,31,237116,8,237,118
156,31,248286,4,248,124
157,31,214899,8,214,107
158,31,236892,8,236,118
159,31,112623,8,112,56
160,32,125450,1,125,62
161,32,143426,4,143,71
162,32,167845,4,167,83
163,32,203371,4,203,101
164,32,93585,8,93,46
165,33,159225,8,159,79
166,33,114044,8,114,57
167,33,223629,4,223,111
168,33,230152,1,230,115
169,33,159556,8,159,79
170,34,52693,8,52,26
171,34,145259,1,145,72
172,34,75939,8,75,37
173,34,229997,8,229,114
174,34,224013,4,224,112
175,35,202906,4,202,101
176,35,68047,2,68,34
177,35,76105,1,76,38
178,35,125766,2,125,62
179,35,196779,8,196,98
180,36,203048,1,203,101
181,36,94262,2,94,47
182,36,175117,2,175,87
183,36,73776,4,73,36
184,36,211152,8,211,105
185,37,178376,2,178,89
186,37,247914,2,247,123
187,37,242445,8,242,121
188,37,187848,4,187,93
189,37,142787,2,142,71
190,38,177948,4,177,88
191,38,105016,1,105,52
192,38,190546,1,190,95
193,38,239125,4,239,119
194,38,71959,4,71,35
195,39,186602,8,186,93
196,39,169101,2,169,84
197,39,53748,4,53,26
198,39,63545,4,63,31
199,39,177659,1,177,88
200,40,247271,4,247,123
201,40,215838,1,215,107
202,40,123530,8,123,61
203,40,143557,1,143,71
204,40,111087,4,111,55
205,41,118840,1,118,59
206,41,168451,8,168,84
207,41,235456,4,235,117
208,41,101005,4,101,50
209,41,227648,1,227,113
210,42,89353,8,89,44
211,42,243075,2,243,121
212,42,102733,8,102,51
213,42,115318,2,115,57
214,42,204736,2,204,102
215,43,117172,1,117,58
216,43,143264,4,143,71
217,43,76736,4,76,38
218,43,162859,1,162,81
219,43,162181,8,162,81
220,44,181926,4,181,90
221,44,140084,4,140,70
222,44,219695,4,219,109
223,44,57392,2,57,28
224,44,105680,4,105,52
225,45,227789,1,227,113
226,45,100859,2,100,50
227,45,175657,8,175,87
228,45,207381,8,207,103
229,45,244806,2,244,122
230,46,120467,2,120,60
231,46,233734,4,233,116
232,46,148506,2,148,74
233,46,159751,1,159,79
234,46,168906,1,168,84
235,47,193760,8,193,96
236,47,75342,4,75,37
237,47,218229,1,218,109
238,47,248935,2,248,124
239,47,156308,2,156,78
240,48,233155,4,233,116
241,48,156081,1,156,78
242,48,246805,1,246,123
243,48,139045,8,139,69
244,48,84698,1,84,42
245,49,160078,4,160,80
246,49,130623,2,130,65
247,49,72671,1,72,36
248,49,206256,2,206,103
249,49,143384,8,143,71
250,50,223179,8,223,111
251,50,136202,8,136,68
252,50,101663,2,101,50
253,50,65708,4,65,32
254,50,141906,2,141,70
255,51,99811,2,99,49
256,51,183883,8,183,91
257,51,106250,1,106,53
258,51,162547,1,162,81
259,51,174249,2,174,87
260,52,84754,1,84,42
261,52,192483,2,192,96
262,52,183983,4,183,91
263,52,248342,4,248,124
264,52,189752,8,189,94
265,53,134896,8,134,67
266,53,121295,2,121,60
267,53,150689,2,150,75
268,53,61111,2,61,30
269,53,87504,4,87,43
270,54,182874,2,182,91
271,54,58155,4,58,29
272,54,89384,2,89,44
273,54,162561,4,162,81
274,54,97254,4,97,48
275,55,71918,2,71,35
276,55,135981,8,135,67
