cloudlet_id,arrival_time,length,pes_required,file_size,output_size
0,0,187057,4,187,93
1,1,124188,3,124,62
2,2,146192,1,146,73
3,2,133982,3,133,66
4,2,151120,1,151,75
5,3,163331,1,163,81
6,3,133704,1,133,66
7,4,140897,1,140,70
8,4,174151,1,174,87
9,5,183933,2,183,91
10,5,162337,5,162,81
11,6,146550,1,146,73
12,7,144172,4,144,72
13,7,163703,1,163,81
14,8,155694,1,155,77
15,8,108775,2,108,54
16,8,164309,2,164,82
17,8,128485,1,128,64
18,8,114576,1,114,57
19,9,108291,2,108,54
20,9,144597,1,144,72
21,9,124586,3,124,62
22,9,100000,2,100,50
23,10,141038,1,141,70
24,10,137735,4,137,68
25,11,146252,1,146,73
26,11,134277,3,134,67
27,11,195733,3,195,97
28,12,162933,5,162,81
29,12,137509,2,137,68
30,12,148409,2,148,74
31,12,185366,1,185,92
32,12,173915,2,173,86
33,14,115094,2,115,57
34,15,125642,2,125,62
35,16,130453,4,130,65
36,16,139007,1,139,69
37,16,135114,4,135,67
38,17,150850,4,150,75
39,17,168393,2,168,84
40,17,172566,2,172,86
41,18,141830,1,141,70
42,18,109132,7,109,54
43,19,123989,1,123,61
44,19,137005,2,137,68
45,20,118874,2,118,59
46,20,178521,4,178,89
47,20,120511,3,120,60
48,21,165426,2,165,82
49,21,107952,1,107,53
50,22,166430,1,166,83
51,23,146518,1,146,73
52,25,187813,4,187,93
53,26,121710,3,121,60
54,26,135897,3,135,67
55,27,140739,2,140,70
56,27,146187,2,146,73
57,28,141350,1,141,70
58,28,141833,1,141,70
59,28,141423,1,141,70
60,28,100000,3,100,50
61,28,174833,1,174,87
62,29,200000,3,200,100
63,29,157456,2,157,78
64,29,121606,2,121,60
65,30,124136,1,124,62
66,30,165329,1,165,82
67,31,159636,1,159,79
68,31,142892,3,142,71
69,33,168835,1,168,84
70,34,100000,3,100,50
71,34,168851,3,168,84
72,34,155944,1,155,77
73,35,125101,3,125,62
74,35,114166,2,114,57
75,36,153033,3,153,76
76,37,185180,1,185,92
77,37,144297,1,144,72
78,37,128682,1,128,64
79,37,154782,1,154,77
80,38,195521,3,195,97
81,38,160782,3,160,80
82,39,163485,4,163,81
83,39,180569,1,180,90
84,39,161813,1,161,80
85,39,130475,2,130,65
86,40,106385,1,106,53
87,40,126958,1,126,63
88,41,122381,2,122,61
89,42,166482,1,166,83
90,42,169958,2,169,84
91,42,154389,1,154,77
92,43,118282,2,118,59
93,43,194664,3,194,97
94,44,139594,1,139,69
95,45,165087,4,165,82
96,45,151233,2,151,75
97,45,155216,4,155,77
98,45,164204,1,164,82
99,45,132599,2,132,66
100,45,182635,2,182,91
101,46,110512,3,110,55
102,46,124036,2,124,62
103,46,182310,2,182,91
104,47,164750,4,164,82
105,48,200000,1,200,100
106,48,151708,1,151,75
107,49,192510,2,192,96
108,49,103563,2,103,51
109,49,114662,2,114,57
110,49,172388,2,172,86
111,49,106490,5,106,53
112,50,145065,3,145,72
113,51,179180,1,179,89
114,52,162529,1,162,81
115,53,150277,5,150,75
116,54,138772,3,138,69
117,54,155055,4,155,77
118,55,164431,1,164,82
119,55,133477,3,133,66
120,56,159293,3,159,79
121,57,176960,1,176,88
122,57,144438,2,144,72
123,57,151703,2,151,75
124,57,162094,2,162,81
125,58,163783,3,163,81
126,59,171961,3,171,85
127,60,124640,4,124,62
128,60,136776,3,136,68
129,60,137703,2,137,68
130,60,127402,1,127,63
131,60,105039,3,105,52
132,60,100000,2,100,50
133,61,179886,1,179,89
134,62,111152,2,111,55
135,62,189162,1,189,94
136,63,168485,2,168,84
137,63,139857,1,139,69
138,63,165410,1,165,82
139,65,160628,5,160,80
140,67,122455,3,122,61
141,67,149625,3,149,74
142,67,125504,2,125,62
143,68,166353,3,166,83
144,68,132119,3,132,66
145,68,147584,2,147,73
146,68,146505,5,146,73
147,69,153039,1,153,76
148,69,191563,4,191,95
149,69,143975,2,143,71
150,70,180448,2,180,90
151,70,161999,1,161,80
152,70,185460,2,185,92
153,70,141539,2,141,70
154,73,167403,8,167,83
155,73,148518,5,148,74
156,73,100000,5,100,50
157,74,122753,1,122,61
158,74,164559,7,164,82
159,75,162906,2,162,81
