cloudlet_id,arrival_time,length,pes_required,file_size,output_size
0,0,132352,2,132,66
1,1,103778,1,103,51
2,2,139145,1,139,69
3,3,178536,1,178,89
4,4,99463,3,99,49
5,5,99463,4,99,49
6,6,181064,1,181,90
7,7,144534,5,144,72
8,8,88873,2,88,44
9,9,134415,1,134,67
10,10,89146,1,89,44
11,11,89042,2,89,44
12,12,120888,3,120,60
13,13,23902,3,23,11
14,14,32378,1,32,16
15,15,84697,1,84,42
16,16,64422,2,64,32
17,17,124141,1,124,62
18,18,69138,1,69,34
19,19,46446,1,46,23
20,20,175954,3,175,87
21,21,99840,4,99,49
22,22,113038,2,113,56
23,23,45886,4,45,22
24,24,85502,1,85,42
25,25,114991,2,114,57
26,26,58205,1,58,29
27,27,126906,2,126,63
28,28,82971,5,82,41
29,29,96873,2,96,48
30,30,82923,1,82,41
31,31,193352,2,193,96
32,32,109392,1,109,54
33,33,62403,4,62,31
34,34,147014,2,147,73
35,35,55062,2,55,27
36,36,119398,2,119,59
37,37,21814,2,21,10
38,38,50231,1,50,25
39,39,118858,2,118,59
40,40,143230,1,143,71
41,41,117711,3,117,58
42,42,104795,3,104,52
43,43,96450,3,96,48
44,44,43466,2,43,21
45,45,77607,2,77,38
46,46,89271,1,89,44
47,47,157570,3,157,78
48,48,125462,1,125,62
49,49,30663,2,30,15
50,50,124583,1,124,62
51,51,92671,1,92,46
52,52,79538,2,79,39
53,53,137525,1,137,68
54,54,156394,3,156,78
55,55,151907,1,151,75
56,56,72235,1,72,36
57,57,96085,2,96,48
58,58,124906,1,124,62
59,59,153899,1,153,76
60,60,88437,3,88,44
61,61,101645,1,101,50
62,62,60214,3,60,30
63,63,56170,1,56,28
64,64,146563,1,146,73
65,65,171030,3,171,85
66,66,106759,1,106,53
67,67,155158,1,155,77
68,68,126273,1,126,63
69,69,80969,1,80,40
70,70,126262,3,126,63
71,71,179211,1,179,89
72,72,108387,3,108,54
73,73,180408,4,180,90
74,74,20000,2,20,10
75,75,146985,4,146,73
76,76,113917,1,113,56
77,77,96544,5,96,48
78,78,114129,1,114,57
79,79,20559,2,20,10
80,80,100114,2,100,50
81,81,126070,1,126,63
82,82,176505,2,176,88
83,83,86677,3,86,43
84,84,73617,1,73,36
85,85,87420,1,87,43
86,86,151193,3,151,75
87,87,124793,2,124,62
88,88,86160,5,86,43
89,89,133097,3,133,66
90,90,114368,5,114,57
91,91,153589,3,153,76
92,92,78407,1,78,39
93,93,95255,1,95,47
94,94,92355,3,92,46
95,95,44141,2,44,22
96,96,123325,1,123,61
97,97,121747,1,121,60
98,98,110230,5,110,55
99,99,99443,2,99,49
100,100,46308,2,46,23
101,101,91070,2,91,45
102,102,94577,1,94,47
103,103,73897,1,73,36
104,104,102742,1,102,51
105,105,128182,1,128,64
106,106,194878,3,194,97
