cloudlet_id,arrival_time,length,pes_required,file_size,output_size
0,0,713332,2,713,356
1,0,382260,1,382,191
2,0,642955,1,642,321
3,0,437201,1,437,218
4,0,698493,1,698,349
5,0,127302,3,127,63
6,0,504499,1,504,252
7,0,262007,2,262,131
8,0,696822,2,696,348
9,1,262696,1,262,131
10,1,113440,4,113,56
11,1,473145,2,473,236
12,1,408645,1,408,204
13,1,494485,1,494,247
14,1,785611,1,785,392
15,1,440053,1,440,220
16,1,708811,1,708,354
17,1,794089,2,794,397
18,1,640022,4,640,320
19,1,797789,2,797,398
20,1,272409,1,272,136
21,1,533541,1,533,266
22,1,445744,2,445,222
23,2,607173,1,607,303
24,2,764471,1,764,382
25,2,728274,3,728,364
26,2,738071,1,738,369
27,2,311655,3,311,155
28,2,566836,1,566,283
29,2,771813,5,771,385
30,2,532184,2,532,266
31,2,261149,3,261,130
32,2,339654,1,339,169
33,2,527991,4,527,263
34,3,289216,3,289,144
35,3,277169,2,277,138
36,3,758139,2,758,379
37,3,231827,3,231,115
38,3,401407,1,401,200
39,3,417231,2,417,208
40,3,675770,3,675,337
41,3,222989,1,222,111
42,3,510616,1,510,255
43,3,376393,2,376,188
44,3,734649,3,734,367
45,4,399850,1,399,199
46,4,461185,1,461,230
47,4,141139,1,141,70
48,4,739207,3,739,369
49,4,403446,1,403,201
50,4,325756,2,325,162
51,4,449982,1,449,224
52,5,764006,3,764,382
53,5,768903,5,768,384
54,5,778145,1,778,389
55,5,451136,1,451,225
56,5,648065,3,648,324
57,5,157939,1,157,78
58,5,546242,1,546,273
59,5,123548,3,123,61
60,5,556437,6,556,278
61,5,749837,2,749,374
62,5,533917,1,533,266
63,5,544503,1,544,272
64,5,237799,1,237,118
65,6,281789,3,281,140
66,6,525643,3,525,262
67,6,772052,4,772,386
68,6,655913,1,655,327
69,6,534352,2,534,267
70,6,739169,1,739,369
71,6,545625,1,545,272
72,6,447299,3,447,223
73,7,211776,1,211,105
74,7,613624,2,613,306
75,7,312803,2,312,156
76,7,258761,5,258,129
77,7,766514,3,766,383
78,7,597873,3,597,298
79,7,457092,2,457,228
80,7,121341,1,121,60
81,7,459698,2,459,229
82,7,305753,2,305,152
83,7,408474,2,408,204
84,7,449903,2,449,224
85,7,448951,1,448,224
86,8,409044,1,409,204
87,8,178840,1,178,89
88,8,265767,2,265,132
89,8,261297,2,261,130
90,8,149156,2,149,74
91,8,308281,1,308,154
92,8,187453,1,187,93
93,8,783189,3,783,391
94,8,125938,3,125,62
95,9,159164,2,159,79
96,9,547746,2,547,273
97,9,684570,1,684,342
98,9,409945,3,409,204
99,9,502681,3,502,251
100,9,365470,2,365,182
101,9,782954,2,782,391
102,9,215819,2,215,107
103,9,366907,2,366,183
104,9,581873,2,581,290
105,9,241900,2,241,120
106,9,409732,2,409,204
107,9,504427,1,504,252
108,9,637857,5,637,318
109,9,327966,3,327,163
110,9,137860,1,137,68
111,9,302630,2,302,151
112,10,623225,1,623,311
113,10,768875,1,768,384
114,10,695983,1,695,347
115,10,353078,2,353,176
116,10,468893,4,468,234
117,10,255976,2,255,127
118,11,105636,2,105,52
119,11,361578,2,361,180
120,11,439273,1,439,219
121,11,383816,1,383,191
122,11,327693,3,327,163
123,11,621393,4,621,310
124,11,100654,2,100,50
125,11,678921,2,678,339
126,11,117143,4,117,58
127,12,680222,1,680,340
128,12,429478,3,429,214
129,12,727751,2,727,363
130,12,225851,2,225,112
131,12,653375,1,653,326
132,12,766978,2,766,383
133,12,411011,3,411,205
134,12,544244,1,544,272
135,12,258272,2,258,129
136,12,326179,1,326,163
137,12,602716,4,602,301
138,12,317508,2,317,158
139,13,742710,3,742,371
140,13,450036,1,450,225
141,13,319631,1,319,159
142,13,482188,1,482,241
143,13,139148,1,139,69
144,13,251770,1,251,125
145,13,535686,2,535,267
146,13,585287,1,585,292
147,13,395901,2,395,197
148,13,178012,1,178,89
149,13,156116,2,156,78
150,14,244233,3,244,122
151,14,132152,2,132,66
152,14,206379,6,206,103
153,14,326905,1,326,163
154,14,120836,2,120,60
155,14,321439,2,321,160
156,14,286720,2,286,143
157,14,257403,2,257,128
158,14,241835,2,241,120
159,15,717397,2,717,358
160,15,250259,2,250,125
161,15,243029,7,243,121
162,15,497595,4,497,248
163,15,706306,1,706,353
164,15,747364,1,747,373
165,15,782465,3,782,391
166,15,494093,8,494,247
167,15,445452,1,445,222
168,15,544783,1,544,272
169,15,420057,4,420,210
170,15,626925,3,626,313
171,15,565994,1,565,282
172,15,461652,2,461,230
173,15,706752,4,706,353
174,16,390886,3,390,195
175,16,636119,3,636,318
176,16,213768,3,213,106
177,16,447236,1,447,223
178,16,729112,3,729,364
179,16,188741,1,188,94
180,16,118830,4,118,59
181,16,417188,1,417,208
182,16,169202,4,169,84
183,17,399189,1,399,199
184,17,317394,2,317,158
185,17,610473,1,610,305
186,17,302123,2,302,151
187,17,257699,3,257,128
188,17,377342,3,377,188
189,17,604655,2,604,302
190,17,730759,1,730,365
191,17,336824,4,336,168
192,17,612214,3,612,306
193,18,119403,3,119,59
194,18,103681,3,103,51
195,18,453699,3,453,226
196,18,739548,2,739,369
197,18,797652,3,797,398
198,18,729674,2,729,364
199,18,498845,4,498,249
200,19,193246,3,193,96
201,19,195864,1,195,97
202,19,308886,1,308,154
203,19,370561,1,370,185
204,19,481032,1,481,240
205,19,265837,2,265,132
206,19,345160,4,345,172
207,19,287646,1,287,143
208,19,583761,2,583,291
209,19,356681,4,356,178
210,19,565483,3,565,282
211,19,795923,2,795,397
212,19,635620,3,635,317
213,19,320326,2,320,160
214,19,361849,1,361,180
215,19,419248,1,419,209
216,20,446479,1,446,223
217,20,477082,1,477,238
218,20,180730,4,180,90
219,20,498167,3,498,249
220,20,337474,2,337,168
221,20,390477,2,390,195
222,20,383817,1,383,191
223,20,665158,3,665,332
224,20,353017,3,353,176
225,20,751824,1,751,375
226,21,433245,1,433,216
227,21,125494,2,125,62
228,21,723765,2,723,361
229,21,488227,2,488,244
230,21,474842,2,474,237
231,21,473704,2,473,236
232,21,494051,1,494,247
233,21,380790,1,380,190
234,21,223777,2,223,111
235,22,701648,4,701,350
236,22,399479,5,399,199
237,22,233501,4,233,116
238,22,404094,3,404,202
239,22,684942,2,684,342
240,22,469566,2,469,234
241,22,472078,4,472,236
242,23,219975,1,219,109
243,23,453330,2,453,226
244,23,466378,2,466,233
245,23,726614,2,726,363
246,23,177527,1,177,88
247,23,448848,2,448,224
248,24,532601,3,532,266
249,24,266991,2,266,133
250,24,196952,3,196,98
251,24,433260,1,433,216
252,24,565806,4,565,282
253,24,533603,2,533,266
254,24,771183,2,771,385
255,24,146015,1,146,73
256,24,202877,1,202,101
257,25,377483,2,377,188
258,25,623165,2,623,311
259,25,758851,2,758,379
260,25,493922,1,493,246
261,25,721781,3,721,360
262,25,771088,3,771,385
263,25,596753,1,596,298
264,26,491670,2,491,245
265,26,531739,3,531,265
266,26,745936,2,745,372
267,26,387307,1,387,193
268,26,773078,2,773,386
269,26,711796,1,711,355
270,26,401763,1,401,200
271,26,374270,1,374,187
272,26,689214,2,689,344
273,27,140633,1,140,70
274,27,308726,4,308,154
275,27,103317,1,103,51
276,27,407124,1,407,203
277,27,540847,2,540,270
278,27,467508,1,467,233
279,27,552558,2,552,276
280,28,377648,1,377,188
281,28,519876,1,519,259
282,28,419532,1,419,209
283,28,312369,2,312,156
284,28,679789,1,679,339
285,28,127043,3,127,63
286,28,133635,2,133,66
287,28,310387,2,310,155
288,28,180691,2,180,90
289,28,599730,2,599,299
290,28,193944,4,193,96
291,28,555796,1,555,277
292,28,615578,1,615,307
293,28,139236,1,139,69
294,28,366294,1,366,183
295,28,473513,1,473,236
296,29,628425,2,628,314
297,29,654280,2,654,327
298,29,215140,7,215,107
299,29,275993,1,275,137
300,29,745513,1,745,372
301,29,572585,6,572,286
302,29,435834,3,435,217
303,29,396379,2,396,198
304,29,310047,2,310,155
305,29,643410,3,643,321
306,30,386100,2,386,193
307,30,163879,1,163,81
308,30,682848,3,682,341
309,30,472454,2,472,236
310,30,337268,1,337,168
311,30,579280,2,579,289
312,30,607656,2,607,303
313,30,407268,4,407,203
314,30,791257,1,791,395
315,30,770392,4,770,385
316,30,414941,2,414,207
317,31,537043,2,537,268
318,31,250823,1,250,125
319,31,654661,3,654,327
320,31,222026,4,222,111
321,31,130270,1,130,65
322,31,332931,1,332,166
323,31,165184,2,165,82
324,31,607532,3,607,303
325,31,662167,1,662,331
326,31,411741,2,411,205
327,32,103626,2,103,51
328,32,710224,1,710,355
329,32,595395,2,595,297
330,32,705803,1,705,352
331,32,308137,3,308,154
332,32,679678,2,679,339
333,32,678432,2,678,339
334,32,244454,1,244,122
335,32,628313,1,628,314
336,32,536442,3,536,268
337,32,441524,2,441,220
338,32,354043,2,354,177
339,32,743198,2,743,371
340,32,562927,2,562,281
341,32,720343,1,720,360
342,32,488333,1,488,244
343,32,657749,1,657,328
344,32,358072,3,358,179
345,33,665403,1,665,332
346,33,210084,1,210,105
347,33,445876,3,445,222
348,33,573006,1,573,286
349,33,441701,2,441,220
350,33,784050,1,784,392
351,33,173568,1,173,86
352,33,158560,2,158,79
353,33,248866,1,248,124
354,33,250953,3,250,125
355,33,326024,2,326,163
356,33,280775,1,280,140
357,33,191288,1,191,95
358,34,571678,2,571,285
359,34,481164,1,481,240
360,34,114390,1,114,57
361,34,597619,2,597,298
362,34,318547,3,318,159
363,34,651595,2,651,325
364,34,327436,3,327,163
365,34,325121,4,325,162
366,35,351063,1,351,175
367,35,124502,3,124,62
368,35,646774,3,646,323
369,35,473957,1,473,236
370,35,793618,6,793,396
371,35,328300,1,328,164
372,35,203920,1,203,101
373,35,444912,3,444,222
374,35,687073,2,687,343
375,35,700338,1,700,350
376,35,647026,1,647,323
377,35,174231,3,174,87
378,36,173606,3,173,86
379,36,586517,2,586,293
380,36,403806,5,403,201
381,36,480457,1,480,240
382,36,327369,1,327,163
383,36,593896,2,593,296
384,36,256688,3,256,128
385,36,595898,1,595,297
386,36,373326,1,373,186
387,36,555229,3,555,277
388,36,262403,5,262,131
389,37,126128,2,126,63
390,37,131556,1,131,65
391,37,358470,8,358,179
392,37,777236,4,777,388
393,37,240021,2,240,120
394,37,676250,3,676,338
395,38,714342,3,714,357
396,38,617200,4,617,308
397,38,302278,3,302,151
398,38,648387,2,648,324
399,38,335943,2,335,167
400,38,283683,2,283,141
401,38,794245,2,794,397
402,39,415288,3,415,207
403,39,296292,5,296,148
404,39,632125,2,632,316
405,39,280427,2,280,140
406,39,278371,2,278,139
407,39,468946,2,468,234
408,39,726701,2,726,363
409,39,151012,1,151,75
410,39,230193,2,230,115
411,40,318168,1,318,159
412,40,248178,1,248,124
413,40,158123,3,158,79
414,40,211825,1,211,105
415,40,633008,1,633,316
416,40,268733,1,268,134
417,40,324970,1,324,162
418,40,324866,3,324,162
419,40,250862,2,250,125
420,41,682943,4,682,341
421,41,717736,1,717,358
422,41,278446,1,278,139
423,41,798267,1,798,399
424,41,281143,3,281,140
425,41,744795,2,744,372
426,41,396956,4,396,198
427,41,413045,2,413,206
428,41,160186,2,160,80
429,41,222066,3,222,111
430,41,490508,4,490,245
431,41,136160,1,136,68
432,42,119156,1,119,59
433,42,176208,2,176,88
434,42,573196,2,573,286
435,42,565536,6,565,282
436,42,773289,2,773,386
437,42,559822,1,559,279
438,42,331226,5,331,165
439,42,555775,3,555,277
440,42,547421,1,547,273
441,42,561691,4,561,280
442,42,405007,1,405,202
443,43,165439,1,165,82
444,43,762554,4,762,381
445,43,745649,2,745,372
446,43,312986,1,312,156
447,44,297286,1,297,148
448,44,592508,3,592,296
449,44,129777,1,129,64
450,44,356427,2,356,178
451,44,781543,2,781,390
452,44,520661,1,520,260
453,44,298110,2,298,149
454,44,449345,4,449,224
455,44,514627,2,514,257
456,44,378011,1,378,189
457,44,686789,1,686,343
458,44,245338,2,245,122
459,44,790568,4,790,395
460,44,601754,1,601,300
461,44,745832,1,745,372
462,45,524429,2,524,262
463,45,762727,2,762,381
464,45,659650,1,659,329
465,45,350449,3,350,175
466,45,413732,1,413,206
467,45,269357,3,269,134
468,45,750971,2,750,375
469,46,305827,2,305,152
470,46,302918,1,302,151
471,46,398451,3,398,199
472,46,442424,1,442,221
473,46,513083,1,513,256
474,46,207669,2,207,103
475,47,258998,3,258,129
476,47,727503,1,727,363
477,47,722995,1,722,361
478,47,506396,3,506,253
479,47,717125,3,717,358
480,47,345847,1,345,172
481,47,327544,2,327,163
482,48,367614,2,367,183
483,48,327467,2,327,163
484,48,246025,4,246,123
485,48,612177,1,612,306
486,48,715781,3,715,357
487,48,317995,2,317,158
488,48,393313,2,393,196
489,49,669929,2,669,334
490,49,254062,4,254,127
491,49,653949,1,653,326
492,49,768779,1,768,384
493,49,727907,1,727,363
494,49,438246,6,438,219
495,49,657373,3,657,328
496,49,197064,2,197,98
497,49,499346,1,499,249
498,49,730011,4,730,365
499,50,233114,3,233,116
500,50,591638,2,591,295
501,50,657765,1,657,328
502,50,738449,1,738,369
503,50,784076,2,784,392
504,50,440281,3,440,220
505,50,239133,1,239,119
506,50,763969,2,763,381
507,51,397515,1,397,198
508,51,445165,3,445,222
509,51,514021,2,514,257
510,51,370001,1,370,185
511,51,766980,2,766,383
512,52,632465,1,632,316
513,52,523327,1,523,261
514,52,351842,3,351,175
515,52,450722,1,450,225
516,52,714229,1,714,357
517,52,636114,1,636,318
518,52,769250,1,769,384
519,52,444572,1,444,222
520,52,610283,1,610,305
521,53,750332,2,750,375
522,53,612656,1,612,306
523,53,605350,3,605,302
524,53,437164,1,437,218
525,53,629783,1,629,314
526,53,128481,1,128,64
527,53,766627,4,766,383
528,53,237815,2,237,118
529,54,727763,3,727,363
530,54,419186,1,419,209
531,55,149476,3,149,74
532,55,390696,1,390,195
533,55,538988,1,538,269
534,55,784308,2,784,392
535,56,307383,1,307,153
536,56,169093,6,169,84
537,56,693411,1,693,346
538,56,116535,8,116,58
539,56,428634,2,428,214
540,56,670850,2,670,335
541,56,481186,1,481,240
542,56,356323,1,356,178
543,56,358916,4,358,179
544,57,330063,1,330,165
545,57,141269,2,141,70
546,57,180674,8,180,90
547,57,385291,1,385,192
548,57,538744,2,538,269
549,57,701383,2,701,350
550,57,190925,1,190,95
551,57,690669,1,690,345
552,57,723756,2,723,361
553,57,342330,1,342,171
554,58,113731,3,113,56
555,58,486791,1,486,243
556,58,591874,5,591,295
557,58,675312,1,675,337
558,58,741000,2,741,370
559,58,201121,2,201,100
560,58,365976,1,365,182
561,58,656620,1,656,328
562,58,112467,3,112,56
563,58,141025,4,141,70
564,58,244179,1,244,122
565,58,177994,2,177,88
566,58,194202,1,194,97
567,58,667769,1,667,333
568,59,495797,2,495,247
569,59,699406,3,699,349
570,59,486154,1,486,243
571,59,544854,7,544,272
572,59,748002,1,748,374
573,59,260185,2,260,130
574,59,184363,2,184,92
575,59,425188,2,425,212
576,59,311027,2,311,155
577,60,373958,1,373,186
578,60,461484,3,461,230
579,60,372168,3,372,186
580,60,682124,1,682,341
581,60,369579,3,369,184
582,60,355095,1,355,177
583,60,581632,3,581,290
584,61,361176,1,361,180
585,61,483015,1,483,241
586,61,349717,1,349,174
587,61,758767,2,758,379
588,61,132940,2,132,66
589,61,629954,1,629,314
590,61,399266,1,399,199
591,61,256164,1,256,128
592,61,306717,2,306,153
593,61,463334,2,463,231
594,61,462612,1,462,231
595,61,126505,1,126,63
596,61,661001,3,661,330
597,61,547603,1,547,273
598,61,304354,1,304,152
599,61,701799,1,701,350
600,61,312204,2,312,156
601,61,350694,2,350,175
602,61,349836,2,349,174
603,61,628168,1,628,314
604,61,536670,3,536,268
605,61,667827,1,667,333
606,61,340056,3,340,170
607,61,319057,2,319,159
608,62,639087,2,639,319
609,62,607800,1,607,303
610,62,204843,1,204,102
611,62,543942,2,543,271
612,62,148784,2,148,74
613,62,213034,1,213,106
614,62,534044,5,534,267
615,62,154362,6,154,77
616,62,153997,2,153,76
617,62,281413,5,281,140
618,63,512289,1,512,256
619,63,464543,1,464,232
620,63,568731,1,568,284
621,63,513532,2,513,256
622,63,257255,1,257,128
623,63,648912,5,648,324
624,63,578997,1,578,289
625,63,670993,1,670,335
626,63,713614,3,713,356
627,63,519972,1,519,259
628,63,168369,1,168,84
629,63,301893,2,301,150
630,63,371733,1,371,185
631,64,737300,1,737,368
632,64,747999,1,747,373
633,64,176425,2,176,88
634,64,596297,5,596,298
635,64,640282,3,640,320
636,64,211915,1,211,105
637,64,485105,1,485,242
638,64,583414,2,583,291
639,64,204672,5,204,102
640,64,379349,1,379,189
641,64,418821,1,418,209
642,64,132930,3,132,66
643,64,173313,5,173,86
644,64,213153,1,213,106
645,64,585725,1,585,292
646,64,332911,1,332,166
647,65,196058,1,196,98
648,65,187876,2,187,93
649,65,709654,2,709,354
650,65,637691,2,637,318
651,65,442196,1,442,221
652,65,361420,1,361,180
653,65,577843,1,577,288
654,65,435639,1,435,217
655,65,263004,3,263,131
656,65,458234,1,458,229
657,65,398845,1,398,199
658,65,496601,1,496,248
659,65,681529,2,681,340
660,65,765727,2,765,382
661,66,165030,3,165,82
662,66,264404,1,264,132
663,66,307397,3,307,153
664,66,579702,1,579,289
665,66,518779,1,518,259
666,66,205185,4,205,102
667,66,136404,1,136,68
668,66,155182,2,155,77
669,66,395135,1,395,197
