cloudlet_id,arrival_time,length,pes_required,file_size,output_size,deadline
0,11,44748769,3,512,256,6011
1,16,41322858,1,512,256,6016
2,18,51937619,2,512,256,6018
3,25,30731583,1,512,256,6025
4,26,39327081,1,512,256,6026
5,37,48774915,1,512,256,6037
6,57,47009750,2,512,256,6057
7,58,52851349,2,512,256,6058
8,67,44764244,1,512,256,6067
9,71,36287169,3,512,256,6071
10,71,44346307,1,512,256,6071
11,75,27968857,1,512,256,6075
12,77,20326488,3,512,256,6077
13,79,46968061,2,512,256,6079
14,93,39338316,1,512,256,6093
15,98,43700915,3,512,256,6098
16,101,19627787,1,512,256,6101
17,101,35618631,2,512,256,6101
18,105,32801714,2,512,256,6105
19,120,29629454,3,512,256,6120
20,125,12939819,2,512,256,6125
21,128,35981518,3,512,256,6128
22,133,50767651,1,512,256,6133
23,133,44571972,3,512,256,6133
24,147,32788640,1,512,256,6147
25,151,39821488,2,512,256,6151
26,151,49081600,4,512,256,6151
27,159,12000000,2,512,256,6159
28,162,38505561,2,512,256,6162
29,162,46518401,4,512,256,6162
30,165,48185543,2,512,256,6165
31,166,60408762,1,512,256,6166
32,171,53620548,3,512,256,6171
33,178,43750754,1,512,256,6178
34,183,43623712,3,512,256,6183
35,190,49443344,3,512,256,6190
36,190,33528076,2,512,256,6190
37,194,39517743,1,512,256,6194
38,198,50874868,2,512,256,6198
39,198,63489342,2,512,256,6198
40,202,38088792,1,512,256,6202
41,210,39419191,2,512,256,6210
42,215,42381762,1,512,256,6215
43,219,56118444,2,512,256,6219
44,225,39636240,2,512,256,6225
45,226,57632308,2,512,256,6226
46,233,28400113,2,512,256,6233
47,245,37767564,1,512,256,6245
48,247,37622018,2,512,256,6247
49,253,49438068,2,512,256,6253
50,253,52543124,1,512,256,6253
51,256,21886667,1,512,256,6256
52,261,29018588,1,512,256,6261
53,273,44042229,2,512,256,6273
54,274,32095676,1,512,256,6274
55,274,21730866,2,512,256,6274
56,275,52461759,3,512,256,6275
57,277,45927641,3,512,256,6277
58,283,45918129,3,512,256,6283
59,283,34294651,2,512,256,6283
60,290,52347261,1,512,256,6290
61,296,37120480,3,512,256,6296
62,303,53157223,2,512,256,6303
63,309,29060018,3,512,256,6309
64,309,29750374,2,512,256,6309
65,309,42455958,3,512,256,6309
66,312,31572014,3,512,256,6312
