cloudlet_id,arrival_time,length,pes_required,file_size,output_size,deadline
0,1,40000000,1,40000,20000,1656
1,4,10680000,1,10680,5340,942
2,18,7240000,1,7240,3620,1055
3,19,11880000,1,11880,5940,3052
4,25,15120000,1,15120,7560,1272
5,25,11960000,1,11960,5980,606
6,43,10880000,1,10880,5440,2222
7,51,40000000,1,40000,20000,3586
8,53,29760000,1,29760,14880,1044
9,55,10720000,1,10720,5360,594
10,62,8880000,1,8880,4440,1617
11,63,7200000,1,7200,3600,2628
12,72,40000000,1,40000,20000,2816
13,74,6800000,1,6800,3400,971
14,86,40000000,1,40000,20000,2614
15,89,18960000,1,18960,9480,3042
16,101,40000000,1,40000,20000,3473
17,101,14920000,1,14920,7460,1054
18,102,12800000,1,12800,6400,2622
19,103,7200000,1,7200,3600,854
20,107,40000000,1,40000,20000,1907
21,111,16280000,1,16280,8140,2626
22,113,40000000,1,40000,20000,3133
23,114,13760000,1,13760,6880,2552
24,124,14360000,1,14360,7180,1755
25,124,18880000,1,18880,9440,2373
26,126,7080000,1,7080,3540,2566
27,131,24080000,1,24080,12040,1369
28,133,14800000,1,14800,7400,1862
29,136,27320000,1,27320,13660,3805
30,140,40000000,1,40000,20000,3783
31,148,28600000,1,28600,14300,3849
32,150,12720000,1,12720,6360,2468
33,157,11120000,1,11120,5560,1166
34,160,7640000,1,7640,3820,3243
35,161,8360000,1,8360,4180,2335
36,161,23440000,1,23440,11720,2173
37,166,21800000,1,21800,10900,2491
38,169,29480000,1,29480,14740,3082
39,169,18440000,1,18440,9220,3587
40,171,40000000,1,40000,20000,1812
41,173,40000000,1,40000,20000,2894
42,174,19920000,1,19920,9960,1280
43,178,14400000,1,14400,7200,759
44,178,18480000,1,18480,9240,1019
45,181,9680000,1,9680,4840,2388
46,186,40000000,1,40000,20000,2987
47,190,7520000,1,7520,3760,2090
48,193,8000000,1,8000,4000,1144
49,194,40000000,1,40000,20000,2034
50,200,25920000,1,25920,12960,1225
51,205,8920000,1,8920,4460,1058
52,210,12320000,1,12320,6160,3271
53,210,31840000,1,31840,15920,3129
54,211,22280000,1,22280,11140,1528
55,213,7160000,1,7160,3580,1259
56,218,6680000,1,6680,3340,2008
57,221,40000000,1,40000,20000,1897
58,226,40000000,1,40000,20000,2118
59,226,33720000,1,33720,16860,1581
60,230,8800000,1,8800,4400,813
61,230,40000000,1,40000,20000,1851
62,231,16080000,1,16080,8040,1435
63,235,27080000,1,27080,13540,1129
64,235,7280000,1,7280,3640,826
65,246,6360000,1,6360,3180,2564
66,258,31160000,1,31160,15580,3860
67,261,11680000,1,11680,5840,1247
68,264,22760000,1,22760,11380,1444
69,266,7200000,1,7200,3600,2393
70,267,40000000,1,40000,20000,3246
71,273,6760000,1,6760,3380,2523
72,274,40000000,1,40000,20000,2160
