cloudlet_id,arrival_time,length,pes_required,file_size,output_size
0,0,589210,1,589,294
1,0,225691,2,225,112
2,2,116354,2,116,58
3,4,723990,4,723,361
4,8,328176,3,328,164
5,10,690763,1,690,345
6,10,565656,1,565,282
7,10,536693,5,536,268
8,10,203287,1,203,101
9,11,714989,1,714,357
10,11,580427,1,580,290
11,12,119915,1,119,59
12,14,113843,3,113,56
13,14,667570,1,667,333
14,16,350890,4,350,175
15,17,162340,1,162,81
16,17,182554,4,182,91
17,18,288199,2,288,144
18,18,781269,1,781,390
19,19,720133,7,720,360
20,19,588984,1,588,294
21,20,571183,1,571,285
22,21,590614,3,590,295
23,22,204569,2,204,102
24,24,679944,2,679,339
25,26,133151,1,133,66
26,27,482256,1,482,241
27,30,727773,4,727,363
28,31,586698,1,586,293
29,33,593431,3,593,296
30,35,472983,4,472,236
31,36,465922,1,465,232
32,36,666087,2,666,333
33,36,166116,2,166,83
34,38,778820,1,778,389
35,40,173320,1,173,86
36,40,439468,1,439,219
37,42,118371,2,118,59
38,44,763189,3,763,381
39,46,787850,2,787,393
40,47,189069,1,189,94
41,48,508156,1,508,254
42,49,636738,1,636,318
43,50,467874,1,467,233
44,50,770970,2,770,385
45,51,157364,3,157,78
46,52,264861,1,264,132
47,54,146503,3,146,73
48,55,402592,3,402,201
49,55,321966,2,321,160
50,55,346391,1,346,173
51,58,382809,2,382,191
52,60,451918,2,451,225
53,61,554262,1,554,277
54,61,289593,4,289,144
55,63,533116,2,533,266
56,64,398746,1,398,199
57,65,458458,4,458,229
58,66,622178,1,622,311
59,69,443460,4,443,221
60,71,255864,2,255,127
61,72,614125,1,614,307
62,72,433037,2,433,216
63,74,136556,3,136,68
64,76,761182,2,761,380
65,78,274754,1,274,137
66,78,691345,2,691,345
67,78,206203,2,206,103
68,79,409404,2,409,204
69,82,116409,1,116,58
70,82,598624,4,598,299
71,83,791818,2,791,395
72,87,518564,1,518,259
73,88,685037,1,685,342
74,89,372793,2,372,186
75,91,144919,4,144,72
76,91,281916,1,281,140
77,92,418751,3,418,209
78,93,336326,1,336,168
79,93,784071,2,784,392
80,96,795760,3,795,397
81,98,769190,1,769,384
82,101,660266,3,660,330
83,103,791587,2,791,395
84,104,693205,8,693,346
85,104,422834,6,422,211
86,106,275858,2,275,137
87,106,335543,1,335,167
88,109,727909,1,727,363
89,109,488789,1,488,244
90,111,526551,1,526,263
91,112,597421,2,597,298
92,113,136232,1,136,68
93,114,351409,3,351,175
94,115,707044,5,707,353
95,116,797005,2,797,398
96,117,692645,2,692,346
97,117,439936,2,439,219
98,118,726239,2,726,363
99,118,615534,1,615,307
100,120,620343,1,620,310
101,124,201542,4,201,100
102,125,206564,2,206,103
103,127,588825,2,588,294
104,127,312452,2,312,156
105,131,617639,1,617,308
106,132,721205,1,721,360
107,133,496329,2,496,248
108,135,681620,1,681,340
109,135,209341,4,209,104
110,136,599917,2,599,299
111,137,481321,1,481,240
112,140,178576,1,178,89
113,141,417135,4,417,208
114,142,494341,2,494,247
115,143,609089,1,609,304
116,146,467369,4,467,233
117,146,224399,7,224,112
118,148,651316,1,651,325
119,149,543843,1,543,271
120,151,122208,8,122,61
121,151,347686,2,347,173
122,152,793796,1,793,396
123,152,635332,1,635,317
124,153,779897,2,779,389
125,153,723766,1,723,361
126,156,555374,2,555,277
127,156,752086,1,752,376
128,159,406739,2,406,203
129,159,435624,1,435,217
130,160,421262,2,421,210
131,160,654896,4,654,327
132,161,347213,1,347,173
133,165,622878,2,622,311
134,165,776189,2,776,388
135,165,714200,3,714,357
136,166,134564,4,134,67
137,167,330186,1,330,165
138,167,777903,1,777,388
139,168,179174,2,179,89
140,168,267689,1,267,133
141,169,479650,1,479,239
142,169,161524,2,161,80
143,171,516588,4,516,258
144,172,129328,2,129,64
145,174,493729,2,493,246
146,174,552934,4,552,276
147,176,181956,2,181,90
148,176,406142,4,406,203
149,178,499519,1,499,249
150,181,467256,8,467,233
151,182,747554,3,747,373
152,182,243488,4,243,121
153,182,434973,1,434,217
154,183,684074,3,684,342
155,183,250100,1,250,125
156,184,539240,1,539,269
157,186,151672,3,151,75
158,186,109081,2,109,54
159,186,219791,1,219,109
160,188,173708,2,173,86
161,189,453521,1,453,226
162,189,455277,2,455,227
163,191,120844,1,120,60
164,192,522864,3,522,261
165,193,620486,3,620,310
166,194,535347,1,535,267
167,195,418843,1,418,209
168,197,254415,1,254,127
169,197,308720,3,308,154
170,198,563134,1,563,281
171,199,393110,1,393,196
172,200,163114,1,163,81
173,201,307543,3,307,153
174,201,623704,1,623,311
175,201,209389,3,209,104
176,201,167933,3,167,83
177,203,789368,2,789,394
178,203,518521,2,518,259
179,204,475508,5,475,237
180,206,665915,1,665,332
181,206,316060,2,316,158
182,208,729851,1,729,364
183,208,607493,1,607,303
184,210,359939,2,359,179
185,211,306625,5,306,153
186,218,123415,1,123,61
187,219,407917,1,407,203
188,220,607056,1,607,303
189,221,479102,2,479,239
190,222,453731,2,453,226
191,223,401092,2,401,200
192,226,726319,2,726,363
193,227,353046,2,353,176
194,227,418536,1,418,209
195,228,451722,1,451,225
196,229,295562,2,295,147
197,230,574572,2,574,287
198,230,127780,1,127,63
199,231,201571,3,201,100
200,232,399348,2,399,199
201,233,107080,2,107,53
202,241,520047,1,520,260
203,242,712529,2,712,356
204,244,752832,2,752,376
205,244,460335,1,460,230
206,245,157505,2,157,78
207,245,420809,1,420,210
208,248,632959,1,632,316
209,248,510614,2,510,255
210,248,556102,1,556,278
211,250,271794,4,271,135
212,252,601922,2,601,300
213,253,366494,1,366,183
214,254,351061,3,351,175
215,255,796595,2,796,398
216,256,587603,1,587,293
217,258,245774,1,245,122
218,259,632863,2,632,316
219,260,634170,1,634,317
220,260,268102,3,268,134
221,260,542294,2,542,271
222,261,766163,1,766,383
223,262,387956,1,387,193
224,264,761752,1,761,380
225,264,283272,1,283,141
226,265,151204,4,151,75
227,270,306312,4,306,153
228,270,123715,1,123,61
229,270,292483,1,292,146
230,271,419902,4,419,209
