cloudlet_id,arrival_time,length,pes_required,file_size,output_size
0,0,522515,4,522,261
1,0,768234,2,768,384
2,0,478480,2,478,239
3,1,132711,2,132,66
4,1,601157,2,601,300
5,1,284423,4,284,142
6,2,616349,4,616,308
7,2,757917,4,757,378
8,2,233272,2,233,116
9,2,743409,3,743,371
10,2,177505,2,177,88
11,3,102869,2,102,51
12,3,554351,1,554,277
13,3,412252,3,412,206
14,3,736584,3,736,368
15,4,718467,2,718,359
16,4,190272,3,190,95
17,4,138467,2,138,69
18,5,580047,1,580,290
19,5,759347,1,759,379
20,5,158871,1,158,79
21,5,228391,1,228,114
22,6,539430,1,539,269
23,6,710704,2,710,355
24,6,356687,1,356,178
25,6,207450,2,207,103
26,7,271890,1,271,135
27,7,538741,2,538,269
28,7,381974,1,381,190
29,8,500109,1,500,250
30,8,216381,2,216,108
31,8,573125,2,573,286
32,8,671621,1,671,335
33,9,234508,4,234,117
34,9,499111,1,499,249
35,9,250810,2,250,125
36,10,392890,5,392,196
37,10,673665,2,673,336
38,10,460032,2,460,230
39,11,469599,2,469,234
40,11,760960,2,760,380
41,11,271836,3,271,135
42,11,145714,1,145,72
43,11,727234,1,727,363
44,11,730271,2,730,365
45,11,566960,4,566,283
46,12,224123,2,224,112
47,13,405628,1,405,202
48,13,182989,2,182,91
49,13,398356,3,398,199
50,13,278274,1,278,139
51,14,787995,1,787,393
52,14,425352,2,425,212
53,14,511927,2,511,255
54,14,231373,1,231,115
55,14,538452,1,538,269
56,15,215294,1,215,107
57,15,559451,1,559,279
58,15,748307,5,748,374
59,16,165726,3,165,82
60,16,241564,1,241,120
61,16,477812,5,477,238
62,17,368246,2,368,184
63,17,218015,2,218,109
64,17,354079,2,354,177
65,17,650929,1,650,325
66,18,789944,1,789,394
67,18,788105,2,788,394
68,18,613758,2,613,306
69,18,465890,1,465,232
70,18,545101,4,545,272
71,18,136631,3,136,68
72,19,172991,1,172,86
73,19,104014,4,104,52
74,19,373237,5,373,186
75,19,118070,8,118,59
76,19,156958,1,156,78
77,19,182074,3,182,91
78,20,635017,2,635,317
79,20,276089,3,276,138
80,20,297392,5,297,148
81,20,258823,2,258,129
82,21,730152,3,730,365
83,21,493002,4,493,246
84,21,598863,3,598,299
85,21,467654,2,467,233
86,22,679036,1,679,339
87,22,630089,1,630,315
88,23,250262,4,250,125
89,23,542905,1,542,271
90,24,335362,2,335,167
91,25,544209,1,544,272
92,25,653880,2,653,326
93,25,764076,4,764,382
94,25,319963,4,319,159
95,26,580761,1,580,290
96,27,348710,4,348,174
97,28,320984,2,320,160
98,29,364512,1,364,182
99,29,701863,3,701,350
100,29,368799,2,368,184
101,29,337549,1,337,168
102,30,694319,3,694,347
103,30,584299,1,584,292
104,30,712210,1,712,356
105,30,548982,2,548,274
106,30,224046,1,224,112
107,31,506619,2,506,253
108,31,132097,2,132,66
109,31,766326,3,766,383
110,31,749150,3,749,374
111,31,330229,3,330,165
112,32,218834,3,218,109
113,32,193848,2,193,96
114,32,152921,1,152,76
115,32,750429,2,750,375
116,33,384821,2,384,192
117,33,155609,1,155,77
118,35,327897,2,327,163
119,35,131024,2,131,65
120,35,170313,3,170,85
121,35,489957,5,489,244
122,36,284078,2,284,142
123,36,457429,1,457,228
124,36,561243,1,561,280
125,36,213632,4,213,106
126,37,351451,4,351,175
127,37,103051,1,103,51
128,37,476836,2,476,238
129,38,711523,1,711,355
130,38,289407,1,289,144
131,38,549395,1,549,274
132,38,562894,1,562,281
133,38,311810,8,311,155
134,39,173523,2,173,86
135,39,194476,1,194,97
136,40,333841,3,333,166
137,40,322866,4,322,161
138,41,186672,5,186,93
139,41,698135,1,698,349
140,42,444894,1,444,222
141,42,128251,1,128,64
142,42,727769,1,727,363
143,42,474710,1,474,237
144,43,650233,2,650,325
145,43,132217,1,132,66
146,43,108308,1,108,54
147,43,368093,1,368,184
148,43,283062,1,283,141
149,45,494366,1,494,247
150,45,200235,2,200,100
151,45,174740,1,174,87
152,46,478496,1,478,239
153,46,277247,2,277,138
154,46,763165,2,763,381
155,46,629525,1,629,314
156,46,120056,1,120,60
157,47,276615,1,276,138
158,48,287628,4,287,143
159,48,738836,2,738,369
160,48,473632,2,473,236
161,48,234415,4,234,117
162,48,506716,1,506,253
163,48,546438,4,546,273
164,49,653663,2,653,326
165,49,765022,1,765,382
166,49,641252,2,641,320
167,49,737717,3,737,368
168,50,352764,2,352,176
169,51,566882,6,566,283
170,51,612153,1,612,306
171,51,167215,3,167,83
172,52,244356,1,244,122
173,52,303861,3,303,151
174,53,455612,2,455,227
175,53,554605,1,554,277
176,53,109435,1,109,54
177,53,547556,1,547,273
178,53,799438,1,799,399
179,53,675581,1,675,337
180,53,178781,2,178,89
181,54,291475,2,291,145
182,54,260196,3,260,130
183,54,326507,4,326,163
184,54,406063,2,406,203
185,55,790607,3,790,395
186,55,221172,3,221,110
187,55,456902,1,456,228
188,56,584963,1,584,292
189,56,555968,1,555,277
190,56,418717,1,418,209
191,56,159101,1,159,79
192,57,595972,1,595,297
193,57,388790,4,388,194
194,57,647337,3,647,323
195,58,460260,1,460,230
196,58,692673,1,692,346
197,58,750419,1,750,375
198,59,533374,2,533,266
199,59,647577,2,647,323
