cloudlet_id,arrival_time,length,pes_required,file_size,output_size
0,0,242116,4,242,121
1,0,560897,1,560,280
2,0,254886,1,254,127
3,1,365973,1,365,182
4,2,580300,3,580,290
5,2,238782,2,238,119
6,3,171010,3,171,85
7,4,726838,1,726,363
8,4,549550,1,549,274
9,4,186134,3,186,93
10,5,546617,2,546,273
11,5,439384,2,439,219
12,5,371273,1,371,185
13,5,534979,2,534,267
14,6,546769,2,546,273
15,6,584675,2,584,292
16,7,342181,2,342,171
17,7,163991,1,163,81
18,8,689464,3,689,344
19,8,536775,2,536,268
20,8,428167,1,428,214
21,9,727488,1,727,363
22,9,155577,2,155,77
23,9,608005,4,608,304
24,9,363416,1,363,181
25,9,288092,1,288,144
26,9,234421,1,234,117
27,10,107202,2,107,53
28,10,227904,3,227,113
29,10,650712,4,650,325
30,11,792991,8,792,396
31,12,773781,3,773,386
32,13,564659,4,564,282
33,14,392849,3,392,196
34,14,102673,4,102,51
35,14,291824,2,291,145
36,14,772638,3,772,386
37,15,767061,1,767,383
38,15,555138,2,555,277
39,16,499038,1,499,249
40,16,449831,2,449,224
41,18,304523,2,304,152
42,18,108411,1,108,54
43,19,355213,1,355,177
44,19,326758,1,326,163
45,19,554849,1,554,277
46,19,679422,2,679,339
47,20,553211,2,553,276
48,20,472275,3,472,236
49,21,280082,1,280,140
50,21,334234,2,334,167
51,21,635166,5,635,317
52,21,777026,3,777,388
53,21,502615,2,502,251
54,22,601029,3,601,300
55,23,498548,1,498,249
56,24,428152,1,428,214
57,25,370945,4,370,185
58,27,732506,3,732,366
59,27,230844,1,230,115
60,28,150409,2,150,75
61,28,656916,1,656,328
62,28,255484,3,255,127
63,28,497458,2,497,248
64,29,228704,1,228,114
65,29,150940,3,150,75
66,29,160317,1,160,80
67,30,554332,1,554,277
68,31,597517,2,597,298
69,31,617446,1,617,308
70,31,451988,1,451,225
71,31,216069,1,216,108
72,32,757129,2,757,378
73,32,530385,1,530,265
74,32,308451,3,308,154
75,32,304926,2,304,152
76,33,787042,2,787,393
77,33,303046,1,303,151
78,33,185041,5,185,92
79,34,344887,4,344,172
80,34,102376,2,102,51
81,34,488366,1,488,244
82,36,555763,6,555,277
83,37,775536,5,775,387
84,37,276851,1,276,138
85,38,315538,2,315,157
86,38,631622,2,631,315
87,39,647813,1,647,323
88,39,554661,2,554,277
89,40,129466,1,129,64
90,41,785866,2,785,392
91,42,247805,2,247,123
92,43,456958,4,456,228
93,43,300021,1,300,150
94,43,437405,1,437,218
95,43,217418,4,217,108
96,46,365576,1,365,182
97,46,493050,2,493,246
98,47,139664,1,139,69
99,48,711630,1,711,355
100,48,724828,2,724,362
101,48,784153,1,784,392
102,49,231400,1,231,115
103,49,430177,1,430,215
104,50,492654,2,492,246
105,50,368702,5,368,184
106,50,494712,1,494,247
107,51,195424,1,195,97
108,51,567032,1,567,283
109,53,649283,1,649,324
110,53,320110,1,320,160
111,54,123637,1,123,61
112,54,263266,1,263,131
113,54,176395,1,176,88
114,54,764350,1,764,382
115,55,427207,2,427,213
116,57,230546,1,230,115
117,57,358158,2,358,179
118,57,155448,2,155,77
119,58,501646,3,501,250
120,58,103946,1,103,51
121,58,568377,4,568,284
122,59,386168,2,386,193
123,59,325224,1,325,162
124,59,345968,2,345,172
125,60,203786,2,203,101
126,61,789500,2,789,394
127,62,664905,2,664,332
128,63,285577,2,285,142
129,63,656529,2,656,328
130,64,757237,2,757,378
131,64,129167,1,129,64
132,64,162309,1,162,81
133,64,604826,1,604,302
134,65,460656,2,460,230
135,65,336928,1,336,168
136,65,272474,2,272,136
137,66,138915,1,138,69
138,66,450341,1,450,225
139,66,613866,3,613,306
140,67,720936,1,720,360
141,67,661016,2,661,330
142,67,309309,1,309,154
143,68,498327,1,498,249
144,68,641105,3,641,320
145,68,795001,1,795,397
146,69,767762,5,767,383
147,70,747911,3,747,373
148,70,210247,4,210,105
149,71,648692,1,648,324
150,71,233299,1,233,116
151,73,252321,1,252,126
152,73,790918,1,790,395
153,74,187451,2,187,93
154,74,423923,1,423,211
155,74,130012,1,130,65
156,74,542154,2,542,271
157,75,567149,4,567,283
158,75,720511,5,720,360
159,76,576237,1,576,288
160,76,653673,4,653,326
161,76,112729,1,112,56
162,76,324831,1,324,162
163,77,147400,1,147,73
164,77,793893,5,793,396
165,78,711238,1,711,355
166,78,537672,3,537,268
167,78,586897,1,586,293
168,78,451380,3,451,225
169,79,300172,2,300,150
170,79,381436,1,381,190
171,79,632802,3,632,316
172,81,773156,1,773,386
173,81,139514,5,139,69
174,81,221767,1,221,110
175,82,236801,2,236,118
176,83,556246,1,556,278
177,84,207616,2,207,103
178,84,503063,1,503,251
179,84,371081,1,371,185
180,84,772684,3,772,386
181,85,428562,1,428,214
182,85,603764,1,603,301
183,86,368976,3,368,184
184,86,514499,1,514,257
185,86,568203,4,568,284
186,87,284628,4,284,142
187,88,170177,1,170,85
188,88,226989,2,226,113
189,89,708841,5,708,354
190,89,524297,1,524,262
191,89,157950,1,157,78
192,89,373478,1,373,186
193,90,186277,2,186,93
194,90,662788,4,662,331
195,90,245447,2,245,122
196,91,185991,3,185,92
197,92,534849,4,534,267
198,92,555706,1,555,277
199,95,607853,1,607,303
200,99,729298,3,729,364
201,99,632982,1,632,316
202,99,377320,1,377,188
203,100,554504,2,554,277
204,100,379515,3,379,189
205,100,539304,1,539,269
206,100,175820,1,175,87
207,101,398781,1,398,199
208,101,121990,1,121,60
209,101,706660,2,706,353
210,102,104641,2,104,52
211,103,590374,4,590,295
212,103,212540,2,212,106
213,103,162498,4,162,81
214,105,464833,2,464,232
215,105,281335,1,281,140
216,106,531807,4,531,265
217,106,650174,1,650,325
218,106,711428,1,711,355
219,107,651603,3,651,325
220,107,187715,1,187,93
221,107,455908,1,455,227
222,107,658541,2,658,329
223,107,322018,2,322,161
