cloudlet_id,arrival_time,length,pes_required,file_size,output_size
0,1,174481,3,174,87
1,1,365146,2,365,182
2,1,276251,2,276,138
3,2,361473,4,361,180
4,3,242467,1,242,121
5,4,485182,1,485,242
6,8,476947,3,476,238
7,9,395961,2,395,197
8,10,446737,2,446,223
9,10,378692,4,378,189
10,11,512805,3,512,256
11,12,410446,4,410,205
12,12,360183,1,360,180
13,13,539437,3,539,269
14,13,589123,3,589,294
15,14,600618,1,600,300
16,15,251458,1,251,125
17,15,319832,1,319,159
18,16,144775,2,144,72
19,16,364215,3,364,182
20,17,462418,2,462,231
21,19,380079,1,380,190
22,20,689627,1,689,344
23,21,339123,4,339,169
24,23,236723,1,236,118
25,23,485275,4,485,242
26,24,422490,1,422,211
27,24,482446,2,482,241
28,24,445568,2,445,222
29,25,436564,1,436,218
30,25,81655,1,81,40
31,26,291082,8,291,145
32,26,311451,2,311,155
33,27,347805,2,347,173
34,28,332741,2,332,166
35,28,461922,1,461,230
36,29,490132,2,490,245
37,31,230253,3,230,115
38,34,503020,1,503,251
39,34,487865,1,487,243
40,35,469865,1,469,234
41,35,187315,3,187,93
42,36,466087,4,466,233
43,36,412389,2,412,206
44,38,544132,2,544,272
45,39,667653,1,667,333
46,39,638210,1,638,319
47,44,416896,1,416,208
48,44,399718,2,399,199
49,45,494792,2,494,247
50,45,232744,1,232,116
51,47,182397,1,182,91
52,48,329120,4,329,164
53,49,583085,1,583,291
54,49,350330,2,350,175
55,50,625387,1,625,312
56,50,50000,4,50,25
57,51,161919,2,161,80
58,53,381446,2,381,190
59,54,533229,2,533,266
60,55,389556,1,389,194
61,56,385652,1,385,192
62,57,381738,4,381,190
63,58,135565,2,135,67
64,60,573710,1,573,286
65,60,297585,1,297,148
66,62,563429,1,563,281
67,62,389421,2,389,194
68,62,560224,2,560,280
69,63,451488,2,451,225
70,63,383998,4,383,191
71,65,433939,4,433,216
72,66,179053,3,179,89
73,67,400904,3,400,200
74,67,657406,1,657,328
75,68,596229,1,596,298
76,69,252246,5,252,126
77,69,475852,1,475,237
78,70,437196,2,437,218
79,71,522578,3,522,261
80,71,414122,1,414,207
81,72,364974,5,364,182
82,73,599594,4,599,299
83,74,432459,1,432,216
84,76,588319,1,588,294
85,78,546157,4,546,273
86,78,351326,1,351,175
87,79,374949,1,374,187
88,79,689474,2,689,344
89,79,428722,1,428,214
90,81,286205,2,286,143
91,86,219993,2,219,109
92,86,546119,2,546,273
93,88,424044,1,424,212
