cloudlet_id,arrival_time,length,pes_required,file_size,output_size
0,0,164044,1,164,82
1,6,542296,1,542,271
2,9,209556,3,209,104
3,11,626981,3,626,313
4,11,300235,4,300,150
5,12,125939,2,125,62
6,12,252906,4,252,126
7,16,642335,4,642,321
8,18,388249,4,388,194
9,20,175766,3,175,87
10,20,508923,2,508,254
11,27,515192,2,515,257
12,31,668550,1,668,334
13,31,487261,4,487,243
14,32,785440,5,785,392
15,32,752664,1,752,376
16,33,554589,1,554,277
17,34,237848,2,237,118
18,35,717075,2,717,358
19,36,227948,7,227,113
20,38,679304,1,679,339
21,38,502690,1,502,251
22,39,599046,2,599,299
23,40,551269,1,551,275
24,41,121959,1,121,60
25,44,760890,3,760,380
26,45,328576,3,328,164
27,46,637833,1,637,318
28,48,265838,2,265,132
29,48,435674,2,435,217
30,50,161087,2,161,80
31,50,693128,1,693,346
32,50,218451,2,218,109
33,56,547600,5,547,273
34,63,539792,2,539,269
35,66,139353,4,139,69
36,67,293075,2,293,146
37,67,314283,1,314,157
38,69,414877,2,414,207
39,71,165318,2,165,82
40,71,582690,4,582,291
41,72,516880,1,516,258
42,72,691460,2,691,345
43,77,193264,2,193,96
44,78,325281,3,325,162
45,80,737147,1,737,368
46,81,494070,7,494,247
47,82,452228,2,452,226
48,84,531839,1,531,265
49,84,369536,4,369,184
50,91,417824,3,417,208
51,94,357426,5,357,178
52,100,277789,1,277,138
53,104,613153,2,613,306
54,106,225657,2,225,112
55,111,335167,6,335,167
56,111,781669,1,781,390
57,112,580671,1,580,290
58,112,170467,1,170,85
59,113,283734,1,283,141
60,114,722794,2,722,361
61,114,209751,1,209,104
62,118,481050,1,481,240
63,119,792517,3,792,396
64,119,561079,4,561,280
65,121,468452,1,468,234
66,121,206081,1,206,103
67,124,713333,2,713,356
68,125,658986,1,658,329
69,133,210078,1,210,105
70,136,122671,1,122,61
71,137,518400,1,518,259
72,137,455528,3,455,227
73,140,710490,1,710,355
74,142,151663,3,151,75
75,145,115708,2,115,57
76,148,411955,1,411,205
77,148,233883,2,233,116
78,149,418394,1,418,209
79,149,212547,2,212,106
80,153,659042,1,659,329
81,155,242483,1,242,121
82,156,758271,2,758,379
83,156,314835,1,314,157
84,157,501896,1,501,250
85,158,184896,1,184,92
86,160,577095,1,577,288
87,162,171295,4,171,85
88,167,373255,1,373,186
89,168,399648,2,399,199
90,168,757162,2,757,378
91,171,108155,2,108,54
92,174,566872,1,566,283
93,175,474705,1,474,237
94,178,671542,6,671,335
95,180,710269,3,710,355
96,181,654594,4,654,327
97,182,247718,1,247,123
98,182,408987,1,408,204
99,182,745263,1,745,372
100,183,458745,2,458,229
101,185,207512,1,207,103
102,185,247443,3,247,123
103,187,570587,1,570,285
104,191,473616,5,473,236
105,192,757409,2,757,378
106,193,786976,3,786,393
107,196,465871,1,465,232
108,196,475037,2,475,237
109,197,217796,2,217,108
110,197,391999,1,391,195
111,198,292506,1,292,146
