cloudlet_id,arrival_time,length,pes_required,file_size,output_size
0,0,221958,2,221,110
1,2,771155,2,771,385
2,4,231932,1,231,115
3,6,465838,4,465,232
4,8,359178,2,359,179
5,10,744167,2,744,372
6,12,210268,4,210,105
7,14,154886,2,154,77
8,16,237337,1,237,118
9,18,621430,1,621,310
10,20,187498,2,187,93
11,22,275203,1,275,137
12,24,291335,2,291,145
13,26,378167,4,378,189
14,28,141090,1,141,70
15,30,429365,1,429,214
16,32,164820,1,164,82
17,34,421879,4,421,210
18,36,427069,1,427,213
19,38,299041,2,299,149
20,40,203355,1,203,101
21,42,335796,1,335,167
22,44,314176,1,314,157
23,46,284779,1,284,142
24,48,447449,2,447,223
25,50,521909,2,521,260
26,52,358795,2,358,179
27,54,586232,1,586,293
28,56,600186,1,600,300
29,58,256730,1,256,128
30,60,484681,1,484,242
31,62,249503,2,249,124
32,64,754811,2,754,377
33,66,627035,1,627,313
34,68,748143,1,748,374
35,70,552366,1,552,276
36,72,165725,2,165,82
37,74,229981,3,229,114
38,76,184654,1,184,92
39,78,691723,8,691,345
40,80,419030,1,419,209
41,82,428947,5,428,214
42,84,655839,2,655,327
43,86,373538,1,373,186
44,88,431236,1,431,215
45,90,628178,2,628,314
46,92,665894,2,665,332
47,94,589492,2,589,294
48,96,356840,2,356,178
49,98,573254,2,573,286
50,100,449457,2,449,224
51,102,765987,1,765,382
52,104,370936,1,370,185
53,106,339931,1,339,169
54,108,339629,3,339,169
55,110,305041,2,305,152
56,112,798361,6,798,399
57,114,517113,1,517,258
58,116,168148,3,168,84
59,118,748531,3,748,374
60,120,351995,1,351,175
61,122,778843,2,778,389
62,124,672843,2,672,336
63,126,356508,4,356,178
64,128,206530,1,206,103
65,130,704365,1,704,352
66,132,560337,3,560,280
67,134,559773,3,559,279
68,136,308261,1,308,154
69,138,441097,1,441,220
70,140,415139,4,415,207
71,142,271829,1,271,135
72,144,371836,2,371,185
73,146,538974,3,538,269
74,148,302283,2,302,151
75,151,296769,3,296,148
76,153,661353,1,661,330
77,155,323165,2,323,161
78,157,723587,2,723,361
79,159,635822,1,635,317
80,161,587879,1,587,293
81,163,664685,6,664,332
82,165,453531,2,453,226
83,167,363160,1,363,181
84,169,679879,8,679,339
85,171,320884,5,320,160
86,173,123247,2,123,61
87,175,124300,4,124,62
88,177,567281,1,567,283
89,179,707086,1,707,353
90,181,633556,3,633,316
91,183,448951,3,448,224
92,185,374329,4,374,187
93,187,532315,2,532,266
94,189,616588,4,616,308
95,191,336584,4,336,168
96,193,662332,4,662,331
97,195,476896,3,476,238
98,197,148984,2,148,74
99,199,402918,2,402,201
100,201,364712,1,364,182
101,203,220151,4,220,110
102,205,555808,5,555,277
103,207,233767,1,233,116
104,209,748663,1,748,374
105,211,236330,2,236,118
106,213,580754,2,580,290
107,215,401648,7,401,200
108,217,788519,1,788,394
109,219,113986,1,113,56
110,221,686146,2,686,343
111,223,229312,1,229,114
112,225,112666,1,112,56
113,227,400804,3,400,200
114,229,234633,3,234,117
115,231,388998,1,388,194
116,233,728776,2,728,364
117,235,384806,2,384,192
118,237,130535,2,130,65
119,239,475713,1,475,237
120,241,451279,2,451,225
121,243,701661,5,701,350
122,245,747972,2,747,373
123,247,589570,4,589,294
124,249,556551,2,556,278
125,251,373109,1,373,186
126,253,124538,2,124,62
127,255,301664,2,301,150
128,257,591234,4,591,295
129,259,239182,1,239,119
130,261,572525,2,572,286
131,263,258338,2,258,129
132,265,284064,3,284,142
133,267,314020,1,314,157
134,269,723094,7,723,361
135,271,715270,2,715,357
136,273,745914,1,745,372
137,275,219176,4,219,109
138,277,318126,3,318,159
139,279,318969,5,318,159
140,281,222409,1,222,111
141,283,647707,2,647,323
142,285,353618,2,353,176
143,287,150015,6,150,75
144,289,222096,1,222,111
145,291,731347,1,731,365
146,293,285340,1,285,142
147,295,210687,1,210,105
148,297,511357,2,511,255
149,300,205878,1,205,102
