cloudlet_id,arrival_time,length,pes_required,file_size,output_size,deadline
0,1,40000000,1,40000,20000,3896
1,4,10680000,1,10680,5340,2641
2,18,7240000,1,7240,3620,2829
3,19,11880000,1,11880,5940,3052
4,25,15120000,1,15120,7560,2002
5,25,11960000,1,11960,5980,2513
6,43,10880000,1,10880,5440,2222
7,51,40000000,1,40000,20000,3586
8,53,29760000,1,29760,14880,2394
9,55,10720000,1,10720,5360,2618
10,62,8880000,1,8880,4440,1617
11,63,7200000,1,7200,3600,2628
12,72,40000000,1,40000,20000,2816
13,74,6800000,1,6800,3400,2530
14,86,40000000,1,40000,20000,2614
15,89,18960000,1,18960,9480,3042
16,101,40000000,1,40000,20000,3473
17,101,14920000,1,14920,7460,2630
18,102,12800000,1,12800,6400,2622
19,103,7200000,1,7200,3600,1485
20,107,40000000,1,40000,20000,4023
21,111,16280000,1,16280,8140,2626
22,113,40000000,1,40000,20000,3133
23,114,13760000,1,13760,6880,2552
24,124,14360000,1,14360,7180,1755
25,124,18880000,1,18880,9440,2373
26,126,7080000,1,7080,3540,2566
27,131,24080000,1,24080,12040,3240
28,133,14800000,1,14800,7400,1862
29,136,27320000,1,27320,13660,3805
30,140,40000000,1,40000,20000,3783
31,148,28600000,1,28600,14300,3849
32,150,12720000,1,12720,6360,2468
33,157,11120000,1,11120,5560,3260
34,160,7640000,1,7640,3820,3243
35,161,8360000,1,8360,4180,2335
36,161,23440000,1,23440,11720,2173
37,166,21800000,1,21800,10900,2491
38,169,29480000,1,29480,14740,3082
39,169,18440000,1,18440,9220,3587
40,171,40000000,1,40000,20000,3999
41,173,40000000,1,40000,20000,2894
42,174,19920000,1,19920,9960,3509
43,178,14400000,1,14400,7200,1915
44,178,18480000,1,18480,9240,2296
45,181,9680000,1,9680,4840,2388
46,186,40000000,1,40000,20000,2987
47,190,7520000,1,7520,3760,2090
48,193,8000000,1,8000,4000,1901
49,194,40000000,1,40000,20000,3288
50,200,25920000,1,25920,12960,2411
51,205,8920000,1,8920,4460,3254
52,210,12320000,1,12320,6160,3271
53,210,31840000,1,31840,15920,3129
54,211,22280000,1,22280,11140,3321
55,213,7160000,1,7160,3580,2476
56,218,6680000,1,6680,3340,2008
57,221,40000000,1,40000,20000,3147
58,226,40000000,1,40000,20000,3396
59,226,33720000,1,33720,16860,2506
60,230,8800000,1,8800,4400,2024
61,230,40000000,1,40000,20000,3624
62,231,16080000,1,16080,8040,3243
63,235,27080000,1,27080,13540,2442
64,235,7280000,1,7280,3640,2096
65,246,6360000,1,6360,3180,2564
66,258,31160000,1,31160,15580,3860
67,261,11680000,1,11680,5840,3089
68,264,22760000,1,22760,11380,2644
69,266,7200000,1,7200,3600,2393
70,267,40000000,1,40000,20000,3246
71,273,6760000,1,6760,3380,2523
72,274,40000000,1,40000,20000,3809
73,274,18560000,1,18560,9280,3622
74,278,6840000,1,6840,3420,3329
75,280,13720000,1,13720,6860,3168
76,283,40000000,1,40000,20000,4210
77,292,23920000,1,23920,11960,3715
78,292,14160000,1,14160,7080,3316
79,295,10720000,1,10720,5360,2387
80,302,18360000,1,18360,9180,2355
81,302,8760000,1,8760,4380,3293
82,311,27520000,1,27520,13760,2201
83,311,40000000,1,40000,20000,4201
84,312,13160000,1,13160,6580,2335
85,313,24600000,1,24600,12300,3485
86,316,6720000,1,6720,3360,2203
87,316,31480000,1,31480,15740,2826
88,318,13160000,1,13160,6580,3590
89,322,40000000,1,40000,20000,4060
90,324,10320000,1,10320,5160,3509
91,327,40000000,1,40000,20000,4025
92,331,7920000,1,7920,3960,2879
93,331,7440000,1,7440,3720,2509
94,336,9520000,1,9520,4760,2208
95,339,16920000,1,16920,8460,2425
96,354,6440000,1,6440,3220,2425
97,362,10560000,1,10560,5280,2668
98,363,22480000,1,22480,11240,2127
99,366,10600000,1,10600,5300,3005
100,367,23560000,1,23560,11780,2446
101,368,25640000,1,25640,12820,3505
102,372,40000000,1,40000,20000,3965
103,377,11880000,1,11880,5940,1936
104,378,7920000,1,7920,3960,3547
105,381,12480000,1,12480,6240,2060
106,381,6360000,1,6360,3180,2697
107,384,40000000,1,40000,20000,2705
108,392,14200000,1,14200,7100,3533
109,395,9320000,1,9320,4660,3402
110,405,7200000,1,7200,3600,3561
111,406,19920000,1,19920,9960,2119
112,408,40000000,1,40000,20000,3570
113,410,8680000,1,8680,4340,3036
114,427,8160000,1,8160,4080,2787
115,428,6120000,1,6120,3060,2864
116,428,40000000,1,40000,20000,3101
117,449,7000000,1,7000,3500,2526
118,452,7880000,1,7880,3940,2779
119,456,38560000,1,38560,19280,3972
120,462,37440000,1,37440,18720,3033
121,465,40000000,1,40000,20000,3736
122,471,13440000,1,13440,6720,2369
123,473,7920000,1,7920,3960,3643
124,477,40000000,1,40000,20000,3488
125,485,39280000,1,39280,19640,4450
126,487,20400000,1,20400,10200,3180
127,489,19040000,1,19040,9520,2194
128,489,7920000,1,7920,3960,2684
129,497,21000000,1,21000,10500,2470
130,497,29760000,1,29760,14880,3814
131,498,32520000,1,32520,16260,2601
132,503,6960000,1,6960,3480,3065
133,505,8040000,1,8040,4020,3342
134,510,7920000,1,7920,3960,2023
135,515,7200000,1,7200,3600,2519
136,515,8880000,1,8880,4440,2254
137,516,7320000,1,7320,3660,2017
138,526,14400000,1,14400,7200,2827
139,527,11040000,1,11040,5520,3781
140,533,20560000,1,20560,10280,2541
141,534,8440000,1,8440,4220,2754
142,535,17520000,1,17520,8760,3343
143,544,40000000,1,40000,20000,4214
144,546,40000000,1,40000,20000,4164
145,549,6680000,1,6680,3340,2785
146,553,22520000,1,22520,11260,3518
147,555,28080000,1,28080,14040,4140
148,566,12480000,1,12480,6240,2327
149,567,8480000,1,8480,4240,3344
150,571,21600000,1,21600,10800,3974
151,575,6920000,1,6920,3460,2984
152,591,7160000,1,7160,3580,3141
153,592,9800000,1,9800,4900,3519
154,595,10080000,1,10080,5040,2314
155,595,7200000,1,7200,3600,2627
