cloudlet_id,arrival_time,length,pes_required,file_size,output_size
0,0,221958,6,221,110
1,0,771155,2,771,385
2,0,231932,4,231,115
3,0,465838,3,465,232
4,0,359178,2,359,179
5,0,744167,3,744,372
6,1,210268,1,210,105
7,1,154886,2,154,77
8,1,237337,1,237,118
9,1,621430,3,621,310
10,1,187498,1,187,93
11,1,275203,3,275,137
12,2,291335,1,291,145
13,2,378167,4,378,189
14,2,141090,1,141,70
15,2,429365,2,429,214
16,2,164820,2,164,82
17,3,421879,1,421,210
18,3,427069,2,427,213
19,3,299041,4,299,149
20,3,203355,1,203,101
21,3,335796,4,335,167
22,3,314176,2,314,157
23,4,284779,3,284,142
24,4,447449,1,447,223
25,4,521909,2,521,260
26,4,358795,4,358,179
27,4,586232,2,586,293
28,5,600186,2,600,300
29,5,256730,1,256,128
30,5,484681,1,484,242
31,5,249503,2,249,124
32,5,754811,3,754,377
33,5,627035,2,627,313
34,6,748143,1,748,374
35,6,552366,2,552,276
36,6,165725,1,165,82
37,6,229981,2,229,114
38,6,184654,4,184,92
39,7,691723,3,691,345
40,7,419030,1,419,209
41,7,428947,4,428,214
42,7,655839,2,655,327
43,7,373538,3,373,186
44,7,431236,1,431,215
45,8,628178,2,628,314
46,8,665894,1,665,332
47,8,589492,2,589,294
48,8,356840,1,356,178
49,8,573254,1,573,286
50,9,449457,1,449,224
51,9,765987,1,765,382
52,9,370936,1,370,185
53,9,339931,2,339,169
54,9,339629,1,339,169
55,9,305041,2,305,152
56,10,798361,1,798,399
57,10,517113,4,517,258
58,10,168148,4,168,84
59,10,748531,1,748,374
60,10,351995,2,351,175
61,10,778843,1,778,389
62,11,672843,4,672,336
63,11,356508,2,356,178
64,11,206530,1,206,103
65,11,704365,1,704,352
66,11,560337,1,560,280
67,12,559773,1,559,279
68,12,308261,2,308,154
69,12,441097,2,441,220
70,12,415139,1,415,207
71,12,271829,1,271,135
72,12,371836,1,371,185
73,13,538974,1,538,269
74,13,302283,3,302,151
75,13,296769,1,296,148
76,13,661353,2,661,330
77,13,323165,1,323,161
