step,defers,green_w_dc0,green_w_dc1,green_w_dc2,green_w_dc3,green_w_dc4,power_w_dc0,power_w_dc1,power_w_dc2,power_w_dc3,power_w_dc4,greenratio_dc0,greenratio_dc1,greenratio_dc2,greenratio_dc3,greenratio_dc4,waste_wh_dc0,waste_wh_dc1,waste_wh_dc2,waste_wh_dc3,waste_wh_dc4,queue_dc0,queue_dc1,queue_dc2,queue_dc3,queue_dc4,util_dc0,util_dc1,util_dc2,util_dc3,util_dc4,routed_dc0,routed_dc1,routed_dc2,routed_dc3,routed_dc4
0,0,1891.373291015625,1350.3399658203125,595.066650390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128,0,0,0,0
1,0,1832.6199951171875,1297.2532958984375,380.7733459472656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0181221961975098,0.7206962704658508,0.21154074370861053,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128,0,0,0,0
2,0,1801.28662109375,1299.7266845703125,234.83999633789062,0.0,0.0,129.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.482507348060608,1.0817314386367798,0.2767740786075592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999888241291,0.0,0.0,0.0,0.0,128,0,0,0,0
3,0,1699.5533447265625,1334.56005859375,426.6266784667969,0.0,0.0,208.625,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.8966541290283203,1.4524426460266113,0.39528149366378784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008750000037252903,0.0,0.0,0.0,0.0,128,0,0,0,0
4,0,1732.3599853515625,1305.719970703125,430.6866760253906,0.0,0.0,214.5625,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.3182644844055176,1.8151426315307617,0.5149166584014893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011874999850988388,0.0,0.0,0.0,0.0,128,0,0,0,0
5,0,1837.4066162109375,1362.4466552734375,283.239990234375,0.0,0.0,270.875,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.7534122467041016,2.1935999393463135,0.5935944318771362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016249999403953552,0.0,0.0,0.0,0.0,128,0,0,0,0
6,0,1782.7467041015625,1326.7733154296875,321.1199951171875,0.0,0.0,270.875,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.1733765602111816,2.562148094177246,0.682794451713562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016249999403953552,0.0,0.0,0.0,0.0,128,0,0,0,0
7,0,1802.2467041015625,1405.13330078125,285.1400146484375,0.0,0.0,275.625,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.597438097000122,2.952462911605835,0.7620000243186951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01875000074505806,0.0,0.0,0.0,0.0,128,0,0,0,0
8,0,1607.9666748046875,1499.28662109375,201.63999938964844,0.0,0.0,280.375,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.9662137031555176,3.368931531906128,0.8180111050605774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021250000223517418,0.0,0.0,0.0,0.0,128,0,0,0,0
9,0,1329.6666259765625,1437.6466064453125,188.05999755859375,0.0,0.0,282.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.257023811340332,3.768277883529663,0.8702499866485596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02250000089406967,0.0,0.0,0.0,0.0,128,0,0,0,0
