step,defers,green_w_dc0,green_w_dc1,green_w_dc2,green_w_dc3,green_w_dc4,power_w_dc0,power_w_dc1,power_w_dc2,power_w_dc3,power_w_dc4,greenratio_dc0,greenratio_dc1,greenratio_dc2,greenratio_dc3,greenratio_dc4,waste_wh_dc0,waste_wh_dc1,waste_wh_dc2,waste_wh_dc3,waste_wh_dc4,queue_dc0,queue_dc1,queue_dc2,queue_dc3,queue_dc4,util_dc0,util_dc1,util_dc2,util_dc3,util_dc4,routed_dc0,routed_dc1,routed_dc2,routed_dc3,routed_dc4
0,0,25.559999465942383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,128,0
1,0,120.55999755859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06697777658700943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,128,0
2,0,135.26666259765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.93250274658203,0.0,0.0,0.0,0.0,0.0,0.0,0.10455185174942017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062500000931322575,0.0,0,0,0,128,0
3,0,4.0333333015441895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.53187561035156,0.0,0.0,0.0,0.0,0.0,0.0,0.10567222535610199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010937499813735485,0.0,0,0,0,128,0
4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.86468505859375,0.0,0.0,0.0,0.0,0.0,0.0,0.10567222535610199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014843749813735485,0.0,0,0,0,128,0
5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.73062133789062,0.0,0.0,0.0,0.0,0.0,0.0,0.10567222535610199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02031249925494194,0.0,0,0,0,128,0
6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.73062133789062,0.0,0.0,0.0,0.0,0.0,0.0,0.10567222535610199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02031249925494194,0.0,0,0,0,128,0
7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.796875,0.0,0.0,0.0,0.0,0.0,0.0,0.10567222535610199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0234375,0.0,0,0,0,128,0
8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.86312866210938,0.0,0.0,0.0,0.0,0.0,0.0,0.10567222535610199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02656250074505806,0.0,0,0,0,128,0
9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.39625549316406,0.0,0.0,0.0,0.0,0.0,0.0,0.10567222535610199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02812499925494194,0.0,0,0,0,128,0
10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.79531860351562,0.0,0.0,0.0,0.0,0.0,0.0,0.10567222535610199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03515625,0.0,0,0,0,128,0
11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.79531860351562,0.0,0.0,0.0,0.0,0.0,0.0,0.10567222535610199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03515625,0.0,0,0,0,128,0
12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.32843017578125,0.0,0.0,0.0,0.0,0.0,0.0,0.10567222535610199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03671874850988388,0.0,0,0,0,128,0
13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.39468383789062,0.0,0.0,0.0,0.0,0.0,0.0,0.10567222535610199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03984374925494194,0.0,0,0,0,128,0
14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.59344482421875,0.0,0.0,0.0,0.0,0.0,0.0,0.10567222535610199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04921875149011612,0.0,0,0,0,128,0
15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.45938110351562,0.0,0.0,0.0,0.0,0.0,0.0,0.10567222535610199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0546875,0.0,0,0,0,128,0
16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.05874633789062,0.0,0.0,0.0,0.0,0.0,0.0,0.10567222535610199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05937499925494194,0.0,0,0,0,128,0
17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.3915557861328,0.0,0.0,0.0,0.0,0.0,0.0,0.10567222535610199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06328125298023224,0.0,0,0,0,128,0
18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.19125366210938,0.0,0.0,0.0,0.0,0.0,0.0,0.10567222535610199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06562499701976776,0.0,0,0,0,128,0
19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.19125366210938,0.0,0.0,0.0,0.0,0.0,0.0,0.10567222535610199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06562499701976776,0.0,0,0,0,128,0
20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.19125366210938,0.0,0.0,0.0,0.0,0.0,0.0,0.10567222535610199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06562499701976776,0.0,0,0,0,128,0
21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.25750732421875,0.0,0.0,0.0,0.0,0.0,0.0,0.10567222535610199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06875000149011612,0.0,0,0,0,128,0
22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.59031677246094,0.0,0.0,0.0,0.0,0.0,0.0,0.10567222535610199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07265625149011612,0.0,0,0,0,128,0
23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.18968200683594,0.0,0.0,0.0,0.0,0.0,0.0,0.10567222535610199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07734374701976776,0.0,0,0,0,128,0
24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.5225067138672,0.0,0.0,0.0,0.0,0.0,0.0,0.10567222535610199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08124999701976776,0.0,0,0,0,128,0
25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.1218719482422,0.0,0.0,0.0,0.0,0.0,0.0,0.10567222535610199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0859375,0.0,0,0,0,128,0
