step,defers,green_w_dc0,green_w_dc1,green_w_dc2,green_w_dc3,green_w_dc4,power_w_dc0,power_w_dc1,power_w_dc2,power_w_dc3,power_w_dc4,greenratio_dc0,greenratio_dc1,greenratio_dc2,greenratio_dc3,greenratio_dc4,waste_wh_dc0,waste_wh_dc1,waste_wh_dc2,waste_wh_dc3,waste_wh_dc4,queue_dc0,queue_dc1,queue_dc2,queue_dc3,queue_dc4,util_dc0,util_dc1,util_dc2,util_dc3,util_dc4,routed_dc0,routed_dc1,routed_dc2,routed_dc3,routed_dc4
0,0,1891.373291015625,1350.3399658203125,595.066650390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,26,26,25,25
1,0,1832.6199951171875,1297.2532958984375,380.7733459472656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0181221961975098,0.7206962704658508,0.21154074370861053,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,26,26,26,25,25
2,0,1801.28662109375,1299.7266845703125,234.83999633789062,0.0,0.0,26.375,26.375,25.966562271118164,27.233125686645508,25.1875,1.0,1.0,1.0,0.0,0.0,1.511153221130371,1.0744050741195679,0.26956114172935486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012499999720603228,0.0015625000232830644,0.0006249999860301614,0.0015625000232830644,0.0020833334419876337,43,43,42,0,0
3,0,1699.5533447265625,1334.56005859375,426.6266784667969,0.0,0.0,52.75,52.75,53.19968795776367,27.233125686645508,25.1875,1.0,1.0,1.0,0.0,0.0,1.9685986042022705,1.430463433265686,0.37329086661338806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024999999441206455,0.0031250000465661287,0.0018749999580904841,0.0015625000232830644,0.0020833334419876337,43,43,42,0,0
4,0,1732.3599853515625,1305.719970703125,430.6866760253906,0.0,0.0,55.125,55.125,54.466251373291016,27.233125686645508,25.1875,1.0,1.0,1.0,0.0,0.0,2.434497117996216,1.7778509855270386,0.4777965247631073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037499999161809683,0.004687500186264515,0.0024999999441206455,0.0015625000232830644,0.0020833334419876337,43,43,42,0,0
5,0,1837.4066162109375,1362.4466552734375,283.239990234375,0.0,0.0,107.875,81.5,80.43281555175781,27.233125686645508,25.1875,1.0,1.0,1.0,0.0,0.0,2.9149227142333984,2.133669376373291,0.5341318845748901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062500000931322575,0.0062500000931322575,0.0031250000465661287,0.0015625000232830644,0.0020833334419876337,43,43,42,0,0
6,0,1782.7467041015625,1326.7733154296875,321.1199951171875,0.0,0.0,107.875,81.5,80.43281555175781,27.233125686645508,25.1875,1.0,1.0,1.0,0.0,0.0,3.380164861679077,2.479578733444214,0.6009894013404846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062500000931322575,0.0062500000931322575,0.0031250000465661287,0.0015625000232830644,0.0020833334419876337,43,43,42,0,0
7,0,1802.2467041015625,1405.13330078125,285.1400146484375,0.0,0.0,134.25,107.875,80.43281555175781,27.233125686645508,25.1875,1.0,1.0,1.0,0.0,0.0,3.8434972763061523,2.839928150177002,0.6578525304794312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007499999832361937,0.0078125,0.0031250000465661287,0.0015625000232830644,0.0020833334419876337,43,43,42,0,0
8,0,1607.9666748046875,1499.28662109375,201.63999938964844,0.0,0.0,139.0,107.875,80.43281555175781,27.233125686645508,25.1875,1.0,1.0,1.0,0.0,0.0,4.2515435218811035,3.226431369781494,0.691521167755127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999776482582,0.0078125,0.0031250000465661287,0.0015625000232830644,0.0020833334419876337,43,43,42,0,0
9,0,1329.6666259765625,1437.6466064453125,188.05999755859375,0.0,0.0,165.375,107.875,80.43281555175781,27.233125686645508,25.1875,1.0,1.0,1.0,0.0,0.0,4.574957847595215,3.5958125591278076,0.7214176058769226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011250000447034836,0.0078125,0.0031250000465661287,0.0015625000232830644,0.0020833334419876337,43,43,42,0,0
10,0,1370.6600341796875,1471.6466064453125,277.2866516113281,0.0,0.0,195.3125,159.4375,106.39937591552734,27.233125686645508,25.1875,1.0,1.0,1.0,0.0,0.0,4.9014434814453125,3.960314989089966,0.7688863277435303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014375000260770321,0.01015624962747097,0.0037499999161809683,0.0015625000232830644,0.0020833334419876337,43,43,42,0,0
11,0,1377.800048828125,1379.219970703125,356.2799987792969,0.0,0.0,195.3125,159.4375,106.39937591552734,27.233125686645508,25.1875,1.0,1.0,1.0,0.0,0.0,5.229911804199219,4.299143314361572,0.8382976055145264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014375000260770321,0.01015624962747097,0.0037499999161809683,0.0015625000232830644,0.0020833334419876337,43,43,42,0,0
12,0,1441.3133544921875,1394.306640625,329.7066650390625,0.0,0.0,220.5,184.625,106.39937591552734,27.233125686645508,25.1875,1.0,1.0,1.0,0.0,0.0,5.569026947021484,4.635166168212891,0.9003273844718933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014999999664723873,0.010937499813735485,0.0037499999161809683,0.0015625000232830644,0.0020833334419876337,43,43,42,0,0
13,0,1593.0333251953125,1513.586669921875,275.97332763671875,0.0,0.0,221.6875,185.8125,133.63250732421875,27.233125686645508,25.1875,1.0,1.0,1.0,0.0,0.0,5.94995641708374,5.003992557525635,0.9398665428161621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.01171875,0.004999999888241291,0.0015625000232830644,0.0020833334419876337,43,43,42,0,0
14,0,1675.760009765625,1310.780029296875,474.6600036621094,0.0,0.0,276.8125,215.75,138.69874572753906,27.233125686645508,25.1875,1.0,1.0,1.0,0.0,0.0,6.338552951812744,5.308167457580566,1.033189058303833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019375000149011612,0.015625,0.007499999832361937,0.0015625000232830644,0.0020833334419876337,43,43,42,0,0
15,0,1781.3800048828125,1391.260009765625,330.3666687011719,0.0,0.0,285.125,222.875,143.76499938964844,27.233125686645508,25.1875,1.0,1.0,1.0,0.0,0.0,6.754179000854492,5.632718563079834,1.0850229263305664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023749999701976776,0.02031249925494194,0.009999999776482582,0.0015625000232830644,0.0020833334419876337,43,43,42,0,0
16,0,1688.739990234375,1492.0400390625,384.2866516113281,0.0,0.0,291.0625,224.0625,147.56468200683594,27.233125686645508,25.1875,1.0,1.0,1.0,0.0,0.0,7.142423152923584,5.9849348068237305,1.1507790088653564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026875000447034836,0.02109375037252903,0.011874999850988388,0.0015625000232830644,0.0020833334419876337,43,43,42,0,0
17,0,1602.5733642578125,1499.5333251953125,307.0400085449219,0.0,0.0,293.4375,227.625,147.56468200683594,27.233125686645508,25.1875,1.0,1.0,1.0,0.0,0.0,7.5060715675354,6.338242530822754,1.195077657699585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02812499925494194,0.0234375,0.011874999850988388,0.0015625000232830644,0.0020833334419876337,43,43,42,0,0
18,0,1504.36669921875,1556.8466796875,399.3133239746094,0.0,0.0,294.625,227.625,150.09780883789062,27.233125686645508,25.1875,1.0,1.0,1.0,0.0,0.0,7.842111110687256,6.707470893859863,1.264304280281067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028750000521540642,0.0234375,0.013124999590218067,0.0015625000232830644,0.0020833334419876337,43,43,42,0,0
