step,defers,green_w_dc0,green_w_dc1,green_w_dc2,green_w_dc3,green_w_dc4,power_w_dc0,power_w_dc1,power_w_dc2,power_w_dc3,power_w_dc4,greenratio_dc0,greenratio_dc1,greenratio_dc2,greenratio_dc3,greenratio_dc4,waste_wh_dc0,waste_wh_dc1,waste_wh_dc2,waste_wh_dc3,waste_wh_dc4,queue_dc0,queue_dc1,queue_dc2,queue_dc3,queue_dc4,util_dc0,util_dc1,util_dc2,util_dc3,util_dc4,routed_dc0,routed_dc1,routed_dc2,routed_dc3,routed_dc4
0,0,1954.5133056640625,1469.7933349609375,194.9066619873047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,26,26,25,25
1,0,1962.8533935546875,1408.9932861328125,230.52667236328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0904741287231445,0.7827740907669067,0.12807036936283112,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,26,26,26,25,25
2,0,1897.2733154296875,1305.2332763671875,171.9600067138672,0.0,0.0,26.375,26.375,25.966562271118164,27.233125686645508,25.1875,1.0,1.0,1.0,0.0,0.0,1.6101680994033813,1.1380125284194946,0.16862410306930542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012499999720603228,0.0015625000232830644,0.0006249999860301614,0.0015625000232830644,0.0020833334419876337,43,43,42,0,0
3,0,1887.1466064453125,1111.546630859375,454.1400146484375,0.0,0.0,52.75,52.75,53.19968795776367,27.233125686645508,25.1875,1.0,1.0,1.0,0.0,0.0,2.119722604751587,1.4321227073669434,0.27999642491340637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024999999441206455,0.0031250000465661287,0.0018749999580904841,0.0015625000232830644,0.0020833334419876337,43,43,42,0,0
4,0,1873.473388671875,1028.0999755859375,361.3599853515625,0.0,0.0,55.125,55.125,54.466251373291016,27.233125686645508,25.1875,1.0,1.0,1.0,0.0,0.0,2.62481951713562,1.7023935317993164,0.36524468660354614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037499999161809683,0.004687500186264515,0.0024999999441206455,0.0015625000232830644,0.0020833334419876337,43,43,42,0,0
5,0,1709.5799560546875,634.4533081054688,440.2933349609375,0.0,0.0,107.875,81.5,80.43281555175781,27.233125686645508,25.1875,1.0,1.0,1.0,0.0,0.0,3.069737434387207,1.8559917211532593,0.46520593762397766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062500000931322575,0.0062500000931322575,0.0031250000465661287,0.0015625000232830644,0.0020833334419876337,43,43,42,0,0
6,0,1627.913330078125,423.6600036621094,251.35333251953125,0.0,0.0,107.875,81.5,80.43281555175781,27.233125686645508,25.1875,1.0,1.0,1.0,0.0,0.0,3.4919703006744385,1.9510360956192017,0.5126838684082031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062500000931322575,0.0062500000931322575,0.0031250000465661287,0.0015625000232830644,0.0020833334419876337,43,43,42,0,0
7,0,1580.9599609375,331.79998779296875,145.44667053222656,0.0,0.0,134.25,107.875,80.43281555175781,27.233125686645508,25.1875,1.0,1.0,1.0,0.0,0.0,3.893834352493286,2.013237476348877,0.5307432413101196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007499999832361937,0.0078125,0.0031250000465661287,0.0015625000232830644,0.0020833334419876337,43,43,42,0,0
8,0,1236.28662109375,587.8599853515625,275.6666564941406,0.0,0.0,139.0,107.875,80.43281555175781,27.233125686645508,25.1875,1.0,1.0,1.0,0.0,0.0,4.198636054992676,2.14656662940979,0.5849748849868774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999776482582,0.0078125,0.0031250000465661287,0.0015625000232830644,0.0020833334419876337,43,43,42,0,0
9,0,1234.0133056640625,553.239990234375,322.17333984375,0.0,0.0,165.375,107.875,80.43281555175781,27.233125686645508,25.1875,1.0,1.0,1.0,0.0,0.0,4.495480060577393,2.2702791690826416,0.6521250009536743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011250000447034836,0.0078125,0.0031250000465661287,0.0015625000232830644,0.0020833334419876337,43,43,42,0,0
10,0,1259.913330078125,347.913330078125,367.05999755859375,0.0,0.0,195.3125,159.4375,106.39937591552734,27.233125686645508,25.1875,1.0,1.0,1.0,0.0,0.0,4.791202545166016,2.3226335048675537,0.7245307564735413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014375000260770321,0.01015624962747097,0.0037499999161809683,0.0015625000232830644,0.0020833334419876337,43,43,42,0,0
11,0,1308.193359375,172.48666381835938,428.5199890136719,0.0,0.0,195.3125,159.4375,106.39937591552734,27.233125686645508,25.1875,1.0,1.0,1.0,0.0,0.0,5.100336074829102,2.326258420944214,0.8140087127685547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014375000260770321,0.01015624962747097,0.0037499999161809683,0.0015625000232830644,0.0020833334419876337,43,43,42,0,0
12,0,1480.5333251953125,129.31333923339844,442.2866516113281,0.0,0.0,220.5,184.625,106.39937591552734,27.233125686645508,25.1875,1.0,0.950806736946106,1.0,0.0,0.0,5.450345516204834,2.326258420944214,0.9073107242584229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014999999664723873,0.010937499813735485,0.0037499999161809683,0.0015625000232830644,0.0020833334419876337,44,40,44,0,0
13,0,1673.78662109375,236.07333374023438,498.8933410644531,0.0,0.0,221.6875,185.8125,133.63250732421875,27.233125686645508,25.1875,1.0,0.9577834010124207,1.0,0.0,0.0,5.853706359863281,2.340219736099243,1.0087721347808838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.01171875,0.004999999888241291,0.0015625000232830644,0.0020833334419876337,44,41,43,0,0
