step,defers,green_w_dc0,green_w_dc1,green_w_dc2,green_w_dc3,green_w_dc4,power_w_dc0,power_w_dc1,power_w_dc2,power_w_dc3,power_w_dc4,greenratio_dc0,greenratio_dc1,greenratio_dc2,greenratio_dc3,greenratio_dc4,waste_wh_dc0,waste_wh_dc1,waste_wh_dc2,waste_wh_dc3,waste_wh_dc4,queue_dc0,queue_dc1,queue_dc2,queue_dc3,queue_dc4,util_dc0,util_dc1,util_dc2,util_dc3,util_dc4,avail_pes_dc0,avail_pes_dc1,avail_pes_dc2,avail_pes_dc3,avail_pes_dc4,pred_pes_dc0,pred_pes_dc1,pred_pes_dc2,pred_pes_dc3,pred_pes_dc4,routed_dc0,routed_dc1,routed_dc2,routed_dc3,routed_dc4
0,123,73.57333374023438,0.0,28.406665802001953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,384.0,296.0,240.0,144.0,8.0,0.0,0.0,0.0,0.0,5,0,0,0,0
1,125,50.380001068115234,0.0,66.86000061035156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027988888323307037,0.0,0.03714444488286972,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,384.0,296.0,240.0,144.0,8.0,0.0,6.0,0.0,0.0,0,0,3,0,0
2,125,8.046667098999023,0.0,105.3133316040039,0.0,0.0,129.5,0.0,0.0,0.0,0.0,0.06213642284274101,0.0,0.0,0.0,0.0,0.027988888323307037,0.0,0.06639815121889114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999888241291,0.0,0.0,0.0,0.0,480.0,384.0,296.0,240.0,144.0,8.0,0.0,11.0,0.0,0.0,0,0,3,0,0
3,124,18.1200008392334,0.0,82.68000030517578,0.0,0.0,129.5,0.0,81.69937133789062,0.0,0.0,0.10102960467338562,0.0,1.0,0.0,0.0,0.027988888323307037,0.0,0.06667054444551468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999888241291,0.0,0.0037499999161809683,0.0,0.0,480.0,384.0,296.0,240.0,144.0,8.0,0.0,18.0,0.0,0.0,0,0,4,0,0
4,128,28.18666648864746,0.0,60.040000915527344,0.0,0.0,129.5,0.0,88.03218841552734,0.0,0.0,0.13990561664104462,0.0,0.8350796699523926,0.0,0.0,0.027988888323307037,0.0,0.06667054444551468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999888241291,0.0,0.006874999962747097,0.0,0.0,480.0,384.0,296.0,240.0,144.0,8.0,0.0,18.0,0.0,0.0,0,0,0,0,0
5,126,12.806666374206543,0.0,83.14666748046875,0.0,0.0,129.5,0.0,146.29812622070312,0.0,0.0,0.12965251505374908,0.0,0.7115978598594666,0.0,0.0,0.027988888323307037,0.0,0.06667054444551468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999888241291,0.0,0.011250000447034836,0.0,0.0,480.0,384.0,296.0,240.0,144.0,8.0,0.0,22.0,0.0,0.0,0,0,2,0,0
6,127,0.0,0.0,106.24666595458984,0.0,0.0,129.5,0.0,146.29812622070312,0.0,0.0,0.10372200608253479,0.0,0.716229259967804,0.0,0.0,0.027988888323307037,0.0,0.06667054444551468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999888241291,0.0,0.011250000447034836,0.0,0.0,480.0,384.0,296.0,240.0,144.0,8.0,0.0,26.0,0.0,0.0,0,0,1,0,0
7,127,19.293333053588867,0.0,155.97332763671875,0.0,0.0,129.5,0.0,151.3643798828125,0.0,0.0,0.11126554757356644,0.0,0.7862200140953064,0.0,0.0,0.027988888323307037,0.0,0.06795080751180649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999888241291,0.0,0.013749999925494194,0.0,0.0,480.0,384.0,296.0,240.0,144.0,8.0,0.0,28.0,0.0,0.0,0,0,1,0,0
8,123,41.1533317565918,0.0,205.6999969482422,0.0,0.0,129.5,0.0,156.4306182861328,0.0,0.0,0.14076852798461914,0.0,0.8296439051628113,0.0,0.0,0.027988888323307037,0.0,0.08163674920797348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999888241291,0.0,0.016249999403953552,0.0,0.0,480.0,384.0,296.0,240.0,144.0,8.0,0.0,37.0,0.0,0.0,0,0,5,0,0
9,128,47.3466682434082,0.0,130.75999450683594,0.0,0.0,129.5,0.0,158.9637451171875,0.0,0.0,0.1688738763332367,0.0,0.8284348845481873,0.0,0.0,0.027988888323307037,0.0,0.08163674920797348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999888241291,0.0,0.017500000074505806,0.0,0.0,480.0,384.0,296.0,240.0,144.0,8.0,0.0,37.0,0.0,0.0,0,0,0,0,0
