step,defers,green_w_dc0,green_w_dc1,green_w_dc2,green_w_dc3,green_w_dc4,power_w_dc0,power_w_dc1,power_w_dc2,power_w_dc3,power_w_dc4,greenratio_dc0,greenratio_dc1,greenratio_dc2,greenratio_dc3,greenratio_dc4,waste_wh_dc0,waste_wh_dc1,waste_wh_dc2,waste_wh_dc3,waste_wh_dc4,queue_dc0,queue_dc1,queue_dc2,queue_dc3,queue_dc4,util_dc0,util_dc1,util_dc2,util_dc3,util_dc4,avail_pes_dc0,avail_pes_dc1,avail_pes_dc2,avail_pes_dc3,avail_pes_dc4,pred_pes_dc0,pred_pes_dc1,pred_pes_dc2,pred_pes_dc3,pred_pes_dc4,routed_dc0,routed_dc1,routed_dc2,routed_dc3,routed_dc4
0,128,25.559999465942383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,384.0,296.0,240.0,144.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
1,124,120.55999755859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06697777658700943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,384.0,296.0,240.0,144.0,7.0,0.0,0.0,0.0,0.0,4,0,0,0,0
2,121,135.26666259765625,0.0,0.0,0.0,0.0,104.3125,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07557615637779236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043750000186264515,0.0,0.0,0.0,0.0,480.0,384.0,296.0,240.0,144.0,19.0,0.0,0.0,0.0,0.0,7,0,0,0,0
3,128,4.0333333015441895,0.0,0.0,0.0,0.0,208.625,0.0,0.0,0.0,0.0,0.3462219536304474,0.0,0.0,0.0,0.0,0.07557615637779236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008750000037252903,0.0,0.0,0.0,0.0,480.0,384.0,296.0,240.0,144.0,19.0,0.0,0.0,0.0,0.0,0,0,0,0,0
4,128,0.0,0.0,0.0,0.0,0.0,262.5625,0.0,0.0,0.0,0.0,0.18826383352279663,0.0,0.0,0.0,0.0,0.07557615637779236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011874999850988388,0.0,0.0,0.0,0.0,480.0,384.0,296.0,240.0,144.0,19.0,0.0,0.0,0.0,0.0,0,0,0,0,0
5,128,0.0,0.0,0.0,0.0,0.0,262.5625,0.0,0.0,0.0,0.0,0.12928132712841034,0.0,0.0,0.0,0.0,0.07557615637779236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011874999850988388,0.0,0.0,0.0,0.0,480.0,384.0,296.0,240.0,144.0,19.0,0.0,0.0,0.0,0.0,0,0,0,0,0
6,128,0.0,0.0,0.0,0.0,0.0,262.5625,0.0,0.0,0.0,0.0,0.09844028204679489,0.0,0.0,0.0,0.0,0.07557615637779236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011874999850988388,0.0,0.0,0.0,0.0,480.0,384.0,296.0,240.0,144.0,19.0,0.0,0.0,0.0,0.0,0,0,0,0,0
7,128,0.0,0.0,0.0,0.0,0.0,262.5625,0.0,0.0,0.0,0.0,0.07947977632284164,0.0,0.0,0.0,0.0,0.07557615637779236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011874999850988388,0.0,0.0,0.0,0.0,480.0,384.0,296.0,240.0,144.0,19.0,0.0,0.0,0.0,0.0,0,0,0,0,0
8,128,0.0,0.0,0.0,0.0,0.0,262.5625,0.0,0.0,0.0,0.0,0.0666436031460762,0.0,0.0,0.0,0.0,0.07557615637779236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011874999850988388,0.0,0.0,0.0,0.0,480.0,384.0,296.0,240.0,144.0,19.0,0.0,0.0,0.0,0.0,0,0,0,0,0
9,128,0.0,0.0,0.0,0.0,0.0,262.5625,0.0,0.0,0.0,0.0,0.05737706646323204,0.0,0.0,0.0,0.0,0.07557615637779236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011874999850988388,0.0,0.0,0.0,0.0,480.0,384.0,296.0,240.0,144.0,19.0,0.0,0.0,0.0,0.0,0,0,0,0,0
10,128,0.0,0.0,0.0,0.0,0.0,262.5625,0.0,0.0,0.0,0.0,0.050372909754514694,0.0,0.0,0.0,0.0,0.07557615637779236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011874999850988388,0.0,0.0,0.0,0.0,461.0,384.0,296.0,240.0,144.0,19.0,0.0,0.0,0.0,0.0,0,0,0,0,0
11,128,0.0,0.0,0.0,0.0,0.0,262.5625,0.0,0.0,0.0,0.0,0.04489274322986603,0.0,0.0,0.0,0.0,0.07557615637779236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011874999850988388,0.0,0.0,0.0,0.0,461.0,384.0,296.0,240.0,144.0,19.0,0.0,0.0,0.0,0.0,0,0,0,0,0
12,128,0.0,0.0,0.0,0.0,0.0,262.5625,0.0,0.0,0.0,0.0,0.04048797860741615,0.0,0.0,0.0,0.0,0.07557615637779236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011874999850988388,0.0,0.0,0.0,0.0,461.0,384.0,296.0,240.0,144.0,19.0,0.0,0.0,0.0,0.0,0,0,0,0,0
13,128,0.0,0.0,0.0,0.0,0.0,262.5625,0.0,0.0,0.0,0.0,0.03687035292387009,0.0,0.0,0.0,0.0,0.07557615637779236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011874999850988388,0.0,0.0,0.0,0.0,461.0,384.0,296.0,240.0,144.0,19.0,0.0,0.0,0.0,0.0,0,0,0,0,0
14,128,0.0,0.0,0.0,0.0,0.0,262.5625,0.0,0.0,0.0,0.0,0.0338461734354496,0.0,0.0,0.0,0.0,0.07557615637779236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011874999850988388,0.0,0.0,0.0,0.0,461.0,384.0,296.0,240.0,144.0,19.0,0.0,0.0,0.0,0.0,0,0,0,0,0
15,128,0.0,0.0,0.0,0.0,0.0,262.5625,0.0,0.0,0.0,0.0,0.03128048777580261,0.0,0.0,0.0,0.0,0.07557615637779236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011874999850988388,0.0,0.0,0.0,0.0,461.0,384.0,296.0,240.0,144.0,19.0,0.0,0.0,0.0,0.0,0,0,0,0,0
16,128,0.0,0.0,0.0,0.0,0.0,262.5625,0.0,0.0,0.0,0.0,0.02907637320458889,0.0,0.0,0.0,0.0,0.07557615637779236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011874999850988388,0.0,0.0,0.0,0.0,461.0,384.0,296.0,240.0,144.0,19.0,0.0,0.0,0.0,0.0,0,0,0,0,0
17,128,0.0,0.0,0.0,0.0,0.0,262.5625,0.0,0.0,0.0,0.0,0.027162428945302963,0.0,0.0,0.0,0.0,0.07557615637779236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011874999850988388,0.0,0.0,0.0,0.0,461.0,384.0,296.0,240.0,144.0,19.0,0.0,0.0,0.0,0.0,0,0,0,0,0
18,128,0.0,0.0,0.0,0.0,0.0,236.1875,0.0,0.0,0.0,0.0,0.025643983855843544,0.0,0.0,0.0,0.0,0.07557615637779236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010625000111758709,0.0,0.0,0.0,0.0,461.0,384.0,296.0,240.0,144.0,17.0,0.0,0.0,0.0,0.0,0,0,0,0,0
19,128,0.0,0.0,0.0,0.0,0.0,236.1875,0.0,0.0,0.0,0.0,0.02428632229566574,0.0,0.0,0.0,0.0,0.07557615637779236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010625000111758709,0.0,0.0,0.0,0.0,461.0,384.0,296.0,240.0,144.0,17.0,0.0,0.0,0.0,0.0,0,0,0,0,0
20,128,0.0,0.0,0.0,0.0,0.0,236.1875,0.0,0.0,0.0,0.0,0.02306518703699112,0.0,0.0,0.0,0.0,0.07557615637779236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010625000111758709,0.0,0.0,0.0,0.0,461.0,384.0,296.0,240.0,144.0,17.0,0.0,0.0,0.0,0.0,0,0,0,0,0
21,128,0.0,0.0,0.0,0.0,0.0,236.1875,0.0,0.0,0.0,0.0,0.021960973739624023,0.0,0.0,0.0,0.0,0.07557615637779236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010625000111758709,0.0,0.0,0.0,0.0,461.0,384.0,296.0,240.0,144.0,17.0,0.0,0.0,0.0,0.0,0,0,0,0,0
22,128,0.0,0.0,0.0,0.0,0.0,236.1875,0.0,0.0,0.0,0.0,0.02095765434205532,0.0,0.0,0.0,0.0,0.07557615637779236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010625000111758709,0.0,0.0,0.0,0.0,461.0,384.0,296.0,240.0,144.0,17.0,0.0,0.0,0.0,0.0,0,0,0,0,0
23,128,0.0,0.0,0.0,0.0,0.0,236.1875,0.0,0.0,0.0,0.0,0.02004200592637062,0.0,0.0,0.0,0.0,0.07557615637779236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010625000111758709,0.0,0.0,0.0,0.0,461.0,384.0,296.0,240.0,144.0,17.0,0.0,0.0,0.0,0.0,0,0,0,0,0
24,128,0.0,0.0,0.0,0.0,0.0,236.1875,0.0,0.0,0.0,0.0,0.01920301839709282,0.0,0.0,0.0,0.0,0.07557615637779236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010625000111758709,0.0,0.0,0.0,0.0,461.0,384.0,296.0,240.0,144.0,17.0,0.0,0.0,0.0,0.0,0,0,0,0,0
25,128,0.0,0.0,0.0,0.0,0.0,236.1875,0.0,0.0,0.0,0.0,0.01843145117163658,0.0,0.0,0.0,0.0,0.07557615637779236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010625000111758709,0.0,0.0,0.0,0.0,461.0,384.0,296.0,240.0,144.0,17.0,0.0,0.0,0.0,0.0,0,0,0,0,0
26,128,0.0,0.0,0.0,0.0,0.0,236.1875,0.0,0.0,0.0,0.0,0.017719492316246033,0.0,0.0,0.0,0.0,0.07557615637779236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010625000111758709,0.0,0.0,0.0,0.0,461.0,384.0,296.0,240.0,144.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0
27,128,0.0,0.0,0.0,0.0,0.0,209.8125,0.0,0.0,0.0,0.0,0.017131637781858444,0.0,0.0,0.0,0.0,0.07557615637779236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00937500037252903,0.0,0.0,0.0,0.0,461.0,384.0,296.0,240.0,144.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0
28,128,0.0,0.0,0.0,0.0,0.0,209.8125,0.0,0.0,0.0,0.0,0.016581537202000618,0.0,0.0,0.0,0.0,0.07557615637779236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00937500037252903,0.0,0.0,0.0,0.0,461.0,384.0,296.0,240.0,144.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0
29,128,0.0,0.0,0.0,0.0,0.0,209.8125,0.0,0.0,0.0,0.0,0.01606566458940506,0.0,0.0,0.0,0.0,0.07557615637779236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00937500037252903,0.0,0.0,0.0,0.0,461.0,384.0,296.0,240.0,144.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0
