step,defers,green_w_dc0,green_w_dc1,green_w_dc2,green_w_dc3,green_w_dc4,power_w_dc0,power_w_dc1,power_w_dc2,power_w_dc3,power_w_dc4,greenratio_dc0,greenratio_dc1,greenratio_dc2,greenratio_dc3,greenratio_dc4,waste_wh_dc0,waste_wh_dc1,waste_wh_dc2,waste_wh_dc3,waste_wh_dc4,queue_dc0,queue_dc1,queue_dc2,queue_dc3,queue_dc4,util_dc0,util_dc1,util_dc2,util_dc3,util_dc4,avail_pes_dc0,avail_pes_dc1,avail_pes_dc2,avail_pes_dc3,avail_pes_dc4,pred_pes_dc0,pred_pes_dc1,pred_pes_dc2,pred_pes_dc3,pred_pes_dc4,routed_dc0,routed_dc1,routed_dc2,routed_dc3,routed_dc4
0,123,25.559999465942383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,384.0,296.0,240.0,144.0,8.0,0.0,0.0,0.0,0.0,5,0,0,0,0
1,125,120.55999755859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06697777658700943,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,384.0,296.0,240.0,144.0,14.0,0.0,0.0,0.0,0.0,3,0,0,0,0
2,125,135.26666259765625,0.0,0.0,0.0,0.0,129.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06857962906360626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999888241291,0.0,0.0,0.0,0.0,480.0,384.0,296.0,240.0,144.0,19.0,0.0,0.0,0.0,0.0,3,0,0,0,0
3,124,4.0333333015441895,0.0,0.0,0.0,0.0,208.625,0.0,0.0,0.0,0.0,0.39492297172546387,0.0,0.0,0.0,0.0,0.06857962906360626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008750000037252903,0.0,0.0,0.0,0.0,480.0,384.0,296.0,240.0,144.0,26.0,0.0,0.0,0.0,0.0,4,0,0,0,0
4,128,0.0,0.0,0.0,0.0,0.0,214.5625,0.0,0.0,0.0,0.0,0.24160729348659515,0.0,0.0,0.0,0.0,0.06857962906360626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011874999850988388,0.0,0.0,0.0,0.0,480.0,384.0,296.0,240.0,144.0,26.0,0.0,0.0,0.0,0.0,0,0,0,0,0
5,126,0.0,0.0,0.0,0.0,0.0,270.875,0.0,0.0,0.0,0.0,0.1621410995721817,0.0,0.0,0.0,0.0,0.06857962906360626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016249999403953552,0.0,0.0,0.0,0.0,480.0,384.0,296.0,240.0,144.0,30.0,0.0,0.0,0.0,0.0,2,0,0,0,0
6,127,0.0,0.0,0.0,0.0,0.0,270.875,0.0,0.0,0.0,0.0,0.12201092392206192,0.0,0.0,0.0,0.0,0.06857962906360626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016249999403953552,0.0,0.0,0.0,0.0,480.0,384.0,296.0,240.0,144.0,34.0,0.0,0.0,0.0,0.0,1,0,0,0,0
7,127,0.0,0.0,0.0,0.0,0.0,275.625,0.0,0.0,0.0,0.0,0.0974651426076889,0.0,0.0,0.0,0.0,0.06857962906360626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01875000074505806,0.0,0.0,0.0,0.0,480.0,384.0,296.0,240.0,144.0,36.0,0.0,0.0,0.0,0.0,1,0,0,0,0
8,123,0.0,0.0,0.0,0.0,0.0,280.375,0.0,0.0,0.0,0.0,0.08090783655643463,0.0,0.0,0.0,0.0,0.06857962906360626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021250000223517418,0.0,0.0,0.0,0.0,480.0,384.0,296.0,240.0,144.0,45.0,0.0,0.0,0.0,0.0,5,0,0,0,0
9,128,0.0,0.0,0.0,0.0,0.0,282.75,0.0,0.0,0.0,0.0,0.06907417625188828,0.0,0.0,0.0,0.0,0.06857962906360626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02250000089406967,0.0,0.0,0.0,0.0,480.0,384.0,296.0,240.0,144.0,43.0,0.0,0.0,0.0,0.0,0,0,0,0,0
