episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,kappa,t_release,reason,r_release,t_s,k,route_to_start_steps,stale,t_f,exec_s,t_s_exec
1,0,1,32,1920000.0,48,9,80,11,1,10,offset,1.0,10.0,1.0,0.0,False,59.0,48.0,11.0
1,1,2,32,1920000.0,48,29,100,47,17,46,offset,1.0,46.0,17.0,0.0,False,95.0,48.0,47.0
1,2,2,32,1920000.0,48,41,112,45,3,44,offset,1.0,44.0,3.0,0.0,False,93.0,48.0,45.0
1,3,2,32,1920000.0,48,48,119,50,1,49,offset,1.0,49.0,1.0,0.0,False,98.0,48.0,50.0
1,4,2,32,1920000.0,48,62,133,120,57,119,offset,1.0,119.0,57.0,0.0,False,168.0,48.0,120.0
1,5,0,32,1920000.0,48,92,163,163,70,162,offset,1.0,162.0,70.0,0.0,False,211.0,48.0,163.0
1,6,0,32,1920000.0,48,100,171,171,70,170,offset,1.0,170.0,70.0,0.0,False,219.0,48.0,171.0
1,7,0,32,1920000.0,48,123,194,194,70,193,offset,1.0,193.0,70.0,0.0,False,242.0,48.0,194.0
1,8,0,32,1920000.0,48,134,205,205,70,204,offset,1.0,204.0,70.0,0.0,False,253.0,48.0,205.0
1,9,1,32,1920000.0,48,150,221,208,57,207,offset,1.0,207.0,57.0,0.0,False,256.0,48.0,208.0
1,10,0,32,1920000.0,48,159,230,209,49,208,offset,1.0,208.0,49.0,0.0,False,257.0,48.0,209.0
1,11,2,32,1920000.0,48,174,245,244,69,243,offset,1.0,243.0,69.0,0.0,False,292.0,48.0,244.0
1,12,0,32,1920000.0,48,201,272,266,64,265,offset,1.0,265.0,64.0,0.0,False,314.0,48.0,266.0
1,13,1,32,1920000.0,48,221,292,292,70,291,offset,1.0,291.0,70.0,0.0,False,340.0,48.0,292.0
1,14,2,32,1920000.0,48,227,298,246,18,245,offset,1.0,245.0,18.0,0.0,False,294.0,48.0,246.0
1,15,0,32,1920000.0,48,241,312,312,70,311,offset,1.0,311.0,70.0,0.0,False,360.0,48.0,312.0
1,16,0,32,1920000.0,48,256,327,327,70,326,offset,1.0,326.0,70.0,0.0,False,375.0,48.0,327.0
1,17,0,32,1920000.0,48,273,344,344,70,343,offset,1.0,343.0,70.0,0.0,False,392.0,48.0,344.0
1,18,2,32,1920000.0,48,295,366,366,70,365,offset,1.0,365.0,70.0,0.0,False,414.0,48.0,366.0
1,19,2,32,1920000.0,48,307,378,378,70,377,offset,1.0,377.0,70.0,0.0,False,426.0,48.0,378.0
1,20,2,32,1920000.0,48,323,394,376,52,375,offset,1.0,375.0,52.0,0.0,False,424.0,48.0,376.0
1,21,1,32,1920000.0,48,335,406,337,1,336,offset,1.0,336.0,1.0,0.0,False,385.0,48.0,337.0
1,22,2,32,1920000.0,48,356,427,422,65,421,offset,1.0,421.0,65.0,0.0,False,470.0,48.0,422.0
1,23,0,32,1920000.0,48,373,444,404,30,403,offset,1.0,403.0,30.0,0.0,False,452.0,48.0,404.0
1,24,1,32,1920000.0,48,397,468,434,36,433,offset,1.0,433.0,36.0,0.0,False,482.0,48.0,434.0
1,25,1,32,1920000.0,48,402,473,425,22,424,offset,1.0,424.0,22.0,0.0,False,473.0,48.0,425.0
1,26,2,32,1920000.0,48,421,492,492,70,491,offset,1.0,491.0,70.0,0.0,False,540.0,48.0,492.0
1,27,2,32,1920000.0,48,445,516,492,46,491,offset,1.0,491.0,46.0,0.0,False,540.0,48.0,492.0
1,28,0,32,1920000.0,48,457,528,500,42,499,offset,1.0,499.0,42.0,0.0,False,548.0,48.0,500.0
1,29,2,32,1920000.0,48,473,544,544,70,543,offset,1.0,543.0,70.0,0.0,False,592.0,48.0,544.0
1,30,2,32,1920000.0,48,486,557,546,59,545,offset,1.0,545.0,59.0,0.0,False,594.0,48.0,546.0
1,31,1,32,1920000.0,48,504,575,506,1,505,offset,1.0,505.0,1.0,0.0,False,554.0,48.0,506.0
1,32,2,32,1920000.0,48,520,591,554,33,553,offset,1.0,553.0,33.0,0.0,False,602.0,48.0,554.0
1,33,1,32,1920000.0,48,527,598,550,22,549,offset,1.0,549.0,22.0,0.0,False,598.0,48.0,550.0
1,34,1,32,1920000.0,48,549,620,551,1,550,offset,1.0,550.0,1.0,0.0,False,599.0,48.0,551.0
