episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,kappa,t_release,reason,r_release,t_s,k,route_to_start_steps,stale,t_f,exec_s,t_s_exec
1,0,2,32,1920000.0,48,9,80,11,1,10,offset,1.0,10.0,1.0,0.0,False,59.0,48.0,11.0
1,1,1,32,1920000.0,48,29,100,73,43,72,offset,1.0,72.0,43.0,0.0,False,121.0,48.0,73.0
1,2,1,32,1920000.0,48,41,112,51,9,50,offset,1.0,50.0,9.0,0.0,False,99.0,48.0,51.0
1,3,0,32,1920000.0,48,48,119,53,4,52,offset,1.0,52.0,4.0,0.0,False,101.0,48.0,53.0
1,4,0,32,1920000.0,48,62,133,82,19,81,offset,1.0,81.0,19.0,0.0,False,130.0,48.0,82.0
1,5,1,32,1920000.0,48,92,163,163,70,162,offset,1.0,162.0,70.0,0.0,False,211.0,48.0,163.0
1,6,0,32,1920000.0,48,100,171,166,65,165,offset,1.0,165.0,65.0,0.0,False,214.0,48.0,166.0
1,7,2,32,1920000.0,48,123,194,169,45,168,offset,1.0,168.0,45.0,0.0,False,217.0,48.0,169.0
1,8,1,32,1920000.0,48,134,205,205,70,204,offset,1.0,204.0,70.0,0.0,False,253.0,48.0,205.0
1,9,0,32,1920000.0,48,150,221,221,70,220,offset,1.0,220.0,70.0,0.0,False,269.0,48.0,221.0
1,10,1,32,1920000.0,48,159,230,230,70,229,offset,1.0,229.0,70.0,0.0,False,278.0,48.0,230.0
1,11,1,32,1920000.0,48,174,245,245,70,244,offset,1.0,244.0,70.0,0.0,False,293.0,48.0,245.0
1,12,1,32,1920000.0,48,201,272,262,60,261,offset,1.0,261.0,60.0,0.0,False,310.0,48.0,262.0
1,13,0,32,1920000.0,48,221,292,281,59,280,offset,1.0,280.0,59.0,0.0,False,329.0,48.0,281.0
1,14,0,32,1920000.0,48,227,298,275,47,274,offset,1.0,274.0,47.0,0.0,False,323.0,48.0,275.0
1,15,1,32,1920000.0,48,241,312,253,11,252,offset,1.0,252.0,11.0,0.0,False,301.0,48.0,253.0
1,16,1,32,1920000.0,48,256,327,311,54,310,offset,1.0,310.0,54.0,0.0,False,359.0,48.0,311.0
1,17,0,32,1920000.0,48,273,344,340,66,339,offset,1.0,339.0,66.0,0.0,False,388.0,48.0,340.0
1,18,1,32,1920000.0,48,295,366,366,70,365,offset,1.0,365.0,70.0,0.0,False,414.0,48.0,366.0
1,19,2,32,1920000.0,48,307,378,349,41,348,offset,1.0,348.0,41.0,0.0,False,397.0,48.0,349.0
1,20,1,32,1920000.0,48,323,394,394,70,393,offset,1.0,393.0,70.0,0.0,False,442.0,48.0,394.0
1,21,0,32,1920000.0,48,335,406,401,65,400,offset,1.0,400.0,65.0,0.0,False,449.0,48.0,401.0
1,22,1,32,1920000.0,48,356,427,384,27,383,offset,1.0,383.0,27.0,0.0,False,432.0,48.0,384.0
1,23,1,32,1920000.0,48,373,444,444,70,443,offset,1.0,443.0,70.0,0.0,False,492.0,48.0,444.0
1,24,0,32,1920000.0,48,397,468,468,70,467,offset,1.0,467.0,70.0,0.0,False,516.0,48.0,468.0
1,25,1,32,1920000.0,48,402,473,467,64,466,offset,1.0,466.0,64.0,0.0,False,515.0,48.0,467.0
1,26,2,32,1920000.0,48,421,492,492,70,491,offset,1.0,491.0,70.0,0.0,False,540.0,48.0,492.0
1,27,0,32,1920000.0,48,445,516,516,70,515,offset,1.0,515.0,70.0,0.0,False,564.0,48.0,516.0
1,28,1,32,1920000.0,48,457,528,528,70,527,offset,1.0,527.0,70.0,0.0,False,576.0,48.0,528.0
1,29,1,32,1920000.0,48,473,544,539,65,538,offset,1.0,538.0,65.0,0.0,False,587.0,48.0,539.0
1,30,1,32,1920000.0,48,486,557,551,64,550,offset,1.0,550.0,64.0,0.0,False,599.0,48.0,551.0
1,31,0,32,1920000.0,48,504,575,560,55,559,offset,1.0,559.0,55.0,0.0,False,608.0,48.0,560.0
1,32,0,32,1920000.0,48,520,591,572,51,571,offset,1.0,571.0,51.0,0.0,False,620.0,48.0,572.0
1,33,1,32,1920000.0,48,527,598,598,70,597,offset,1.0,597.0,70.0,0.0,False,646.0,48.0,598.0
1,34,0,32,1920000.0,48,549,620,620,70,619,offset,1.0,619.0,70.0,0.0,False,668.0,48.0,620.0
