episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,kappa,t_release,reason,r_release,t_s,k,route_to_start_steps,stale,t_f,exec_s,t_s_exec
1,0,2,32,1920000.0,48,9,80,50,40,49,offset,1.0,49.0,40.0,0.0,False,98.0,48.0,50.0
1,1,2,32,1920000.0,48,29,100,100,70,99,offset,1.0,99.0,70.0,0.0,False,148.0,48.0,100.0
1,2,1,32,1920000.0,48,41,112,96,54,95,offset,1.0,95.0,54.0,0.0,False,144.0,48.0,96.0
1,3,1,32,1920000.0,48,48,119,101,52,100,offset,1.0,100.0,52.0,0.0,False,149.0,48.0,101.0
1,4,1,32,1920000.0,48,62,133,115,52,114,offset,1.0,114.0,52.0,0.0,False,163.0,48.0,115.0
1,5,2,32,1920000.0,48,92,163,154,61,153,offset,1.0,153.0,61.0,0.0,False,202.0,48.0,154.0
1,6,0,32,1920000.0,48,100,171,161,60,160,offset,1.0,160.0,60.0,0.0,False,209.0,48.0,161.0
1,7,0,32,1920000.0,48,123,194,174,50,173,offset,1.0,173.0,50.0,0.0,False,222.0,48.0,174.0
1,8,2,32,1920000.0,48,134,205,205,70,204,offset,1.0,204.0,70.0,0.0,False,253.0,48.0,205.0
1,9,1,32,1920000.0,48,150,221,171,20,170,offset,1.0,170.0,20.0,0.0,False,219.0,48.0,171.0
1,10,1,32,1920000.0,48,159,230,180,20,179,offset,1.0,179.0,20.0,0.0,False,228.0,48.0,180.0
1,11,1,32,1920000.0,48,174,245,207,32,206,offset,1.0,206.0,32.0,0.0,False,255.0,48.0,207.0
1,12,2,32,1920000.0,48,201,272,261,59,260,offset,1.0,260.0,59.0,0.0,False,309.0,48.0,261.0
1,13,0,32,1920000.0,48,221,292,238,16,237,offset,1.0,237.0,16.0,0.0,False,286.0,48.0,238.0
1,14,1,32,1920000.0,48,227,298,248,20,247,offset,1.0,247.0,20.0,0.0,False,296.0,48.0,248.0
1,15,2,32,1920000.0,48,241,312,312,70,311,offset,1.0,311.0,70.0,0.0,False,360.0,48.0,312.0
1,16,0,32,1920000.0,48,256,327,312,55,311,offset,1.0,311.0,55.0,0.0,False,360.0,48.0,312.0
1,17,0,32,1920000.0,48,273,344,288,14,287,offset,1.0,287.0,14.0,0.0,False,336.0,48.0,288.0
1,18,2,32,1920000.0,48,295,366,360,64,359,offset,1.0,359.0,64.0,0.0,False,408.0,48.0,360.0
1,19,0,32,1920000.0,48,307,378,368,60,367,offset,1.0,367.0,60.0,0.0,False,416.0,48.0,368.0
1,20,0,32,1920000.0,48,323,394,333,9,332,offset,1.0,332.0,9.0,0.0,False,381.0,48.0,333.0
1,21,0,32,1920000.0,48,335,406,345,9,344,offset,1.0,344.0,9.0,0.0,False,393.0,48.0,345.0
1,22,2,32,1920000.0,48,356,427,408,51,407,offset,1.0,407.0,51.0,0.0,False,456.0,48.0,408.0
1,23,1,32,1920000.0,48,373,444,431,57,430,offset,1.0,430.0,57.0,0.0,False,479.0,48.0,431.0
1,24,2,32,1920000.0,48,397,468,458,60,457,offset,1.0,457.0,60.0,0.0,False,506.0,48.0,458.0
1,25,1,32,1920000.0,48,402,473,423,20,422,offset,1.0,422.0,20.0,0.0,False,471.0,48.0,423.0
1,26,1,32,1920000.0,48,421,492,442,20,441,offset,1.0,441.0,20.0,0.0,False,490.0,48.0,442.0
1,27,2,32,1920000.0,48,445,516,512,66,511,offset,1.0,511.0,66.0,0.0,False,560.0,48.0,512.0
1,28,1,32,1920000.0,48,457,528,512,54,511,offset,1.0,511.0,54.0,0.0,False,560.0,48.0,512.0
1,29,0,32,1920000.0,48,473,544,493,19,492,offset,1.0,492.0,19.0,0.0,False,541.0,48.0,493.0
1,30,1,32,1920000.0,48,486,557,510,23,509,offset,1.0,509.0,23.0,0.0,False,558.0,48.0,510.0
1,31,2,32,1920000.0,48,504,575,567,62,566,offset,1.0,566.0,62.0,0.0,False,615.0,48.0,567.0
1,32,1,32,1920000.0,48,520,591,567,46,566,offset,1.0,566.0,46.0,0.0,False,615.0,48.0,567.0
1,33,1,32,1920000.0,48,527,598,577,49,576,offset,1.0,576.0,49.0,0.0,False,625.0,48.0,577.0
1,34,2,32,1920000.0,48,549,620,620,70,619,offset,1.0,619.0,70.0,0.0,False,668.0,48.0,620.0
