episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,kappa,t_release,reason,r_release,t_s,k,route_to_start_steps,stale,t_f,exec_s,t_s_exec
1,0,2,32,1920000.0,48,9,80,24,14,23,offset,1.0,23.0,14.0,0.0,False,72.0,48.0,24.0
1,1,1,32,1920000.0,48,29,100,93,63,92,offset,1.0,92.0,63.0,0.0,False,141.0,48.0,93.0
1,2,0,32,1920000.0,48,41,112,97,55,96,offset,1.0,96.0,55.0,0.0,False,145.0,48.0,97.0
1,3,1,32,1920000.0,48,48,119,119,70,118,offset,1.0,118.0,70.0,0.0,False,167.0,48.0,119.0
1,4,2,32,1920000.0,48,62,133,123,60,122,offset,1.0,122.0,60.0,0.0,False,171.0,48.0,123.0
1,5,0,32,1920000.0,48,92,163,150,57,149,offset,1.0,149.0,57.0,0.0,False,198.0,48.0,150.0
1,6,1,32,1920000.0,48,100,171,159,58,158,offset,1.0,158.0,58.0,0.0,False,207.0,48.0,159.0
1,7,0,32,1920000.0,48,123,194,150,26,149,offset,1.0,149.0,26.0,0.0,False,198.0,48.0,150.0
1,8,1,32,1920000.0,48,134,205,204,69,203,offset,1.0,203.0,69.0,0.0,False,252.0,48.0,204.0
1,9,0,32,1920000.0,48,150,221,216,65,215,offset,1.0,215.0,65.0,0.0,False,264.0,48.0,216.0
1,10,2,32,1920000.0,48,159,230,218,58,217,offset,1.0,217.0,58.0,0.0,False,266.0,48.0,218.0
1,11,1,32,1920000.0,48,174,245,239,64,238,offset,1.0,238.0,64.0,0.0,False,287.0,48.0,239.0
1,12,1,32,1920000.0,48,201,272,269,67,268,offset,1.0,268.0,67.0,0.0,False,317.0,48.0,269.0
1,13,1,32,1920000.0,48,221,292,292,70,291,offset,1.0,291.0,70.0,0.0,False,340.0,48.0,292.0
1,14,0,32,1920000.0,48,227,298,298,70,297,offset,1.0,297.0,70.0,0.0,False,346.0,48.0,298.0
1,15,2,32,1920000.0,48,241,312,312,70,311,offset,1.0,311.0,70.0,0.0,False,360.0,48.0,312.0
1,16,0,32,1920000.0,48,256,327,327,70,326,offset,1.0,326.0,70.0,0.0,False,375.0,48.0,327.0
1,17,1,32,1920000.0,48,273,344,335,61,334,offset,1.0,334.0,61.0,0.0,False,383.0,48.0,335.0
1,18,0,32,1920000.0,48,295,366,358,62,357,offset,1.0,357.0,62.0,0.0,False,406.0,48.0,358.0
1,19,2,32,1920000.0,48,307,378,346,38,345,offset,1.0,345.0,38.0,0.0,False,394.0,48.0,346.0
1,20,1,32,1920000.0,48,323,394,380,56,379,offset,1.0,379.0,56.0,0.0,False,428.0,48.0,380.0
1,21,1,32,1920000.0,48,335,406,404,68,403,offset,1.0,403.0,68.0,0.0,False,452.0,48.0,404.0
1,22,1,32,1920000.0,48,356,427,403,46,402,offset,1.0,402.0,46.0,0.0,False,451.0,48.0,403.0
1,23,0,32,1920000.0,48,373,444,375,1,374,offset,1.0,374.0,1.0,0.0,False,423.0,48.0,375.0
1,24,2,32,1920000.0,48,397,468,465,67,464,offset,1.0,464.0,67.0,0.0,False,513.0,48.0,465.0
1,25,1,32,1920000.0,48,402,473,466,63,465,offset,1.0,465.0,63.0,0.0,False,514.0,48.0,466.0
1,26,0,32,1920000.0,48,421,492,486,64,485,offset,1.0,485.0,64.0,0.0,False,534.0,48.0,486.0
1,27,2,32,1920000.0,48,445,516,487,41,486,offset,1.0,486.0,41.0,0.0,False,535.0,48.0,487.0
1,28,2,32,1920000.0,48,457,528,526,68,525,offset,1.0,525.0,68.0,0.0,False,574.0,48.0,526.0
1,29,1,32,1920000.0,48,473,544,540,66,539,offset,1.0,539.0,66.0,0.0,False,588.0,48.0,540.0
1,30,0,32,1920000.0,48,486,557,528,41,527,offset,1.0,527.0,41.0,0.0,False,576.0,48.0,528.0
1,31,1,32,1920000.0,48,504,575,549,44,548,offset,1.0,548.0,44.0,0.0,False,597.0,48.0,549.0
1,32,0,32,1920000.0,48,520,591,591,70,590,offset,1.0,590.0,70.0,0.0,False,639.0,48.0,591.0
1,33,0,32,1920000.0,48,527,598,596,68,595,offset,1.0,595.0,68.0,0.0,False,644.0,48.0,596.0
1,34,1,32,1920000.0,48,549,620,616,66,615,offset,1.0,615.0,66.0,0.0,False,664.0,48.0,616.0
