episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,kappa,t_release,reason,r_release,t_s,k,route_to_start_steps,stale,t_f,exec_s,t_s_exec
1,0,2,32,1920000.0,48,9,80,43,33,42,offset,1.0,42.0,33.0,0.0,False,91.0,48.0,43.0
1,1,2,32,1920000.0,48,29,100,31,1,30,offset,1.0,30.0,1.0,0.0,False,79.0,48.0,31.0
1,2,0,32,1920000.0,48,41,112,69,27,68,offset,1.0,68.0,27.0,0.0,False,117.0,48.0,69.0
1,3,0,32,1920000.0,48,48,119,57,8,56,offset,1.0,56.0,8.0,0.0,False,105.0,48.0,57.0
1,4,0,32,1920000.0,48,62,133,79,16,78,offset,1.0,78.0,16.0,0.0,False,127.0,48.0,79.0
1,5,0,32,1920000.0,48,92,163,94,1,93,offset,1.0,93.0,1.0,0.0,False,142.0,48.0,94.0
1,6,0,32,1920000.0,48,100,171,102,1,101,offset,1.0,101.0,1.0,0.0,False,150.0,48.0,102.0
1,7,1,32,1920000.0,48,123,194,184,60,183,offset,1.0,183.0,60.0,0.0,False,232.0,48.0,184.0
1,8,2,32,1920000.0,48,134,205,163,28,162,offset,1.0,162.0,28.0,0.0,False,211.0,48.0,163.0
1,9,1,32,1920000.0,48,150,221,188,37,187,offset,1.0,187.0,37.0,0.0,False,236.0,48.0,188.0
1,10,2,32,1920000.0,48,159,230,230,70,229,offset,1.0,229.0,70.0,0.0,False,278.0,48.0,230.0
1,11,1,32,1920000.0,48,174,245,245,70,244,offset,1.0,244.0,70.0,0.0,False,293.0,48.0,245.0
1,12,2,32,1920000.0,48,201,272,272,70,271,offset,1.0,271.0,70.0,0.0,False,320.0,48.0,272.0
1,13,2,32,1920000.0,48,221,292,280,58,279,offset,1.0,279.0,58.0,0.0,False,328.0,48.0,280.0
1,14,2,32,1920000.0,48,227,298,286,58,285,offset,1.0,285.0,58.0,0.0,False,334.0,48.0,286.0
1,15,2,32,1920000.0,48,241,312,295,53,294,offset,1.0,294.0,53.0,0.0,False,343.0,48.0,295.0
1,16,1,32,1920000.0,48,256,327,327,70,326,offset,1.0,326.0,70.0,0.0,False,375.0,48.0,327.0
1,17,0,32,1920000.0,48,273,344,344,70,343,offset,1.0,343.0,70.0,0.0,False,392.0,48.0,344.0
1,18,1,32,1920000.0,48,295,366,331,35,330,offset,1.0,330.0,35.0,0.0,False,379.0,48.0,331.0
1,19,1,32,1920000.0,48,307,378,323,15,322,offset,1.0,322.0,15.0,0.0,False,371.0,48.0,323.0
1,20,1,32,1920000.0,48,323,394,325,1,324,offset,1.0,324.0,1.0,0.0,False,373.0,48.0,325.0
1,21,0,32,1920000.0,48,335,406,337,1,336,offset,1.0,336.0,1.0,0.0,False,385.0,48.0,337.0
1,22,1,32,1920000.0,48,356,427,388,31,387,offset,1.0,387.0,31.0,0.0,False,436.0,48.0,388.0
1,23,0,32,1920000.0,48,373,444,403,29,402,offset,1.0,402.0,29.0,0.0,False,451.0,48.0,403.0
1,24,0,32,1920000.0,48,397,468,399,1,398,offset,1.0,398.0,1.0,0.0,False,447.0,48.0,399.0
1,25,1,32,1920000.0,48,402,473,404,1,403,offset,1.0,403.0,1.0,0.0,False,452.0,48.0,404.0
1,26,2,32,1920000.0,48,421,492,492,70,491,offset,1.0,491.0,70.0,0.0,False,540.0,48.0,492.0
1,27,2,32,1920000.0,48,445,516,496,50,495,offset,1.0,495.0,50.0,0.0,False,544.0,48.0,496.0
1,28,1,32,1920000.0,48,457,528,528,70,527,offset,1.0,527.0,70.0,0.0,False,576.0,48.0,528.0
1,29,1,32,1920000.0,48,473,544,542,68,541,offset,1.0,541.0,68.0,0.0,False,590.0,48.0,542.0
1,30,1,32,1920000.0,48,486,557,529,42,528,offset,1.0,528.0,42.0,0.0,False,577.0,48.0,529.0
1,31,0,32,1920000.0,48,504,575,568,63,567,offset,1.0,567.0,63.0,0.0,False,616.0,48.0,568.0
1,32,2,32,1920000.0,48,520,591,586,65,585,offset,1.0,585.0,65.0,0.0,False,634.0,48.0,586.0
1,33,0,32,1920000.0,48,527,598,562,34,561,offset,1.0,561.0,34.0,0.0,False,610.0,48.0,562.0
1,34,1,32,1920000.0,48,549,620,620,70,619,offset,1.0,619.0,70.0,0.0,False,668.0,48.0,620.0
