episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,kappa,t_release,reason,r_release,t_s,k,route_to_start_steps,stale,t_f,exec_s,t_s_exec
1,10,2,32,1920000.0,48,159,230,204,44,203,offset,1.0,203.0,44.0,0.0,False,252.0,48.0,204.0
1,11,1,32,1920000.0,48,174,245,245,70,244,offset,1.0,244.0,70.0,0.0,False,293.0,48.0,245.0
1,12,0,32,1920000.0,48,201,272,257,55,256,offset,1.0,256.0,55.0,0.0,False,305.0,48.0,257.0
1,13,2,32,1920000.0,48,221,292,288,66,287,offset,1.0,287.0,66.0,0.0,False,336.0,48.0,288.0
1,14,1,32,1920000.0,48,227,298,256,28,255,offset,1.0,255.0,28.0,0.0,False,304.0,48.0,256.0
1,15,0,32,1920000.0,48,241,312,270,28,269,offset,1.0,269.0,28.0,0.0,False,318.0,48.0,270.0
1,16,1,32,1920000.0,48,256,327,319,62,318,offset,1.0,318.0,62.0,0.0,False,367.0,48.0,319.0
1,17,1,32,1920000.0,48,273,344,323,49,322,offset,1.0,322.0,49.0,0.0,False,371.0,48.0,323.0
1,18,0,32,1920000.0,48,295,366,336,40,335,offset,1.0,335.0,40.0,0.0,False,384.0,48.0,336.0
1,19,1,32,1920000.0,48,307,378,317,9,316,offset,1.0,316.0,9.0,0.0,False,365.0,48.0,317.0
1,20,2,32,1920000.0,48,323,394,389,65,388,offset,1.0,388.0,65.0,0.0,False,437.0,48.0,389.0
1,21,2,32,1920000.0,48,335,406,394,58,393,offset,1.0,393.0,58.0,0.0,False,442.0,48.0,394.0
1,22,1,32,1920000.0,48,356,427,418,61,417,offset,1.0,417.0,61.0,0.0,False,466.0,48.0,418.0
1,23,1,32,1920000.0,48,373,444,421,47,420,offset,1.0,420.0,47.0,0.0,False,469.0,48.0,421.0
1,24,1,32,1920000.0,48,397,468,425,27,424,offset,1.0,424.0,27.0,0.0,False,473.0,48.0,425.0
1,25,1,32,1920000.0,48,402,473,433,30,432,offset,1.0,432.0,30.0,0.0,False,481.0,48.0,433.0
1,26,0,32,1920000.0,48,421,492,434,12,433,offset,1.0,433.0,12.0,0.0,False,482.0,48.0,434.0
1,29,2,32,1920000.0,48,473,544,544,70,543,offset,1.0,543.0,70.0,0.0,False,592.0,48.0,544.0
1,31,1,32,1920000.0,48,504,575,575,70,574,offset,1.0,574.0,70.0,0.0,False,623.0,48.0,575.0
1,32,0,32,1920000.0,48,520,591,591,70,590,offset,1.0,590.0,70.0,0.0,False,639.0,48.0,591.0
1,33,1,32,1920000.0,48,527,598,598,70,597,offset,1.0,597.0,70.0,0.0,False,646.0,48.0,598.0
1,34,0,32,1920000.0,48,549,620,620,70,619,offset,1.0,619.0,70.0,0.0,False,668.0,48.0,620.0
