episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,kappa,t_release,reason,r_release,t_s,k,route_to_start_steps,stale,t_f,exec_s,t_s_exec
1,12,2,32,1920000.0,48,201,272,249,47,248,offset,1.0,248.0,47.0,0.0,False,297.0,48.0,249.0
1,13,0,32,1920000.0,48,221,292,245,23,244,offset,1.0,244.0,23.0,0.0,False,293.0,48.0,245.0
1,14,2,32,1920000.0,48,227,298,252,24,251,offset,1.0,251.0,24.0,0.0,False,300.0,48.0,252.0
1,15,2,32,1920000.0,48,241,312,249,7,248,offset,1.0,248.0,7.0,0.0,False,297.0,48.0,249.0
1,21,2,32,1920000.0,48,335,406,405,69,404,offset,1.0,404.0,69.0,0.0,False,453.0,48.0,405.0
1,22,2,32,1920000.0,48,356,427,421,64,420,offset,1.0,420.0,64.0,0.0,False,469.0,48.0,421.0
1,23,1,32,1920000.0,48,373,444,434,60,433,offset,1.0,433.0,60.0,0.0,False,482.0,48.0,434.0
1,24,1,32,1920000.0,48,397,468,455,57,454,offset,1.0,454.0,57.0,0.0,False,503.0,48.0,455.0
1,25,1,32,1920000.0,48,402,473,461,58,460,offset,1.0,460.0,58.0,0.0,False,509.0,48.0,461.0
1,26,0,32,1920000.0,48,421,492,473,51,472,offset,1.0,472.0,51.0,0.0,False,521.0,48.0,473.0
1,27,2,32,1920000.0,48,445,516,506,60,505,offset,1.0,505.0,60.0,0.0,False,554.0,48.0,506.0
1,28,0,32,1920000.0,48,457,528,472,14,471,offset,1.0,471.0,14.0,0.0,False,520.0,48.0,472.0
1,29,1,32,1920000.0,48,473,544,544,70,543,offset,1.0,543.0,70.0,0.0,False,592.0,48.0,544.0
1,30,1,32,1920000.0,48,486,557,547,60,546,offset,1.0,546.0,60.0,0.0,False,595.0,48.0,547.0
1,31,2,32,1920000.0,48,504,575,550,45,549,offset,1.0,549.0,45.0,0.0,False,598.0,48.0,550.0
1,32,2,32,1920000.0,48,520,591,547,26,546,offset,1.0,546.0,26.0,0.0,False,595.0,48.0,547.0
1,33,2,32,1920000.0,48,527,598,553,25,552,offset,1.0,552.0,25.0,0.0,False,601.0,48.0,553.0
