episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,kappa,t_release,reason,r_release,t_s,k,route_to_start_steps,stale,t_f,exec_s,t_s_exec
1,0,2,32,1920000.0,48,9,80,33,23,32,offset,1.0,32.0,23.0,0.0,False,81.0,48.0,33.0
1,1,0,32,1920000.0,48,29,100,89,59,88,offset,1.0,88.0,59.0,0.0,False,137.0,48.0,89.0
1,2,0,32,1920000.0,48,41,112,90,48,89,offset,1.0,89.0,48.0,0.0,False,138.0,48.0,90.0
1,3,0,32,1920000.0,48,48,119,62,13,61,offset,1.0,61.0,13.0,0.0,False,110.0,48.0,62.0
1,4,0,32,1920000.0,48,62,133,79,16,78,offset,1.0,78.0,16.0,0.0,False,127.0,48.0,79.0
1,5,0,32,1920000.0,48,92,163,95,2,94,offset,1.0,94.0,2.0,0.0,False,143.0,48.0,95.0
1,6,1,32,1920000.0,48,100,171,140,39,139,offset,1.0,139.0,39.0,0.0,False,188.0,48.0,140.0
1,7,2,32,1920000.0,48,123,194,185,61,184,offset,1.0,184.0,61.0,0.0,False,233.0,48.0,185.0
1,8,2,32,1920000.0,48,134,205,136,1,135,offset,1.0,135.0,1.0,0.0,False,184.0,48.0,136.0
1,9,2,32,1920000.0,48,150,221,198,47,197,offset,1.0,197.0,47.0,0.0,False,246.0,48.0,198.0
1,10,0,32,1920000.0,48,159,230,230,70,229,offset,1.0,229.0,70.0,0.0,False,278.0,48.0,230.0
1,11,1,32,1920000.0,48,174,245,245,70,244,offset,1.0,244.0,70.0,0.0,False,293.0,48.0,245.0
1,12,0,32,1920000.0,48,201,272,217,15,216,offset,1.0,216.0,15.0,0.0,False,265.0,48.0,217.0
1,13,0,32,1920000.0,48,221,292,272,50,271,offset,1.0,271.0,50.0,0.0,False,320.0,48.0,272.0
1,14,1,32,1920000.0,48,227,298,246,18,245,offset,1.0,245.0,18.0,0.0,False,294.0,48.0,246.0
1,15,0,32,1920000.0,48,241,312,312,70,311,offset,1.0,311.0,70.0,0.0,False,360.0,48.0,312.0
1,16,1,32,1920000.0,48,256,327,258,1,257,offset,1.0,257.0,1.0,0.0,False,306.0,48.0,258.0
1,17,2,32,1920000.0,48,273,344,338,64,337,offset,1.0,337.0,64.0,0.0,False,386.0,48.0,338.0
1,18,0,32,1920000.0,48,295,366,297,1,296,offset,1.0,296.0,1.0,0.0,False,345.0,48.0,297.0
1,19,1,32,1920000.0,48,307,378,309,1,308,offset,1.0,308.0,1.0,0.0,False,357.0,48.0,309.0
1,20,2,32,1920000.0,48,323,394,380,56,379,offset,1.0,379.0,56.0,0.0,False,428.0,48.0,380.0
1,21,1,32,1920000.0,48,335,406,406,70,405,offset,1.0,405.0,70.0,0.0,False,454.0,48.0,406.0
1,22,0,32,1920000.0,48,356,427,421,64,420,offset,1.0,420.0,64.0,0.0,False,469.0,48.0,421.0
1,23,1,32,1920000.0,48,373,444,423,49,422,offset,1.0,422.0,49.0,0.0,False,471.0,48.0,423.0
1,24,1,32,1920000.0,48,397,468,456,58,455,offset,1.0,455.0,58.0,0.0,False,504.0,48.0,456.0
1,25,1,32,1920000.0,48,402,473,461,58,460,offset,1.0,460.0,58.0,0.0,False,509.0,48.0,461.0
1,26,2,32,1920000.0,48,421,492,475,53,474,offset,1.0,474.0,53.0,0.0,False,523.0,48.0,475.0
1,27,2,32,1920000.0,48,445,516,447,1,446,offset,1.0,446.0,1.0,0.0,False,495.0,48.0,447.0
1,28,0,32,1920000.0,48,457,528,528,70,527,offset,1.0,527.0,70.0,0.0,False,576.0,48.0,528.0
1,29,0,32,1920000.0,48,473,544,475,1,474,offset,1.0,474.0,1.0,0.0,False,523.0,48.0,475.0
1,30,0,32,1920000.0,48,486,557,557,70,556,offset,1.0,556.0,70.0,0.0,False,605.0,48.0,557.0
1,31,1,32,1920000.0,48,504,575,534,29,533,offset,1.0,533.0,29.0,0.0,False,582.0,48.0,534.0
1,32,0,32,1920000.0,48,520,591,570,49,569,offset,1.0,569.0,49.0,0.0,False,618.0,48.0,570.0
1,33,0,32,1920000.0,48,527,598,598,70,597,offset,1.0,597.0,70.0,0.0,False,646.0,48.0,598.0
1,34,1,32,1920000.0,48,549,620,564,14,563,offset,1.0,563.0,14.0,0.0,False,612.0,48.0,564.0
