episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,kappa,t_release,reason,r_release,t_s,k,route_to_start_steps,stale
1,0,0,32,1920000.0,48,9,80,33,23,32,offset,1.0,32.0,23.0,0.0,False
1,1,2,32,1920000.0,48,29,100,92,62,91,offset,1.0,91.0,62.0,0.0,False
1,2,2,32,1920000.0,48,41,112,96,54,95,offset,1.0,95.0,54.0,0.0,False
1,3,2,32,1920000.0,48,48,119,92,43,91,offset,1.0,91.0,43.0,0.0,False
1,4,1,32,1920000.0,48,62,133,133,70,132,offset,1.0,132.0,70.0,0.0,False
1,5,2,32,1920000.0,48,92,163,96,3,95,offset,1.0,95.0,3.0,0.0,False
1,6,0,32,1920000.0,48,100,171,158,57,157,offset,1.0,157.0,57.0,0.0,False
1,7,1,32,1920000.0,48,123,194,133,9,132,offset,1.0,132.0,9.0,0.0,False
1,8,0,32,1920000.0,48,134,205,166,31,165,offset,1.0,165.0,31.0,0.0,False
1,9,0,32,1920000.0,48,150,221,158,7,157,offset,1.0,157.0,7.0,0.0,False
1,10,0,32,1920000.0,48,159,230,166,6,165,offset,1.0,165.0,6.0,0.0,False
1,11,2,32,1920000.0,48,174,245,245,70,244,offset,1.0,244.0,70.0,0.0,False
1,12,2,32,1920000.0,48,201,272,250,48,249,offset,1.0,249.0,48.0,0.0,False
1,13,1,32,1920000.0,48,221,292,288,66,287,offset,1.0,287.0,66.0,0.0,False
1,14,1,32,1920000.0,48,227,298,295,67,294,offset,1.0,294.0,67.0,0.0,False
1,15,0,32,1920000.0,48,241,312,305,63,304,offset,1.0,304.0,63.0,0.0,False
1,16,1,32,1920000.0,48,256,327,288,31,287,offset,1.0,287.0,31.0,0.0,False
1,17,1,32,1920000.0,48,273,344,295,21,294,offset,1.0,294.0,21.0,0.0,False
1,18,0,32,1920000.0,48,295,366,312,16,311,offset,1.0,311.0,16.0,0.0,False
1,19,0,32,1920000.0,48,307,378,312,4,311,offset,1.0,311.0,4.0,0.0,False
1,22,2,32,1920000.0,48,356,427,422,65,421,offset,1.0,421.0,65.0,0.0,False
1,23,2,32,1920000.0,48,373,444,422,48,421,offset,1.0,421.0,48.0,0.0,False
1,24,1,32,1920000.0,48,397,468,456,58,455,offset,1.0,455.0,58.0,0.0,False
1,25,1,32,1920000.0,48,402,473,456,53,455,offset,1.0,455.0,53.0,0.0,False
1,26,0,32,1920000.0,48,421,492,474,52,473,offset,1.0,473.0,52.0,0.0,False
1,27,0,32,1920000.0,48,445,516,474,28,473,offset,1.0,473.0,28.0,0.0,False
1,28,0,32,1920000.0,48,457,528,522,64,521,offset,1.0,521.0,64.0,0.0,False
1,29,1,32,1920000.0,48,473,544,544,70,543,offset,1.0,543.0,70.0,0.0,False
1,30,2,32,1920000.0,48,486,557,551,64,550,offset,1.0,550.0,64.0,0.0,False
1,31,2,32,1920000.0,48,504,575,551,46,550,offset,1.0,550.0,46.0,0.0,False
1,32,1,32,1920000.0,48,520,591,582,61,581,offset,1.0,581.0,61.0,0.0,False
1,33,1,32,1920000.0,48,527,598,589,61,588,offset,1.0,588.0,61.0,0.0,False
1,34,1,32,1920000.0,48,549,620,589,39,588,offset,1.0,588.0,39.0,0.0,False
