episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,kappa,t_release,reason,r_release,t_s,k,route_to_start_steps,stale,t_f,exec_s,t_s_exec
1,0,1,32,1920000.0,48,9,80,19,9,18,offset,1.0,18.0,9.0,0.0,False,67.0,48.0,19.0
1,1,0,32,1920000.0,48,29,100,36,6,35,offset,1.0,35.0,6.0,0.0,False,84.0,48.0,36.0
1,2,0,32,1920000.0,48,41,112,43,1,42,offset,1.0,42.0,1.0,0.0,False,91.0,48.0,43.0
1,3,0,32,1920000.0,48,48,119,50,1,49,offset,1.0,49.0,1.0,0.0,False,98.0,48.0,50.0
1,4,2,32,1920000.0,48,62,133,81,18,80,offset,1.0,80.0,18.0,0.0,False,129.0,48.0,81.0
1,5,0,32,1920000.0,48,92,163,140,47,139,offset,1.0,139.0,47.0,0.0,False,188.0,48.0,140.0
1,6,1,32,1920000.0,48,100,171,118,17,117,offset,1.0,117.0,17.0,0.0,False,166.0,48.0,118.0
1,7,0,32,1920000.0,48,123,194,137,13,136,offset,1.0,136.0,13.0,0.0,False,185.0,48.0,137.0
1,8,2,32,1920000.0,48,134,205,202,67,201,offset,1.0,201.0,67.0,0.0,False,250.0,48.0,202.0
1,9,2,32,1920000.0,48,150,221,214,63,213,offset,1.0,213.0,63.0,0.0,False,262.0,48.0,214.0
1,10,1,32,1920000.0,48,159,230,230,70,229,offset,1.0,229.0,70.0,0.0,False,278.0,48.0,230.0
1,11,1,32,1920000.0,48,174,245,244,69,243,offset,1.0,243.0,69.0,0.0,False,292.0,48.0,244.0
1,12,1,32,1920000.0,48,201,272,253,51,252,offset,1.0,252.0,51.0,0.0,False,301.0,48.0,253.0
1,13,1,32,1920000.0,48,221,292,252,30,251,offset,1.0,251.0,30.0,0.0,False,300.0,48.0,252.0
1,14,1,32,1920000.0,48,227,298,241,13,240,offset,1.0,240.0,13.0,0.0,False,289.0,48.0,241.0
1,15,0,32,1920000.0,48,241,312,263,21,262,offset,1.0,262.0,21.0,0.0,False,311.0,48.0,263.0
1,16,0,32,1920000.0,48,256,327,262,5,261,offset,1.0,261.0,5.0,0.0,False,310.0,48.0,262.0
1,17,2,32,1920000.0,48,273,344,337,63,336,offset,1.0,336.0,63.0,0.0,False,385.0,48.0,337.0
1,18,2,32,1920000.0,48,295,366,342,46,341,offset,1.0,341.0,46.0,0.0,False,390.0,48.0,342.0
1,19,1,32,1920000.0,48,307,378,378,70,377,offset,1.0,377.0,70.0,0.0,False,426.0,48.0,378.0
1,20,1,32,1920000.0,48,323,394,390,66,389,offset,1.0,389.0,66.0,0.0,False,438.0,48.0,390.0
1,21,0,32,1920000.0,48,335,406,398,62,397,offset,1.0,397.0,62.0,0.0,False,446.0,48.0,398.0
1,22,1,32,1920000.0,48,356,427,381,24,380,offset,1.0,380.0,24.0,0.0,False,429.0,48.0,381.0
1,23,2,32,1920000.0,48,373,444,399,25,398,offset,1.0,398.0,25.0,0.0,False,447.0,48.0,399.0
1,24,2,32,1920000.0,48,397,468,425,27,424,offset,1.0,424.0,27.0,0.0,False,473.0,48.0,425.0
1,25,1,32,1920000.0,48,402,473,462,59,461,offset,1.0,461.0,59.0,0.0,False,510.0,48.0,462.0
1,26,0,32,1920000.0,48,421,492,424,2,423,offset,1.0,423.0,2.0,0.0,False,472.0,48.0,424.0
1,27,1,32,1920000.0,48,445,516,447,1,446,offset,1.0,446.0,1.0,0.0,False,495.0,48.0,447.0
1,28,1,32,1920000.0,48,457,528,466,8,465,offset,1.0,465.0,8.0,0.0,False,514.0,48.0,466.0
1,29,0,32,1920000.0,48,473,544,479,5,478,offset,1.0,478.0,5.0,0.0,False,527.0,48.0,479.0
1,30,2,32,1920000.0,48,486,557,539,52,538,offset,1.0,538.0,52.0,0.0,False,587.0,48.0,539.0
1,31,2,32,1920000.0,48,504,575,558,53,557,offset,1.0,557.0,53.0,0.0,False,606.0,48.0,558.0
1,32,1,32,1920000.0,48,520,591,589,68,588,offset,1.0,588.0,68.0,0.0,False,637.0,48.0,589.0
1,33,0,32,1920000.0,48,527,598,594,66,593,offset,1.0,593.0,66.0,0.0,False,642.0,48.0,594.0
1,34,1,32,1920000.0,48,549,620,581,31,580,offset,1.0,580.0,31.0,0.0,False,629.0,48.0,581.0
