episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,kappa,t_release,reason,r_release,t_s,k,route_to_start_steps,stale,t_f,exec_s,t_s_exec
1,0,1,32,1920000.0,48,9,80,23,13,22,offset,1.0,22.0,13.0,0.0,False,71.0,48.0,23.0
1,1,0,32,1920000.0,48,29,100,38,8,37,offset,1.0,37.0,8.0,0.0,False,86.0,48.0,38.0
1,2,2,32,1920000.0,48,41,112,43,1,42,offset,1.0,42.0,1.0,0.0,False,91.0,48.0,43.0
1,3,0,32,1920000.0,48,48,119,93,44,92,offset,1.0,92.0,44.0,0.0,False,141.0,48.0,93.0
1,4,1,32,1920000.0,48,62,133,80,17,79,offset,1.0,79.0,17.0,0.0,False,128.0,48.0,80.0
1,5,0,32,1920000.0,48,92,163,100,7,99,offset,1.0,99.0,7.0,0.0,False,148.0,48.0,100.0
1,6,1,32,1920000.0,48,100,171,151,50,150,offset,1.0,150.0,50.0,0.0,False,199.0,48.0,151.0
1,7,1,32,1920000.0,48,123,194,125,1,124,offset,1.0,124.0,1.0,0.0,False,173.0,48.0,125.0
1,8,1,32,1920000.0,48,134,205,149,14,148,offset,1.0,148.0,14.0,0.0,False,197.0,48.0,149.0
1,9,0,32,1920000.0,48,150,221,156,5,155,offset,1.0,155.0,5.0,0.0,False,204.0,48.0,156.0
1,10,0,32,1920000.0,48,159,230,200,40,199,offset,1.0,199.0,40.0,0.0,False,248.0,48.0,200.0
1,11,1,32,1920000.0,48,174,245,183,8,182,offset,1.0,182.0,8.0,0.0,False,231.0,48.0,183.0
1,12,1,32,1920000.0,48,201,272,214,12,213,offset,1.0,213.0,12.0,0.0,False,262.0,48.0,214.0
1,13,2,32,1920000.0,48,221,292,227,5,226,offset,1.0,226.0,5.0,0.0,False,275.0,48.0,227.0
1,14,0,32,1920000.0,48,227,298,244,16,243,offset,1.0,243.0,16.0,0.0,False,292.0,48.0,244.0
1,15,0,32,1920000.0,48,241,312,284,42,283,offset,1.0,283.0,42.0,0.0,False,332.0,48.0,284.0
1,16,1,32,1920000.0,48,256,327,299,42,298,offset,1.0,298.0,42.0,0.0,False,347.0,48.0,299.0
1,17,0,32,1920000.0,48,273,344,341,67,340,offset,1.0,340.0,67.0,0.0,False,389.0,48.0,341.0
1,18,0,32,1920000.0,48,295,366,341,45,340,offset,1.0,340.0,45.0,0.0,False,389.0,48.0,341.0
1,19,1,32,1920000.0,48,307,378,343,35,342,offset,1.0,342.0,35.0,0.0,False,391.0,48.0,343.0
1,20,1,32,1920000.0,48,323,394,368,44,367,offset,1.0,367.0,44.0,0.0,False,416.0,48.0,368.0
1,21,1,32,1920000.0,48,335,406,404,68,403,offset,1.0,403.0,68.0,0.0,False,452.0,48.0,404.0
1,22,0,32,1920000.0,48,356,427,392,35,391,offset,1.0,391.0,35.0,0.0,False,440.0,48.0,392.0
1,23,2,32,1920000.0,48,373,444,407,33,406,offset,1.0,406.0,33.0,0.0,False,455.0,48.0,407.0
1,24,1,32,1920000.0,48,397,468,427,29,426,offset,1.0,426.0,29.0,0.0,False,475.0,48.0,427.0
1,25,2,32,1920000.0,48,402,473,416,13,415,offset,1.0,415.0,13.0,0.0,False,464.0,48.0,416.0
1,26,0,32,1920000.0,48,421,492,444,22,443,offset,1.0,443.0,22.0,0.0,False,492.0,48.0,444.0
1,27,0,32,1920000.0,48,445,516,514,68,513,offset,1.0,513.0,68.0,0.0,False,562.0,48.0,514.0
1,28,1,32,1920000.0,48,457,528,475,17,474,offset,1.0,474.0,17.0,0.0,False,523.0,48.0,475.0
1,29,2,32,1920000.0,48,473,544,514,40,513,offset,1.0,513.0,40.0,0.0,False,562.0,48.0,514.0
1,30,1,32,1920000.0,48,486,557,550,63,549,offset,1.0,549.0,63.0,0.0,False,598.0,48.0,550.0
1,31,1,32,1920000.0,48,504,575,566,61,565,offset,1.0,565.0,61.0,0.0,False,614.0,48.0,566.0
1,32,2,32,1920000.0,48,520,591,580,59,579,offset,1.0,579.0,59.0,0.0,False,628.0,48.0,580.0
1,33,0,32,1920000.0,48,527,598,581,53,580,offset,1.0,580.0,53.0,0.0,False,629.0,48.0,581.0
1,34,0,32,1920000.0,48,549,620,620,70,619,offset,1.0,619.0,70.0,0.0,False,668.0,48.0,620.0
