episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,kappa,t_release,reason,r_release,t_s,k,route_to_start_steps,stale,t_f,exec_s,t_s_exec
1,0,1,32,1920000.0,48,9,80,18,8,17,offset,1.0,17.0,8.0,0.0,False,66.0,48.0,18.0
1,1,0,32,1920000.0,48,29,100,32,2,31,offset,1.0,31.0,2.0,0.0,False,80.0,48.0,32.0
1,2,1,32,1920000.0,48,41,112,49,7,48,offset,1.0,48.0,7.0,0.0,False,97.0,48.0,49.0
1,3,2,32,1920000.0,48,48,119,53,4,52,offset,1.0,52.0,4.0,0.0,False,101.0,48.0,53.0
1,4,2,32,1920000.0,48,62,133,89,26,88,offset,1.0,88.0,26.0,0.0,False,137.0,48.0,89.0
1,5,0,32,1920000.0,48,92,163,163,70,162,offset,1.0,162.0,70.0,0.0,False,211.0,48.0,163.0
1,6,0,32,1920000.0,48,100,171,171,70,170,offset,1.0,170.0,70.0,0.0,False,219.0,48.0,171.0
1,7,0,32,1920000.0,48,123,194,187,63,186,offset,1.0,186.0,63.0,0.0,False,235.0,48.0,187.0
1,8,1,32,1920000.0,48,134,205,193,58,192,offset,1.0,192.0,58.0,0.0,False,241.0,48.0,193.0
1,9,0,32,1920000.0,48,150,221,201,50,200,offset,1.0,200.0,50.0,0.0,False,249.0,48.0,201.0
1,10,0,32,1920000.0,48,159,230,206,46,205,offset,1.0,205.0,46.0,0.0,False,254.0,48.0,206.0
1,11,1,32,1920000.0,48,174,245,202,27,201,offset,1.0,201.0,27.0,0.0,False,250.0,48.0,202.0
1,12,1,32,1920000.0,48,201,272,211,9,210,offset,1.0,210.0,9.0,0.0,False,259.0,48.0,211.0
1,13,2,32,1920000.0,48,221,292,241,19,240,offset,1.0,240.0,19.0,0.0,False,289.0,48.0,241.0
1,14,2,32,1920000.0,48,227,298,239,11,238,offset,1.0,238.0,11.0,0.0,False,287.0,48.0,239.0
1,15,2,32,1920000.0,48,241,312,251,9,250,offset,1.0,250.0,9.0,0.0,False,299.0,48.0,251.0
1,16,0,32,1920000.0,48,256,327,297,40,296,offset,1.0,296.0,40.0,0.0,False,345.0,48.0,297.0
1,17,1,32,1920000.0,48,273,344,316,42,315,offset,1.0,315.0,42.0,0.0,False,364.0,48.0,316.0
1,18,1,32,1920000.0,48,295,366,315,19,314,offset,1.0,314.0,19.0,0.0,False,363.0,48.0,315.0
1,19,1,32,1920000.0,48,307,378,313,5,312,offset,1.0,312.0,5.0,0.0,False,361.0,48.0,313.0
1,20,1,32,1920000.0,48,323,394,382,58,381,offset,1.0,381.0,58.0,0.0,False,430.0,48.0,382.0
1,21,2,32,1920000.0,48,335,406,342,6,341,offset,1.0,341.0,6.0,0.0,False,390.0,48.0,342.0
1,22,0,32,1920000.0,48,356,427,364,7,363,offset,1.0,363.0,7.0,0.0,False,412.0,48.0,364.0
1,23,1,32,1920000.0,48,373,444,394,20,393,offset,1.0,393.0,20.0,0.0,False,442.0,48.0,394.0
1,24,2,32,1920000.0,48,397,468,423,25,422,offset,1.0,422.0,25.0,0.0,False,471.0,48.0,423.0
1,25,0,32,1920000.0,48,402,473,473,70,472,offset,1.0,472.0,70.0,0.0,False,521.0,48.0,473.0
1,26,0,32,1920000.0,48,421,492,488,66,487,offset,1.0,487.0,66.0,0.0,False,536.0,48.0,488.0
1,27,0,32,1920000.0,48,445,516,488,42,487,offset,1.0,487.0,42.0,0.0,False,536.0,48.0,488.0
1,28,1,32,1920000.0,48,457,528,505,47,504,offset,1.0,504.0,47.0,0.0,False,553.0,48.0,505.0
1,29,1,32,1920000.0,48,473,544,499,25,498,offset,1.0,498.0,25.0,0.0,False,547.0,48.0,499.0
1,30,0,32,1920000.0,48,486,557,543,56,542,offset,1.0,542.0,56.0,0.0,False,591.0,48.0,543.0
1,31,2,32,1920000.0,48,504,575,543,38,542,offset,1.0,542.0,38.0,0.0,False,591.0,48.0,543.0
1,32,1,32,1920000.0,48,520,591,588,67,587,offset,1.0,587.0,67.0,0.0,False,636.0,48.0,588.0
1,33,2,32,1920000.0,48,527,598,531,3,530,offset,1.0,530.0,3.0,0.0,False,579.0,48.0,531.0
1,34,2,32,1920000.0,48,549,620,601,51,600,offset,1.0,600.0,51.0,0.0,False,649.0,48.0,601.0
