episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,kappa,t_release,reason,r_release,t_s,k,route_to_start_steps,stale,t_f,exec_s,t_s_exec
1,0,2,32,1920000.0,48,9,80,17,7,16,offset,1.0,16.0,7.0,0.0,False,65.0,48.0,17.0
1,1,1,32,1920000.0,48,29,100,64,34,63,offset,1.0,63.0,34.0,0.0,False,112.0,48.0,64.0
1,2,0,32,1920000.0,48,41,112,98,56,97,offset,1.0,97.0,56.0,0.0,False,146.0,48.0,98.0
1,3,2,32,1920000.0,48,48,119,113,64,112,offset,1.0,112.0,64.0,0.0,False,161.0,48.0,113.0
1,4,2,32,1920000.0,48,62,133,65,2,64,offset,1.0,64.0,2.0,0.0,False,113.0,48.0,65.0
1,5,1,32,1920000.0,48,92,163,129,36,128,offset,1.0,128.0,36.0,0.0,False,177.0,48.0,129.0
1,6,1,32,1920000.0,48,100,171,128,27,127,offset,1.0,127.0,27.0,0.0,False,176.0,48.0,128.0
1,7,0,32,1920000.0,48,123,194,154,30,153,offset,1.0,153.0,30.0,0.0,False,202.0,48.0,154.0
1,8,1,32,1920000.0,48,134,205,192,57,191,offset,1.0,191.0,57.0,0.0,False,240.0,48.0,192.0
1,9,2,32,1920000.0,48,150,221,161,10,160,offset,1.0,160.0,10.0,0.0,False,209.0,48.0,161.0
1,10,1,32,1920000.0,48,159,230,220,60,219,offset,1.0,219.0,60.0,0.0,False,268.0,48.0,220.0
1,11,2,32,1920000.0,48,174,245,209,34,208,offset,1.0,208.0,34.0,0.0,False,257.0,48.0,209.0
1,12,1,32,1920000.0,48,201,272,251,49,250,offset,1.0,250.0,49.0,0.0,False,299.0,48.0,251.0
1,13,0,32,1920000.0,48,221,292,283,61,282,offset,1.0,282.0,61.0,0.0,False,331.0,48.0,283.0
1,14,2,32,1920000.0,48,227,298,259,31,258,offset,1.0,258.0,31.0,0.0,False,307.0,48.0,259.0
1,15,1,32,1920000.0,48,241,312,293,51,292,offset,1.0,292.0,51.0,0.0,False,341.0,48.0,293.0
1,16,0,32,1920000.0,48,256,327,305,48,304,offset,1.0,304.0,48.0,0.0,False,353.0,48.0,305.0
1,17,0,32,1920000.0,48,273,344,295,21,294,offset,1.0,294.0,21.0,0.0,False,343.0,48.0,295.0
1,18,0,32,1920000.0,48,295,366,366,70,365,offset,1.0,365.0,70.0,0.0,False,414.0,48.0,366.0
1,19,2,32,1920000.0,48,307,378,310,2,309,offset,1.0,309.0,2.0,0.0,False,358.0,48.0,310.0
1,20,0,32,1920000.0,48,323,394,344,20,343,offset,1.0,343.0,20.0,0.0,False,392.0,48.0,344.0
1,21,2,32,1920000.0,48,335,406,359,23,358,offset,1.0,358.0,23.0,0.0,False,407.0,48.0,359.0
1,22,2,32,1920000.0,48,356,427,410,53,409,offset,1.0,409.0,53.0,0.0,False,458.0,48.0,410.0
1,23,0,32,1920000.0,48,373,444,388,14,387,offset,1.0,387.0,14.0,0.0,False,436.0,48.0,388.0
1,24,0,32,1920000.0,48,397,468,445,47,444,offset,1.0,444.0,47.0,0.0,False,493.0,48.0,445.0
1,25,1,32,1920000.0,48,402,473,429,26,428,offset,1.0,428.0,26.0,0.0,False,477.0,48.0,429.0
1,26,0,32,1920000.0,48,421,492,433,11,432,offset,1.0,432.0,11.0,0.0,False,481.0,48.0,433.0
1,27,2,32,1920000.0,48,445,516,458,12,457,offset,1.0,457.0,12.0,0.0,False,506.0,48.0,458.0
1,28,2,32,1920000.0,48,457,528,506,48,505,offset,1.0,505.0,48.0,0.0,False,554.0,48.0,506.0
1,29,0,32,1920000.0,48,473,544,515,41,514,offset,1.0,514.0,41.0,0.0,False,563.0,48.0,515.0
1,30,1,32,1920000.0,48,486,557,549,62,548,offset,1.0,548.0,62.0,0.0,False,597.0,48.0,549.0
1,31,1,32,1920000.0,48,504,575,574,69,573,offset,1.0,573.0,69.0,0.0,False,622.0,48.0,574.0
1,32,1,32,1920000.0,48,520,591,556,35,555,offset,1.0,555.0,35.0,0.0,False,604.0,48.0,556.0
1,33,2,32,1920000.0,48,527,598,557,29,556,offset,1.0,556.0,29.0,0.0,False,605.0,48.0,557.0
1,34,2,32,1920000.0,48,549,620,612,62,611,offset,1.0,611.0,62.0,0.0,False,660.0,48.0,612.0
