episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,kappa,t_release,reason,r_release,t_s,k,route_to_start_steps,stale,t_f,exec_s,t_s_exec
1,0,2,32,1920000.0,48,9,80,57,47,56,offset,1.0,56.0,47.0,0.0,False,105.0,48.0,57.0
1,1,2,32,1920000.0,48,29,100,57,27,56,offset,1.0,56.0,27.0,0.0,False,105.0,48.0,57.0
1,2,0,32,1920000.0,48,41,112,104,62,103,offset,1.0,103.0,62.0,0.0,False,152.0,48.0,104.0
1,3,1,32,1920000.0,48,48,119,108,59,107,offset,1.0,107.0,59.0,0.0,False,156.0,48.0,108.0
1,4,2,32,1920000.0,48,62,133,89,26,88,offset,1.0,88.0,26.0,0.0,False,137.0,48.0,89.0
1,5,0,32,1920000.0,48,92,163,148,55,147,offset,1.0,147.0,55.0,0.0,False,196.0,48.0,148.0
1,6,2,32,1920000.0,48,100,171,117,16,116,offset,1.0,116.0,16.0,0.0,False,165.0,48.0,117.0
1,7,2,32,1920000.0,48,123,194,168,44,167,offset,1.0,167.0,44.0,0.0,False,216.0,48.0,168.0
1,8,2,32,1920000.0,48,134,205,172,37,171,offset,1.0,171.0,37.0,0.0,False,220.0,48.0,172.0
1,9,2,32,1920000.0,48,150,221,162,11,161,offset,1.0,161.0,11.0,0.0,False,210.0,48.0,162.0
1,10,2,32,1920000.0,48,159,230,169,9,168,offset,1.0,168.0,9.0,0.0,False,217.0,48.0,169.0
1,11,0,32,1920000.0,48,174,245,207,32,206,offset,1.0,206.0,32.0,0.0,False,255.0,48.0,207.0
1,12,0,32,1920000.0,48,201,272,213,11,212,offset,1.0,212.0,11.0,0.0,False,261.0,48.0,213.0
1,13,1,32,1920000.0,48,221,292,225,3,224,offset,1.0,224.0,3.0,0.0,False,273.0,48.0,225.0
1,14,0,32,1920000.0,48,227,298,237,9,236,offset,1.0,236.0,9.0,0.0,False,285.0,48.0,237.0
1,15,0,32,1920000.0,48,241,312,249,7,248,offset,1.0,248.0,7.0,0.0,False,297.0,48.0,249.0
1,16,1,32,1920000.0,48,256,327,284,27,283,offset,1.0,283.0,27.0,0.0,False,332.0,48.0,284.0
1,17,1,32,1920000.0,48,273,344,292,18,291,offset,1.0,291.0,18.0,0.0,False,340.0,48.0,292.0
1,18,0,32,1920000.0,48,295,366,312,16,311,offset,1.0,311.0,16.0,0.0,False,360.0,48.0,312.0
1,19,1,32,1920000.0,48,307,378,370,62,369,offset,1.0,369.0,62.0,0.0,False,418.0,48.0,370.0
1,20,2,32,1920000.0,48,323,394,382,58,381,offset,1.0,381.0,58.0,0.0,False,430.0,48.0,382.0
1,21,0,32,1920000.0,48,335,406,397,61,396,offset,1.0,396.0,61.0,0.0,False,445.0,48.0,397.0
1,22,1,32,1920000.0,48,356,427,416,59,415,offset,1.0,415.0,59.0,0.0,False,464.0,48.0,416.0
1,23,0,32,1920000.0,48,373,444,439,65,438,offset,1.0,438.0,65.0,0.0,False,487.0,48.0,439.0
1,24,1,32,1920000.0,48,397,468,450,52,449,offset,1.0,449.0,52.0,0.0,False,498.0,48.0,450.0
1,25,0,32,1920000.0,48,402,473,472,69,471,offset,1.0,471.0,69.0,0.0,False,520.0,48.0,472.0
1,26,1,32,1920000.0,48,421,492,465,43,464,offset,1.0,464.0,43.0,0.0,False,513.0,48.0,465.0
1,27,1,32,1920000.0,48,445,516,513,67,512,offset,1.0,512.0,67.0,0.0,False,561.0,48.0,513.0
1,28,2,32,1920000.0,48,457,528,523,65,522,offset,1.0,522.0,65.0,0.0,False,571.0,48.0,523.0
1,29,2,32,1920000.0,48,473,544,503,29,502,offset,1.0,502.0,29.0,0.0,False,551.0,48.0,503.0
1,30,2,32,1920000.0,48,486,557,545,58,544,offset,1.0,544.0,58.0,0.0,False,593.0,48.0,545.0
1,31,0,32,1920000.0,48,504,575,575,70,574,offset,1.0,574.0,70.0,0.0,False,623.0,48.0,575.0
1,32,2,32,1920000.0,48,520,591,554,33,553,offset,1.0,553.0,33.0,0.0,False,602.0,48.0,554.0
1,33,0,32,1920000.0,48,527,598,594,66,593,offset,1.0,593.0,66.0,0.0,False,642.0,48.0,594.0
1,34,2,32,1920000.0,48,549,620,613,63,612,offset,1.0,612.0,63.0,0.0,False,661.0,48.0,613.0
