episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,kappa,t_release,reason,r_release,t_s,k,route_to_start_steps,stale,t_f,exec_s,t_s_exec
1,0,2,32,1920000.0,48,9,80,59,49,58,offset,1.0,58.0,49.0,0.0,False,107.0,48.0,59.0
1,1,2,32,1920000.0,48,29,100,87,57,86,offset,1.0,86.0,57.0,0.0,False,135.0,48.0,87.0
1,2,2,32,1920000.0,48,41,112,60,18,59,offset,1.0,59.0,18.0,0.0,False,108.0,48.0,60.0
1,3,1,32,1920000.0,48,48,119,114,65,113,offset,1.0,113.0,65.0,0.0,False,162.0,48.0,114.0
1,4,2,32,1920000.0,48,62,133,116,53,115,offset,1.0,115.0,53.0,0.0,False,164.0,48.0,116.0
1,5,1,32,1920000.0,48,92,163,150,57,149,offset,1.0,149.0,57.0,0.0,False,198.0,48.0,150.0
1,6,1,32,1920000.0,48,100,171,152,51,151,offset,1.0,151.0,51.0,0.0,False,200.0,48.0,152.0
1,7,2,32,1920000.0,48,123,194,166,42,165,offset,1.0,165.0,42.0,0.0,False,214.0,48.0,166.0
1,8,2,32,1920000.0,48,134,205,192,57,191,offset,1.0,191.0,57.0,0.0,False,240.0,48.0,192.0
1,9,2,32,1920000.0,48,150,221,192,41,191,offset,1.0,191.0,41.0,0.0,False,240.0,48.0,192.0
1,10,2,32,1920000.0,48,159,230,181,21,180,offset,1.0,180.0,21.0,0.0,False,229.0,48.0,181.0
1,11,2,32,1920000.0,48,174,245,182,7,181,offset,1.0,181.0,7.0,0.0,False,230.0,48.0,182.0
1,12,1,32,1920000.0,48,201,272,209,7,208,offset,1.0,208.0,7.0,0.0,False,257.0,48.0,209.0
1,13,0,32,1920000.0,48,221,292,240,18,239,offset,1.0,239.0,18.0,0.0,False,288.0,48.0,240.0
1,14,0,32,1920000.0,48,227,298,242,14,241,offset,1.0,241.0,14.0,0.0,False,290.0,48.0,242.0
1,15,0,32,1920000.0,48,241,312,247,5,246,offset,1.0,246.0,5.0,0.0,False,295.0,48.0,247.0
1,16,1,32,1920000.0,48,256,327,292,35,291,offset,1.0,291.0,35.0,0.0,False,340.0,48.0,292.0
1,17,1,32,1920000.0,48,273,344,292,18,291,offset,1.0,291.0,18.0,0.0,False,340.0,48.0,292.0
1,18,0,32,1920000.0,48,295,366,311,15,310,offset,1.0,310.0,15.0,0.0,False,359.0,48.0,311.0
1,19,2,32,1920000.0,48,307,378,376,68,375,offset,1.0,375.0,68.0,0.0,False,424.0,48.0,376.0
1,20,2,32,1920000.0,48,323,394,382,58,381,offset,1.0,381.0,58.0,0.0,False,430.0,48.0,382.0
1,21,0,32,1920000.0,48,335,406,391,55,390,offset,1.0,390.0,55.0,0.0,False,439.0,48.0,391.0
1,22,1,32,1920000.0,48,356,427,425,68,424,offset,1.0,424.0,68.0,0.0,False,473.0,48.0,425.0
1,23,0,32,1920000.0,48,373,444,437,63,436,offset,1.0,436.0,63.0,0.0,False,485.0,48.0,437.0
1,24,1,32,1920000.0,48,397,468,457,59,456,offset,1.0,456.0,59.0,0.0,False,505.0,48.0,457.0
1,25,0,32,1920000.0,48,402,473,434,31,433,offset,1.0,433.0,31.0,0.0,False,482.0,48.0,434.0
1,26,0,32,1920000.0,48,421,492,474,52,473,offset,1.0,473.0,52.0,0.0,False,522.0,48.0,474.0
1,27,2,32,1920000.0,48,445,516,507,61,506,offset,1.0,506.0,61.0,0.0,False,555.0,48.0,507.0
1,28,2,32,1920000.0,48,457,528,521,63,520,offset,1.0,520.0,63.0,0.0,False,569.0,48.0,521.0
1,29,2,32,1920000.0,48,473,544,525,51,524,offset,1.0,524.0,51.0,0.0,False,573.0,48.0,525.0
1,30,0,32,1920000.0,48,486,557,554,67,553,offset,1.0,553.0,67.0,0.0,False,602.0,48.0,554.0
1,31,1,32,1920000.0,48,504,575,566,61,565,offset,1.0,565.0,61.0,0.0,False,614.0,48.0,566.0
1,32,0,32,1920000.0,48,520,591,584,63,583,offset,1.0,583.0,63.0,0.0,False,632.0,48.0,584.0
1,33,2,32,1920000.0,48,527,598,553,25,552,offset,1.0,552.0,25.0,0.0,False,601.0,48.0,553.0
1,34,2,32,1920000.0,48,549,620,609,59,608,offset,1.0,608.0,59.0,0.0,False,657.0,48.0,609.0
