episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,kappa,t_release,reason,r_release,t_s,k,route_to_start_steps,stale,t_f,exec_s,t_s_exec
1,0,2,32,1920000.0,48,9,80,56,46,55,offset,1.0,55.0,46.0,0.0,False,104.0,48.0,56.0
1,1,2,32,1920000.0,48,29,100,34,4,33,offset,1.0,33.0,4.0,0.0,False,82.0,48.0,34.0
1,2,2,32,1920000.0,48,41,112,46,4,45,offset,1.0,45.0,4.0,0.0,False,94.0,48.0,46.0
1,3,0,32,1920000.0,48,48,119,53,4,52,offset,1.0,52.0,4.0,0.0,False,101.0,48.0,53.0
1,4,0,32,1920000.0,48,62,133,67,4,66,offset,1.0,66.0,4.0,0.0,False,115.0,48.0,67.0
1,5,2,32,1920000.0,48,92,163,98,5,97,offset,1.0,97.0,5.0,0.0,False,146.0,48.0,98.0
1,6,2,32,1920000.0,48,100,171,108,7,107,offset,1.0,107.0,7.0,0.0,False,156.0,48.0,108.0
1,7,0,32,1920000.0,48,123,194,126,2,125,offset,1.0,125.0,2.0,0.0,False,174.0,48.0,126.0
1,8,0,32,1920000.0,48,134,205,139,4,138,offset,1.0,138.0,4.0,0.0,False,187.0,48.0,139.0
1,9,0,32,1920000.0,48,150,221,156,5,155,offset,1.0,155.0,5.0,0.0,False,204.0,48.0,156.0
1,10,0,32,1920000.0,48,159,230,165,5,164,offset,1.0,164.0,5.0,0.0,False,213.0,48.0,165.0
1,11,1,32,1920000.0,48,174,245,177,2,176,offset,1.0,176.0,2.0,0.0,False,225.0,48.0,177.0
1,12,0,32,1920000.0,48,201,272,207,5,206,offset,1.0,206.0,5.0,0.0,False,255.0,48.0,207.0
1,13,1,32,1920000.0,48,221,292,268,46,267,offset,1.0,267.0,46.0,0.0,False,316.0,48.0,268.0
1,14,0,32,1920000.0,48,227,298,296,68,295,offset,1.0,295.0,68.0,0.0,False,344.0,48.0,296.0
1,15,1,32,1920000.0,48,241,312,288,46,287,offset,1.0,287.0,46.0,0.0,False,336.0,48.0,288.0
1,16,2,32,1920000.0,48,256,327,327,70,326,offset,1.0,326.0,70.0,0.0,False,375.0,48.0,327.0
1,17,0,32,1920000.0,48,273,344,278,4,277,offset,1.0,277.0,4.0,0.0,False,326.0,48.0,278.0
1,18,1,32,1920000.0,48,295,366,361,65,360,offset,1.0,360.0,65.0,0.0,False,409.0,48.0,361.0
1,19,1,32,1920000.0,48,307,378,373,65,372,offset,1.0,372.0,65.0,0.0,False,421.0,48.0,373.0
1,20,1,32,1920000.0,48,323,394,391,67,390,offset,1.0,390.0,67.0,0.0,False,439.0,48.0,391.0
1,21,0,32,1920000.0,48,335,406,401,65,400,offset,1.0,400.0,65.0,0.0,False,449.0,48.0,401.0
1,22,0,32,1920000.0,48,356,427,403,46,402,offset,1.0,402.0,46.0,0.0,False,451.0,48.0,403.0
1,23,0,32,1920000.0,48,373,444,395,21,394,offset,1.0,394.0,21.0,0.0,False,443.0,48.0,395.0
1,24,2,32,1920000.0,48,397,468,467,69,466,offset,1.0,466.0,69.0,0.0,False,515.0,48.0,467.0
1,25,2,32,1920000.0,48,402,473,468,65,467,offset,1.0,467.0,65.0,0.0,False,516.0,48.0,468.0
1,26,2,32,1920000.0,48,421,492,469,47,468,offset,1.0,468.0,47.0,0.0,False,517.0,48.0,469.0
1,27,1,32,1920000.0,48,445,516,497,51,496,offset,1.0,496.0,51.0,0.0,False,545.0,48.0,497.0
1,28,1,32,1920000.0,48,457,528,512,54,511,offset,1.0,511.0,54.0,0.0,False,560.0,48.0,512.0
1,29,1,32,1920000.0,48,473,544,521,47,520,offset,1.0,520.0,47.0,0.0,False,569.0,48.0,521.0
1,30,1,32,1920000.0,48,486,557,508,21,507,offset,1.0,507.0,21.0,0.0,False,556.0,48.0,508.0
1,31,1,32,1920000.0,48,504,575,509,4,508,offset,1.0,508.0,4.0,0.0,False,557.0,48.0,509.0
1,32,1,32,1920000.0,48,520,591,528,7,527,offset,1.0,527.0,7.0,0.0,False,576.0,48.0,528.0
1,33,1,32,1920000.0,48,527,598,530,2,529,offset,1.0,529.0,2.0,0.0,False,578.0,48.0,530.0
1,34,0,32,1920000.0,48,549,620,555,5,554,offset,1.0,554.0,5.0,0.0,False,603.0,48.0,555.0
