episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,kappa,t_release,reason,r_release,t_s,k,route_to_start_steps,stale,t_f,exec_s,t_s_exec
1,0,1,32,1920000.0,48,9,80,25,15,24,offset,1.0,24.0,15.0,0.0,False,73.0,48.0,25.0
1,1,2,32,1920000.0,48,29,100,32,2,31,offset,1.0,31.0,2.0,0.0,False,80.0,48.0,32.0
1,2,0,32,1920000.0,48,41,112,47,5,46,offset,1.0,46.0,5.0,0.0,False,95.0,48.0,47.0
1,3,0,32,1920000.0,48,48,119,54,5,53,offset,1.0,53.0,5.0,0.0,False,102.0,48.0,54.0
1,4,1,32,1920000.0,48,62,133,121,58,120,offset,1.0,120.0,58.0,0.0,False,169.0,48.0,121.0
1,5,1,32,1920000.0,48,92,163,108,15,107,offset,1.0,107.0,15.0,0.0,False,156.0,48.0,108.0
1,6,1,32,1920000.0,48,100,171,116,15,115,offset,1.0,115.0,15.0,0.0,False,164.0,48.0,116.0
1,7,2,32,1920000.0,48,123,194,136,12,135,offset,1.0,135.0,12.0,0.0,False,184.0,48.0,136.0
1,8,0,32,1920000.0,48,134,205,197,62,196,offset,1.0,196.0,62.0,0.0,False,245.0,48.0,197.0
1,9,1,32,1920000.0,48,150,221,160,9,159,offset,1.0,159.0,9.0,0.0,False,208.0,48.0,160.0
1,10,0,32,1920000.0,48,159,230,202,42,201,offset,1.0,201.0,42.0,0.0,False,250.0,48.0,202.0
1,11,0,32,1920000.0,48,174,245,190,15,189,offset,1.0,189.0,15.0,0.0,False,238.0,48.0,190.0
1,12,1,32,1920000.0,48,201,272,264,62,263,offset,1.0,263.0,62.0,0.0,False,312.0,48.0,264.0
1,13,1,32,1920000.0,48,221,292,279,57,278,offset,1.0,278.0,57.0,0.0,False,327.0,48.0,279.0
1,14,0,32,1920000.0,48,227,298,283,55,282,offset,1.0,282.0,55.0,0.0,False,331.0,48.0,283.0
1,15,2,32,1920000.0,48,241,312,244,2,243,offset,1.0,243.0,2.0,0.0,False,292.0,48.0,244.0
1,16,0,32,1920000.0,48,256,327,294,37,293,offset,1.0,293.0,37.0,0.0,False,342.0,48.0,294.0
1,17,2,32,1920000.0,48,273,344,329,55,328,offset,1.0,328.0,55.0,0.0,False,377.0,48.0,329.0
1,18,1,32,1920000.0,48,295,366,354,58,353,offset,1.0,353.0,58.0,0.0,False,402.0,48.0,354.0
1,19,1,32,1920000.0,48,307,378,370,62,369,offset,1.0,369.0,62.0,0.0,False,418.0,48.0,370.0
1,20,1,32,1920000.0,48,323,394,365,41,364,offset,1.0,364.0,41.0,0.0,False,413.0,48.0,365.0
1,21,0,32,1920000.0,48,335,406,389,53,388,offset,1.0,388.0,53.0,0.0,False,437.0,48.0,389.0
1,22,0,32,1920000.0,48,356,427,372,15,371,offset,1.0,371.0,15.0,0.0,False,420.0,48.0,372.0
1,23,1,32,1920000.0,48,373,444,436,62,435,offset,1.0,435.0,62.0,0.0,False,484.0,48.0,436.0
1,24,2,32,1920000.0,48,397,468,463,65,462,offset,1.0,462.0,65.0,0.0,False,511.0,48.0,463.0
1,25,2,32,1920000.0,48,402,473,468,65,467,offset,1.0,467.0,65.0,0.0,False,516.0,48.0,468.0
1,26,0,32,1920000.0,48,421,492,424,2,423,offset,1.0,423.0,2.0,0.0,False,472.0,48.0,424.0
1,27,1,32,1920000.0,48,445,516,508,62,507,offset,1.0,507.0,62.0,0.0,False,556.0,48.0,508.0
1,28,1,32,1920000.0,48,457,528,520,62,519,offset,1.0,519.0,62.0,0.0,False,568.0,48.0,520.0
1,29,0,32,1920000.0,48,473,544,537,63,536,offset,1.0,536.0,63.0,0.0,False,585.0,48.0,537.0
1,30,1,32,1920000.0,48,486,557,495,8,494,offset,1.0,494.0,8.0,0.0,False,543.0,48.0,495.0
1,31,1,32,1920000.0,48,504,575,510,5,509,offset,1.0,509.0,5.0,0.0,False,558.0,48.0,510.0
1,32,1,32,1920000.0,48,520,591,523,2,522,offset,1.0,522.0,2.0,0.0,False,571.0,48.0,523.0
1,33,0,32,1920000.0,48,527,598,536,8,535,offset,1.0,535.0,8.0,0.0,False,584.0,48.0,536.0
1,34,0,32,1920000.0,48,549,620,552,2,551,offset,1.0,551.0,2.0,0.0,False,600.0,48.0,552.0
