episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,kappa,t_release,reason,r_release,t_s,k,route_to_start_steps,stale,t_f,exec_s,t_s_exec
1,0,0,32,1920000.0,48,9,80,34,24,33,offset,1.0,33.0,24.0,0.0,False,82.0,48.0,34.0
1,1,0,32,1920000.0,48,29,100,54,24,53,offset,1.0,53.0,24.0,0.0,False,102.0,48.0,54.0
1,2,0,32,1920000.0,48,41,112,66,24,65,offset,1.0,65.0,24.0,0.0,False,114.0,48.0,66.0
1,3,0,32,1920000.0,48,48,119,91,42,90,offset,1.0,90.0,42.0,0.0,False,139.0,48.0,91.0
1,4,0,32,1920000.0,48,62,133,105,42,104,offset,1.0,104.0,42.0,0.0,False,153.0,48.0,105.0
1,5,0,32,1920000.0,48,92,163,117,24,116,offset,1.0,116.0,24.0,0.0,False,165.0,48.0,117.0
1,6,0,32,1920000.0,48,100,171,143,42,142,offset,1.0,142.0,42.0,0.0,False,191.0,48.0,143.0
1,7,0,32,1920000.0,48,123,194,166,42,165,offset,1.0,165.0,42.0,0.0,False,214.0,48.0,166.0
1,8,0,32,1920000.0,48,134,205,159,24,158,offset,1.0,158.0,24.0,0.0,False,207.0,48.0,159.0
1,9,0,32,1920000.0,48,150,221,193,42,192,offset,1.0,192.0,42.0,0.0,False,241.0,48.0,193.0
1,10,0,32,1920000.0,48,159,230,208,48,207,offset,1.0,207.0,48.0,0.0,False,256.0,48.0,208.0
1,11,0,32,1920000.0,48,174,245,217,42,216,offset,1.0,216.0,42.0,0.0,False,265.0,48.0,217.0
1,12,0,32,1920000.0,48,201,272,244,42,243,offset,1.0,243.0,42.0,0.0,False,292.0,48.0,244.0
1,13,0,32,1920000.0,48,221,292,264,42,263,offset,1.0,263.0,42.0,0.0,False,312.0,48.0,264.0
1,14,0,32,1920000.0,48,227,298,270,42,269,offset,1.0,269.0,42.0,0.0,False,318.0,48.0,270.0
1,15,1,32,1920000.0,48,241,312,248,6,247,offset,1.0,247.0,6.0,0.0,False,296.0,48.0,248.0
1,16,0,32,1920000.0,48,256,327,306,49,305,offset,1.0,305.0,49.0,0.0,False,354.0,48.0,306.0
1,17,0,32,1920000.0,48,273,344,316,42,315,offset,1.0,315.0,42.0,0.0,False,364.0,48.0,316.0
1,18,0,32,1920000.0,48,295,366,320,24,319,offset,1.0,319.0,24.0,0.0,False,368.0,48.0,320.0
1,19,0,32,1920000.0,48,307,378,356,48,355,offset,1.0,355.0,48.0,0.0,False,404.0,48.0,356.0
1,20,0,32,1920000.0,48,323,394,366,42,365,offset,1.0,365.0,42.0,0.0,False,414.0,48.0,366.0
1,21,0,32,1920000.0,48,335,406,378,42,377,offset,1.0,377.0,42.0,0.0,False,426.0,48.0,378.0
1,22,0,32,1920000.0,48,356,427,405,48,404,offset,1.0,404.0,48.0,0.0,False,453.0,48.0,405.0
1,23,0,32,1920000.0,48,373,444,416,42,415,offset,1.0,415.0,42.0,0.0,False,464.0,48.0,416.0
1,24,0,32,1920000.0,48,397,468,440,42,439,offset,1.0,439.0,42.0,0.0,False,488.0,48.0,440.0
1,25,0,32,1920000.0,48,402,473,473,70,472,offset,1.0,472.0,70.0,0.0,False,521.0,48.0,473.0
1,26,0,32,1920000.0,48,421,492,464,42,463,offset,1.0,463.0,42.0,0.0,False,512.0,48.0,464.0
1,27,0,32,1920000.0,48,445,516,488,42,487,offset,1.0,487.0,42.0,0.0,False,536.0,48.0,488.0
1,28,1,32,1920000.0,48,457,528,482,24,481,offset,1.0,481.0,24.0,0.0,False,530.0,48.0,482.0
1,29,1,32,1920000.0,48,473,544,498,24,497,offset,1.0,497.0,24.0,0.0,False,546.0,48.0,498.0
1,30,1,32,1920000.0,48,486,557,511,24,510,offset,1.0,510.0,24.0,0.0,False,559.0,48.0,511.0
1,31,1,32,1920000.0,48,504,575,547,42,546,offset,1.0,546.0,42.0,0.0,False,595.0,48.0,547.0
1,32,1,32,1920000.0,48,520,591,545,24,544,offset,1.0,544.0,24.0,0.0,False,593.0,48.0,545.0
1,33,1,32,1920000.0,48,527,598,570,42,569,offset,1.0,569.0,42.0,0.0,False,618.0,48.0,570.0
1,34,1,32,1920000.0,48,549,620,592,42,591,offset,1.0,591.0,42.0,0.0,False,640.0,48.0,592.0
