episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,kappa,t_release,reason,r_release,t_s,k,route_to_start_steps,stale,t_f,exec_s,t_s_exec
1,0,2,32,1920000.0,48,9,80,56,46,55,offset,1.0,55.0,46.0,0.0,False,104.0,48.0,56.0
1,1,2,32,1920000.0,48,29,100,34,4,33,offset,1.0,33.0,4.0,0.0,False,82.0,48.0,34.0
1,2,2,32,1920000.0,48,41,112,89,47,88,offset,1.0,88.0,47.0,0.0,False,137.0,48.0,89.0
1,3,1,32,1920000.0,48,48,119,53,4,52,offset,1.0,52.0,4.0,0.0,False,101.0,48.0,53.0
1,4,0,32,1920000.0,48,62,133,67,4,66,offset,1.0,66.0,4.0,0.0,False,115.0,48.0,67.0
1,5,2,32,1920000.0,48,92,163,98,5,97,offset,1.0,97.0,5.0,0.0,False,146.0,48.0,98.0
1,6,0,32,1920000.0,48,100,171,105,4,104,offset,1.0,104.0,4.0,0.0,False,153.0,48.0,105.0
1,7,1,32,1920000.0,48,123,194,170,46,169,offset,1.0,169.0,46.0,0.0,False,218.0,48.0,170.0
1,8,1,32,1920000.0,48,134,205,139,4,138,offset,1.0,138.0,4.0,0.0,False,187.0,48.0,139.0
1,9,1,32,1920000.0,48,150,221,156,5,155,offset,1.0,155.0,5.0,0.0,False,204.0,48.0,156.0
1,10,0,32,1920000.0,48,159,230,206,46,205,offset,1.0,205.0,46.0,0.0,False,254.0,48.0,206.0
1,11,0,32,1920000.0,48,174,245,179,4,178,offset,1.0,178.0,4.0,0.0,False,227.0,48.0,179.0
1,12,1,32,1920000.0,48,201,272,209,7,208,offset,1.0,208.0,7.0,0.0,False,257.0,48.0,209.0
1,13,1,32,1920000.0,48,221,292,268,46,267,offset,1.0,267.0,46.0,0.0,False,316.0,48.0,268.0
1,14,0,32,1920000.0,48,227,298,274,46,273,offset,1.0,273.0,46.0,0.0,False,322.0,48.0,274.0
1,15,1,32,1920000.0,48,241,312,288,46,287,offset,1.0,287.0,46.0,0.0,False,336.0,48.0,288.0
1,16,0,32,1920000.0,48,256,327,304,47,303,offset,1.0,303.0,47.0,0.0,False,352.0,48.0,304.0
1,17,2,32,1920000.0,48,273,344,328,54,327,offset,1.0,327.0,54.0,0.0,False,376.0,48.0,328.0
1,18,1,32,1920000.0,48,295,366,343,47,342,offset,1.0,342.0,47.0,0.0,False,391.0,48.0,343.0
1,19,1,32,1920000.0,48,307,378,373,65,372,offset,1.0,372.0,65.0,0.0,False,421.0,48.0,373.0
1,20,1,32,1920000.0,48,323,394,371,47,370,offset,1.0,370.0,47.0,0.0,False,419.0,48.0,371.0
1,21,1,32,1920000.0,48,335,406,401,65,400,offset,1.0,400.0,65.0,0.0,False,449.0,48.0,401.0
1,22,0,32,1920000.0,48,356,427,403,46,402,offset,1.0,402.0,46.0,0.0,False,451.0,48.0,403.0
1,23,0,32,1920000.0,48,373,444,378,4,377,offset,1.0,377.0,4.0,0.0,False,426.0,48.0,378.0
1,24,0,32,1920000.0,48,397,468,444,46,443,offset,1.0,443.0,46.0,0.0,False,492.0,48.0,444.0
1,25,1,32,1920000.0,48,402,473,449,46,448,offset,1.0,448.0,46.0,0.0,False,497.0,48.0,449.0
1,26,2,32,1920000.0,48,421,492,469,47,468,offset,1.0,468.0,47.0,0.0,False,517.0,48.0,469.0
1,27,1,32,1920000.0,48,445,516,505,59,504,offset,1.0,504.0,59.0,0.0,False,553.0,48.0,505.0
1,28,2,32,1920000.0,48,457,528,463,5,462,offset,1.0,462.0,5.0,0.0,False,511.0,48.0,463.0
1,29,1,32,1920000.0,48,473,544,521,47,520,offset,1.0,520.0,47.0,0.0,False,569.0,48.0,521.0
1,30,1,32,1920000.0,48,486,557,508,21,507,offset,1.0,507.0,21.0,0.0,False,556.0,48.0,508.0
1,31,1,32,1920000.0,48,504,575,512,7,511,offset,1.0,511.0,7.0,0.0,False,560.0,48.0,512.0
1,32,1,32,1920000.0,48,520,591,523,2,522,offset,1.0,522.0,2.0,0.0,False,571.0,48.0,523.0
1,33,0,32,1920000.0,48,527,598,530,2,529,offset,1.0,529.0,2.0,0.0,False,578.0,48.0,530.0
1,34,1,32,1920000.0,48,549,620,554,4,553,offset,1.0,553.0,4.0,0.0,False,602.0,48.0,554.0
