episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,kappa,t_release,reason,r_release,t_s,k,route_to_start_steps,stale,t_f,exec_s,t_s_exec
1,0,1,32,1920000.0,48,9,80,56,46,55,offset,1.0,55.0,46.0,0.0,False,104.0,48.0,56.0
1,1,0,32,1920000.0,48,29,100,76,46,75,offset,1.0,75.0,46.0,0.0,False,124.0,48.0,76.0
1,2,1,32,1920000.0,48,41,112,111,69,110,offset,1.0,110.0,69.0,0.0,False,159.0,48.0,111.0
1,3,0,32,1920000.0,48,48,119,118,69,117,offset,1.0,117.0,69.0,0.0,False,166.0,48.0,118.0
1,4,2,32,1920000.0,48,62,133,67,4,66,offset,1.0,66.0,4.0,0.0,False,115.0,48.0,67.0
1,5,1,32,1920000.0,48,92,163,162,69,161,offset,1.0,161.0,69.0,0.0,False,210.0,48.0,162.0
1,6,0,32,1920000.0,48,100,171,147,46,146,offset,1.0,146.0,46.0,0.0,False,195.0,48.0,147.0
1,7,0,32,1920000.0,48,123,194,193,69,192,offset,1.0,192.0,69.0,0.0,False,241.0,48.0,193.0
1,8,2,32,1920000.0,48,134,205,204,69,203,offset,1.0,203.0,69.0,0.0,False,252.0,48.0,204.0
1,9,1,32,1920000.0,48,150,221,220,69,219,offset,1.0,219.0,69.0,0.0,False,268.0,48.0,220.0
1,10,0,32,1920000.0,48,159,230,229,69,228,offset,1.0,228.0,69.0,0.0,False,277.0,48.0,229.0
1,11,1,32,1920000.0,48,174,245,244,69,243,offset,1.0,243.0,69.0,0.0,False,292.0,48.0,244.0
1,12,1,32,1920000.0,48,201,272,271,69,270,offset,1.0,270.0,69.0,0.0,False,319.0,48.0,271.0
1,13,0,32,1920000.0,48,221,292,268,46,267,offset,1.0,267.0,46.0,0.0,False,316.0,48.0,268.0
1,14,2,32,1920000.0,48,227,298,297,69,296,offset,1.0,296.0,69.0,0.0,False,345.0,48.0,297.0
1,15,0,32,1920000.0,48,241,312,288,46,287,offset,1.0,287.0,46.0,0.0,False,336.0,48.0,288.0
1,16,1,32,1920000.0,48,256,327,326,69,325,offset,1.0,325.0,69.0,0.0,False,374.0,48.0,326.0
1,17,1,32,1920000.0,48,273,344,320,46,319,offset,1.0,319.0,46.0,0.0,False,368.0,48.0,320.0
1,18,0,32,1920000.0,48,295,366,342,46,341,offset,1.0,341.0,46.0,0.0,False,390.0,48.0,342.0
1,19,0,32,1920000.0,48,307,378,354,46,353,offset,1.0,353.0,46.0,0.0,False,402.0,48.0,354.0
1,20,1,32,1920000.0,48,323,394,370,46,369,offset,1.0,369.0,46.0,0.0,False,418.0,48.0,370.0
1,21,0,32,1920000.0,48,335,406,382,46,381,offset,1.0,381.0,46.0,0.0,False,430.0,48.0,382.0
1,22,2,32,1920000.0,48,356,427,403,46,402,offset,1.0,402.0,46.0,0.0,False,451.0,48.0,403.0
1,23,1,32,1920000.0,48,373,444,420,46,419,offset,1.0,419.0,46.0,0.0,False,468.0,48.0,420.0
1,24,1,32,1920000.0,48,397,468,444,46,443,offset,1.0,443.0,46.0,0.0,False,492.0,48.0,444.0
1,25,0,32,1920000.0,48,402,473,449,46,448,offset,1.0,448.0,46.0,0.0,False,497.0,48.0,449.0
1,26,1,32,1920000.0,48,421,492,468,46,467,offset,1.0,467.0,46.0,0.0,False,516.0,48.0,468.0
1,27,0,32,1920000.0,48,445,516,492,46,491,offset,1.0,491.0,46.0,0.0,False,540.0,48.0,492.0
1,28,1,32,1920000.0,48,457,528,504,46,503,offset,1.0,503.0,46.0,0.0,False,552.0,48.0,504.0
1,29,1,32,1920000.0,48,473,544,520,46,519,offset,1.0,519.0,46.0,0.0,False,568.0,48.0,520.0
1,30,0,32,1920000.0,48,486,557,533,46,532,offset,1.0,532.0,46.0,0.0,False,581.0,48.0,533.0
1,31,2,32,1920000.0,48,504,575,551,46,550,offset,1.0,550.0,46.0,0.0,False,599.0,48.0,551.0
1,32,1,32,1920000.0,48,520,591,567,46,566,offset,1.0,566.0,46.0,0.0,False,615.0,48.0,567.0
1,33,1,32,1920000.0,48,527,598,574,46,573,offset,1.0,573.0,46.0,0.0,False,622.0,48.0,574.0
1,34,1,32,1920000.0,48,549,620,596,46,595,offset,1.0,595.0,46.0,0.0,False,644.0,48.0,596.0
