episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,kappa,t_release,reason,r_release,t_s,k,route_to_start_steps,stale,t_f,exec_s,t_s_exec
1,0,1,32,1920000.0,48,9,80,33,23,32,offset,1.0,32.0,23.0,0.0,False,81.0,48.0,33.0
1,1,1,32,1920000.0,48,29,100,36,6,35,offset,1.0,35.0,6.0,0.0,False,84.0,48.0,36.0
1,2,2,32,1920000.0,48,41,112,45,3,44,offset,1.0,44.0,3.0,0.0,False,93.0,48.0,45.0
1,3,0,32,1920000.0,48,48,119,52,3,51,offset,1.0,51.0,3.0,0.0,False,100.0,48.0,52.0
1,4,0,32,1920000.0,48,62,133,115,52,114,offset,1.0,114.0,52.0,0.0,False,163.0,48.0,115.0
1,6,0,32,1920000.0,48,100,171,104,3,103,offset,1.0,103.0,3.0,0.0,False,152.0,48.0,104.0
1,7,0,32,1920000.0,48,123,194,131,7,130,offset,1.0,130.0,7.0,0.0,False,179.0,48.0,131.0
1,8,0,32,1920000.0,48,134,205,142,7,141,offset,1.0,141.0,7.0,0.0,False,190.0,48.0,142.0
1,10,2,32,1920000.0,48,159,230,184,24,183,offset,1.0,183.0,24.0,0.0,False,232.0,48.0,184.0
1,11,2,32,1920000.0,48,174,245,199,24,198,offset,1.0,198.0,24.0,0.0,False,247.0,48.0,199.0
1,13,0,32,1920000.0,48,221,292,225,3,224,offset,1.0,224.0,3.0,0.0,False,273.0,48.0,225.0
1,14,0,32,1920000.0,48,227,298,231,3,230,offset,1.0,230.0,3.0,0.0,False,279.0,48.0,231.0
1,16,0,32,1920000.0,48,256,327,281,24,280,offset,1.0,280.0,24.0,0.0,False,329.0,48.0,281.0
1,17,0,32,1920000.0,48,273,344,298,24,297,offset,1.0,297.0,24.0,0.0,False,346.0,48.0,298.0
1,18,0,32,1920000.0,48,295,366,303,7,302,offset,1.0,302.0,7.0,0.0,False,351.0,48.0,303.0
1,19,2,32,1920000.0,48,307,378,360,52,359,offset,1.0,359.0,52.0,0.0,False,408.0,48.0,360.0
1,20,2,32,1920000.0,48,323,394,376,52,375,offset,1.0,375.0,52.0,0.0,False,424.0,48.0,376.0
1,21,2,32,1920000.0,48,335,406,405,69,404,offset,1.0,404.0,69.0,0.0,False,453.0,48.0,405.0
1,22,1,32,1920000.0,48,356,427,426,69,425,offset,1.0,425.0,69.0,0.0,False,474.0,48.0,426.0
1,23,1,32,1920000.0,48,373,444,378,4,377,offset,1.0,377.0,4.0,0.0,False,426.0,48.0,378.0
1,24,1,32,1920000.0,48,397,468,401,3,400,offset,1.0,400.0,3.0,0.0,False,449.0,48.0,401.0
1,25,1,32,1920000.0,48,402,473,406,3,405,offset,1.0,405.0,3.0,0.0,False,454.0,48.0,406.0
1,27,0,32,1920000.0,48,445,516,452,6,451,offset,1.0,451.0,6.0,0.0,False,500.0,48.0,452.0
1,29,0,32,1920000.0,48,473,544,498,24,497,offset,1.0,497.0,24.0,0.0,False,546.0,48.0,498.0
1,30,0,32,1920000.0,48,486,557,556,69,555,offset,1.0,555.0,69.0,0.0,False,604.0,48.0,556.0
1,32,0,32,1920000.0,48,520,591,545,24,544,offset,1.0,544.0,24.0,0.0,False,593.0,48.0,545.0
1,33,0,32,1920000.0,48,527,598,535,7,534,offset,1.0,534.0,7.0,0.0,False,583.0,48.0,535.0
