episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,kappa,t_release,reason,r_release,t_s,k,route_to_start_steps,stale,t_f,exec_s,t_s_exec
1,10,0,32,1920000.0,48,159,230,168,8,167,offset,1.0,167.0,8.0,0.0,False,216.0,48.0,168.0
1,11,0,32,1920000.0,48,174,245,178,3,177,offset,1.0,177.0,3.0,0.0,False,226.0,48.0,178.0
1,12,1,32,1920000.0,48,201,272,272,70,271,offset,1.0,271.0,70.0,0.0,False,320.0,48.0,272.0
1,13,0,32,1920000.0,48,221,292,291,69,290,offset,1.0,290.0,69.0,0.0,False,339.0,48.0,291.0
1,14,2,32,1920000.0,48,227,298,237,9,236,offset,1.0,236.0,9.0,0.0,False,285.0,48.0,237.0
1,15,1,32,1920000.0,48,241,312,279,37,278,offset,1.0,278.0,37.0,0.0,False,327.0,48.0,279.0
1,16,2,32,1920000.0,48,256,327,327,70,326,offset,1.0,326.0,70.0,0.0,False,375.0,48.0,327.0
1,17,0,32,1920000.0,48,273,344,280,6,279,offset,1.0,279.0,6.0,0.0,False,328.0,48.0,280.0
1,18,1,32,1920000.0,48,295,366,365,69,364,offset,1.0,364.0,69.0,0.0,False,413.0,48.0,365.0
1,19,1,32,1920000.0,48,307,378,369,61,368,offset,1.0,368.0,61.0,0.0,False,417.0,48.0,369.0
1,20,0,32,1920000.0,48,323,394,393,69,392,offset,1.0,392.0,69.0,0.0,False,441.0,48.0,393.0
1,21,0,32,1920000.0,48,335,406,397,61,396,offset,1.0,396.0,61.0,0.0,False,445.0,48.0,397.0
1,22,1,32,1920000.0,48,356,427,382,25,381,offset,1.0,381.0,25.0,0.0,False,430.0,48.0,382.0
1,23,0,32,1920000.0,48,373,444,412,38,411,offset,1.0,411.0,38.0,0.0,False,460.0,48.0,412.0
1,24,2,32,1920000.0,48,397,468,462,64,461,offset,1.0,461.0,64.0,0.0,False,510.0,48.0,462.0
1,25,2,32,1920000.0,48,402,473,467,64,466,offset,1.0,466.0,64.0,0.0,False,515.0,48.0,467.0
1,26,2,32,1920000.0,48,421,492,468,46,467,offset,1.0,467.0,46.0,0.0,False,516.0,48.0,468.0
1,27,1,32,1920000.0,48,445,516,498,52,497,offset,1.0,497.0,52.0,0.0,False,546.0,48.0,498.0
1,28,0,32,1920000.0,48,457,528,517,59,516,offset,1.0,516.0,59.0,0.0,False,565.0,48.0,517.0
1,29,0,32,1920000.0,48,473,544,517,43,516,offset,1.0,516.0,43.0,0.0,False,565.0,48.0,517.0
1,30,0,32,1920000.0,48,486,557,521,34,520,offset,1.0,520.0,34.0,0.0,False,569.0,48.0,521.0
1,31,0,32,1920000.0,48,504,575,523,18,522,offset,1.0,522.0,18.0,0.0,False,571.0,48.0,523.0
1,32,0,32,1920000.0,48,520,591,541,20,540,offset,1.0,540.0,20.0,0.0,False,589.0,48.0,541.0
1,33,0,32,1920000.0,48,527,598,546,18,545,offset,1.0,545.0,18.0,0.0,False,594.0,48.0,546.0
1,34,0,32,1920000.0,48,549,620,562,12,561,offset,1.0,561.0,12.0,0.0,False,610.0,48.0,562.0
