episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,kappa,t_release,reason,r_release,t_s,k,route_to_start_steps,stale,t_f,exec_s,t_s_exec
1,3,0,32,1920000.0,48,48,119,58,9,57,offset,1.0,57.0,9.0,0.0,False,106.0,48.0,58.0
1,4,0,32,1920000.0,48,62,133,78,15,77,offset,1.0,77.0,15.0,0.0,False,126.0,48.0,78.0
1,6,0,32,1920000.0,48,100,171,106,5,105,offset,1.0,105.0,5.0,0.0,False,154.0,48.0,106.0
1,7,0,32,1920000.0,48,123,194,126,2,125,offset,1.0,125.0,2.0,0.0,False,174.0,48.0,126.0
1,8,0,32,1920000.0,48,134,205,141,6,140,offset,1.0,140.0,6.0,0.0,False,189.0,48.0,141.0
1,9,0,32,1920000.0,48,150,221,154,3,153,offset,1.0,153.0,3.0,0.0,False,202.0,48.0,154.0
1,10,0,32,1920000.0,48,159,230,174,14,173,offset,1.0,173.0,14.0,0.0,False,222.0,48.0,174.0
1,11,0,32,1920000.0,48,174,245,189,14,188,offset,1.0,188.0,14.0,0.0,False,237.0,48.0,189.0
1,14,0,32,1920000.0,48,227,298,237,9,236,offset,1.0,236.0,9.0,0.0,False,285.0,48.0,237.0
1,15,0,32,1920000.0,48,241,312,250,8,249,offset,1.0,249.0,8.0,0.0,False,298.0,48.0,250.0
1,16,0,32,1920000.0,48,256,327,270,13,269,offset,1.0,269.0,13.0,0.0,False,318.0,48.0,270.0
1,17,0,32,1920000.0,48,273,344,285,11,284,offset,1.0,284.0,11.0,0.0,False,333.0,48.0,285.0
1,18,0,32,1920000.0,48,295,366,298,2,297,offset,1.0,297.0,2.0,0.0,False,346.0,48.0,298.0
1,19,0,32,1920000.0,48,307,378,318,10,317,offset,1.0,317.0,10.0,0.0,False,366.0,48.0,318.0
1,20,0,32,1920000.0,48,323,394,333,9,332,offset,1.0,332.0,9.0,0.0,False,381.0,48.0,333.0
1,21,0,32,1920000.0,48,335,406,346,10,345,offset,1.0,345.0,10.0,0.0,False,394.0,48.0,346.0
1,22,0,32,1920000.0,48,356,427,366,9,365,offset,1.0,365.0,9.0,0.0,False,414.0,48.0,366.0
1,23,0,32,1920000.0,48,373,444,381,7,380,offset,1.0,380.0,7.0,0.0,False,429.0,48.0,381.0
1,25,0,32,1920000.0,48,402,473,414,11,413,offset,1.0,413.0,11.0,0.0,False,462.0,48.0,414.0
1,26,0,32,1920000.0,48,421,492,429,7,428,offset,1.0,428.0,7.0,0.0,False,477.0,48.0,429.0
1,28,0,32,1920000.0,48,457,528,462,4,461,offset,1.0,461.0,4.0,0.0,False,510.0,48.0,462.0
1,29,0,32,1920000.0,48,473,544,477,3,476,offset,1.0,476.0,3.0,0.0,False,525.0,48.0,477.0
1,30,0,32,1920000.0,48,486,557,494,7,493,offset,1.0,493.0,7.0,0.0,False,542.0,48.0,494.0
1,31,0,32,1920000.0,48,504,575,510,5,509,offset,1.0,509.0,5.0,0.0,False,558.0,48.0,510.0
1,32,0,32,1920000.0,48,520,591,525,4,524,offset,1.0,524.0,4.0,0.0,False,573.0,48.0,525.0
1,33,0,32,1920000.0,48,527,598,542,14,541,offset,1.0,541.0,14.0,0.0,False,590.0,48.0,542.0
1,34,0,32,1920000.0,48,549,620,558,8,557,offset,1.0,557.0,8.0,0.0,False,606.0,48.0,558.0
