episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,kappa,t_release,reason,r_release,t_s,k,route_to_start_steps,stale,t_f,exec_s,t_s_exec
1,0,0,32,1920000.0,48,9,80,59,49,58,offset,1.0,58.0,49.0,0.0,False,107.0,48.0,59.0
1,1,0,32,1920000.0,48,29,100,79,49,78,offset,1.0,78.0,49.0,0.0,False,127.0,48.0,79.0
1,2,0,32,1920000.0,48,41,112,91,49,90,offset,1.0,90.0,49.0,0.0,False,139.0,48.0,91.0
1,3,0,32,1920000.0,48,48,119,98,49,97,offset,1.0,97.0,49.0,0.0,False,146.0,48.0,98.0
1,4,0,32,1920000.0,48,62,133,112,49,111,offset,1.0,111.0,49.0,0.0,False,160.0,48.0,112.0
1,5,0,32,1920000.0,48,92,163,142,49,141,offset,1.0,141.0,49.0,0.0,False,190.0,48.0,142.0
1,6,0,32,1920000.0,48,100,171,150,49,149,offset,1.0,149.0,49.0,0.0,False,198.0,48.0,150.0
1,7,0,32,1920000.0,48,123,194,173,49,172,offset,1.0,172.0,49.0,0.0,False,221.0,48.0,173.0
1,8,0,32,1920000.0,48,134,205,184,49,183,offset,1.0,183.0,49.0,0.0,False,232.0,48.0,184.0
1,9,0,32,1920000.0,48,150,221,200,49,199,offset,1.0,199.0,49.0,0.0,False,248.0,48.0,200.0
1,10,0,32,1920000.0,48,159,230,209,49,208,offset,1.0,208.0,49.0,0.0,False,257.0,48.0,209.0
1,11,0,32,1920000.0,48,174,245,189,14,188,offset,1.0,188.0,14.0,0.0,False,237.0,48.0,189.0
1,12,1,32,1920000.0,48,201,272,251,49,250,offset,1.0,250.0,49.0,0.0,False,299.0,48.0,251.0
1,13,1,32,1920000.0,48,221,292,271,49,270,offset,1.0,270.0,49.0,0.0,False,319.0,48.0,271.0
1,14,0,32,1920000.0,48,227,298,277,49,276,offset,1.0,276.0,49.0,0.0,False,325.0,48.0,277.0
1,15,0,32,1920000.0,48,241,312,291,49,290,offset,1.0,290.0,49.0,0.0,False,339.0,48.0,291.0
1,16,1,32,1920000.0,48,256,327,306,49,305,offset,1.0,305.0,49.0,0.0,False,354.0,48.0,306.0
1,17,2,32,1920000.0,48,273,344,344,70,343,offset,1.0,343.0,70.0,0.0,False,392.0,48.0,344.0
1,18,1,32,1920000.0,48,295,366,366,70,365,offset,1.0,365.0,70.0,0.0,False,414.0,48.0,366.0
1,19,1,32,1920000.0,48,307,378,357,49,356,offset,1.0,356.0,49.0,0.0,False,405.0,48.0,357.0
1,20,1,32,1920000.0,48,323,394,394,70,393,offset,1.0,393.0,70.0,0.0,False,442.0,48.0,394.0
1,21,0,32,1920000.0,48,335,406,385,49,384,offset,1.0,384.0,49.0,0.0,False,433.0,48.0,385.0
1,22,0,32,1920000.0,48,356,427,406,49,405,offset,1.0,405.0,49.0,0.0,False,454.0,48.0,406.0
1,23,0,32,1920000.0,48,373,444,426,52,425,offset,1.0,425.0,52.0,0.0,False,474.0,48.0,426.0
1,24,2,32,1920000.0,48,397,468,468,70,467,offset,1.0,467.0,70.0,0.0,False,516.0,48.0,468.0
1,25,2,32,1920000.0,48,402,473,470,67,469,offset,1.0,469.0,67.0,0.0,False,518.0,48.0,470.0
1,26,1,32,1920000.0,48,421,492,471,49,470,offset,1.0,470.0,49.0,0.0,False,519.0,48.0,471.0
1,27,1,32,1920000.0,48,445,516,516,70,515,offset,1.0,515.0,70.0,0.0,False,564.0,48.0,516.0
1,28,1,32,1920000.0,48,457,528,507,49,506,offset,1.0,506.0,49.0,0.0,False,555.0,48.0,507.0
1,29,1,32,1920000.0,48,473,544,523,49,522,offset,1.0,522.0,49.0,0.0,False,571.0,48.0,523.0
1,30,1,32,1920000.0,48,486,557,536,49,535,offset,1.0,535.0,49.0,0.0,False,584.0,48.0,536.0
1,31,1,32,1920000.0,48,504,575,554,49,553,offset,1.0,553.0,49.0,0.0,False,602.0,48.0,554.0
1,32,0,32,1920000.0,48,520,591,570,49,569,offset,1.0,569.0,49.0,0.0,False,618.0,48.0,570.0
1,33,0,32,1920000.0,48,527,598,558,30,557,offset,1.0,557.0,30.0,0.0,False,606.0,48.0,558.0
1,34,2,32,1920000.0,48,549,620,620,70,619,offset,1.0,619.0,70.0,0.0,False,668.0,48.0,620.0
