episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,kappa,t_release,reason,r_release,t_s,k,route_to_start_steps,stale,t_f,exec_s,t_s_exec
1,2,2,32,1920000.0,48,41,112,107,65,106,offset,1.0,106.0,65.0,0.0,False,155.0,48.0,107.0
1,3,0,32,1920000.0,48,48,119,114,65,113,offset,1.0,113.0,65.0,0.0,False,162.0,48.0,114.0
1,4,2,32,1920000.0,48,62,133,122,59,121,offset,1.0,121.0,59.0,0.0,False,170.0,48.0,122.0
1,5,0,32,1920000.0,48,92,163,151,58,150,offset,1.0,150.0,58.0,0.0,False,199.0,48.0,151.0
1,6,0,32,1920000.0,48,100,171,162,61,161,offset,1.0,161.0,61.0,0.0,False,210.0,48.0,162.0
1,7,0,32,1920000.0,48,123,194,176,52,175,offset,1.0,175.0,52.0,0.0,False,224.0,48.0,176.0
1,8,0,32,1920000.0,48,134,205,179,44,178,offset,1.0,178.0,44.0,0.0,False,227.0,48.0,179.0
1,9,0,32,1920000.0,48,150,221,188,37,187,offset,1.0,187.0,37.0,0.0,False,236.0,48.0,188.0
1,15,0,32,1920000.0,48,241,312,304,62,303,offset,1.0,303.0,62.0,0.0,False,352.0,48.0,304.0
1,16,1,32,1920000.0,48,256,327,285,28,284,offset,1.0,284.0,28.0,0.0,False,333.0,48.0,285.0
1,17,2,32,1920000.0,48,273,344,335,61,334,offset,1.0,334.0,61.0,0.0,False,383.0,48.0,335.0
1,18,2,32,1920000.0,48,295,366,366,70,365,offset,1.0,365.0,70.0,0.0,False,414.0,48.0,366.0
1,19,1,32,1920000.0,48,307,378,376,68,375,offset,1.0,375.0,68.0,0.0,False,424.0,48.0,376.0
1,20,2,32,1920000.0,48,323,394,394,70,393,offset,1.0,393.0,70.0,0.0,False,442.0,48.0,394.0
1,21,2,32,1920000.0,48,335,406,406,70,405,offset,1.0,405.0,70.0,0.0,False,454.0,48.0,406.0
1,22,1,32,1920000.0,48,356,427,427,70,426,offset,1.0,426.0,70.0,0.0,False,475.0,48.0,427.0
1,23,1,32,1920000.0,48,373,444,439,65,438,offset,1.0,438.0,65.0,0.0,False,487.0,48.0,439.0
1,24,1,32,1920000.0,48,397,468,454,56,453,offset,1.0,453.0,56.0,0.0,False,502.0,48.0,454.0
1,25,0,32,1920000.0,48,402,473,455,52,454,offset,1.0,454.0,52.0,0.0,False,503.0,48.0,455.0
1,26,0,32,1920000.0,48,421,492,460,38,459,offset,1.0,459.0,38.0,0.0,False,508.0,48.0,460.0
1,27,0,32,1920000.0,48,445,516,475,29,474,offset,1.0,474.0,29.0,0.0,False,523.0,48.0,475.0
1,28,1,32,1920000.0,48,457,528,526,68,525,offset,1.0,525.0,68.0,0.0,False,574.0,48.0,526.0
1,29,0,32,1920000.0,48,473,544,537,63,536,offset,1.0,536.0,63.0,0.0,False,585.0,48.0,537.0
1,30,2,32,1920000.0,48,486,557,554,67,553,offset,1.0,553.0,67.0,0.0,False,602.0,48.0,554.0
1,31,2,32,1920000.0,48,504,575,565,60,564,offset,1.0,564.0,60.0,0.0,False,613.0,48.0,565.0
1,32,1,32,1920000.0,48,520,591,591,70,590,offset,1.0,590.0,70.0,0.0,False,639.0,48.0,591.0
1,33,1,32,1920000.0,48,527,598,598,70,597,offset,1.0,597.0,70.0,0.0,False,646.0,48.0,598.0
1,34,0,32,1920000.0,48,549,620,620,70,619,offset,1.0,619.0,70.0,0.0,False,668.0,48.0,620.0
