episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,kappa,t_release,reason,r_release,t_s,k,route_to_start_steps,stale,t_f,exec_s,t_s_exec
1,4,0,32,1920000.0,48,62,133,131,68,130,offset,1.0,130.0,68.0,0.0,False,179.0,48.0,131.0
1,5,0,32,1920000.0,48,92,163,133,40,132,offset,1.0,132.0,40.0,0.0,False,181.0,48.0,133.0
1,6,0,32,1920000.0,48,100,171,136,35,135,offset,1.0,135.0,35.0,0.0,False,184.0,48.0,136.0
1,8,0,32,1920000.0,48,134,205,136,1,135,offset,1.0,135.0,1.0,0.0,False,184.0,48.0,136.0
1,9,0,32,1920000.0,48,150,221,154,3,153,offset,1.0,153.0,3.0,0.0,False,202.0,48.0,154.0
1,10,2,32,1920000.0,48,159,230,230,70,229,offset,1.0,229.0,70.0,0.0,False,278.0,48.0,230.0
1,11,2,32,1920000.0,48,174,245,242,67,241,offset,1.0,241.0,67.0,0.0,False,290.0,48.0,242.0
1,12,1,32,1920000.0,48,201,272,270,68,269,offset,1.0,269.0,68.0,0.0,False,318.0,48.0,270.0
1,13,0,32,1920000.0,48,221,292,291,69,290,offset,1.0,290.0,69.0,0.0,False,339.0,48.0,291.0
1,14,0,32,1920000.0,48,227,298,296,68,295,offset,1.0,295.0,68.0,0.0,False,344.0,48.0,296.0
1,15,0,32,1920000.0,48,241,312,304,62,303,offset,1.0,303.0,62.0,0.0,False,352.0,48.0,304.0
1,16,0,32,1920000.0,48,256,327,321,64,320,offset,1.0,320.0,64.0,0.0,False,369.0,48.0,321.0
1,17,0,32,1920000.0,48,273,344,322,48,321,offset,1.0,321.0,48.0,0.0,False,370.0,48.0,322.0
1,18,0,32,1920000.0,48,295,366,346,50,345,offset,1.0,345.0,50.0,0.0,False,394.0,48.0,346.0
1,19,0,32,1920000.0,48,307,378,347,39,346,offset,1.0,346.0,39.0,0.0,False,395.0,48.0,347.0
1,20,0,32,1920000.0,48,323,394,347,23,346,offset,1.0,346.0,23.0,0.0,False,395.0,48.0,347.0
1,21,0,32,1920000.0,48,335,406,348,12,347,offset,1.0,347.0,12.0,0.0,False,396.0,48.0,348.0
1,34,2,32,1920000.0,48,549,620,620,70,619,offset,1.0,619.0,70.0,0.0,False,668.0,48.0,620.0
