episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,kappa,t_release,reason,r_release,t_s,k,route_to_start_steps,stale,t_f,exec_s,t_s_exec
1,0,1,32,1920000.0,48,9,80,80,70,79,offset,1.0,79.0,70.0,0.0,False,128.0,48.0,80.0
1,1,0,32,1920000.0,48,29,100,98,68,97,offset,1.0,97.0,68.0,0.0,False,146.0,48.0,98.0
1,2,2,32,1920000.0,48,41,112,108,66,107,offset,1.0,107.0,66.0,0.0,False,156.0,48.0,108.0
1,3,1,32,1920000.0,48,48,119,64,15,63,offset,1.0,63.0,15.0,0.0,False,112.0,48.0,64.0
1,4,1,32,1920000.0,48,62,133,128,65,127,offset,1.0,127.0,65.0,0.0,False,176.0,48.0,128.0
1,5,0,32,1920000.0,48,92,163,147,54,146,offset,1.0,146.0,54.0,0.0,False,195.0,48.0,147.0
1,6,0,32,1920000.0,48,100,171,161,60,160,offset,1.0,160.0,60.0,0.0,False,209.0,48.0,161.0
1,7,1,32,1920000.0,48,123,194,176,52,175,offset,1.0,175.0,52.0,0.0,False,224.0,48.0,176.0
1,8,0,32,1920000.0,48,134,205,195,60,194,offset,1.0,194.0,60.0,0.0,False,243.0,48.0,195.0
1,9,0,32,1920000.0,48,150,221,209,58,208,offset,1.0,208.0,58.0,0.0,False,257.0,48.0,209.0
1,10,1,32,1920000.0,48,159,230,224,64,223,offset,1.0,223.0,64.0,0.0,False,272.0,48.0,224.0
1,11,0,32,1920000.0,48,174,245,243,68,242,offset,1.0,242.0,68.0,0.0,False,291.0,48.0,243.0
1,12,0,32,1920000.0,48,201,272,257,55,256,offset,1.0,256.0,55.0,0.0,False,305.0,48.0,257.0
1,13,0,32,1920000.0,48,221,292,291,69,290,offset,1.0,290.0,69.0,0.0,False,339.0,48.0,291.0
1,14,1,32,1920000.0,48,227,298,272,44,271,offset,1.0,271.0,44.0,0.0,False,320.0,48.0,272.0
1,15,0,32,1920000.0,48,241,312,305,63,304,offset,1.0,304.0,63.0,0.0,False,353.0,48.0,305.0
1,16,1,32,1920000.0,48,256,327,320,63,319,offset,1.0,319.0,63.0,0.0,False,368.0,48.0,320.0
1,17,0,32,1920000.0,48,273,344,339,65,338,offset,1.0,338.0,65.0,0.0,False,387.0,48.0,339.0
1,18,0,32,1920000.0,48,295,366,353,57,352,offset,1.0,352.0,57.0,0.0,False,401.0,48.0,353.0
1,19,1,32,1920000.0,48,307,378,368,60,367,offset,1.0,367.0,60.0,0.0,False,416.0,48.0,368.0
1,20,0,32,1920000.0,48,323,394,387,63,386,offset,1.0,386.0,63.0,0.0,False,435.0,48.0,387.0
1,21,0,32,1920000.0,48,335,406,401,65,400,offset,1.0,400.0,65.0,0.0,False,449.0,48.0,401.0
1,22,1,32,1920000.0,48,356,427,416,59,415,offset,1.0,415.0,59.0,0.0,False,464.0,48.0,416.0
1,23,0,32,1920000.0,48,373,444,435,61,434,offset,1.0,434.0,61.0,0.0,False,483.0,48.0,435.0
1,24,0,32,1920000.0,48,397,468,449,51,448,offset,1.0,448.0,51.0,0.0,False,497.0,48.0,449.0
1,25,1,32,1920000.0,48,402,473,464,61,463,offset,1.0,463.0,61.0,0.0,False,512.0,48.0,464.0
1,26,0,32,1920000.0,48,421,492,483,61,482,offset,1.0,482.0,61.0,0.0,False,531.0,48.0,483.0
1,27,0,32,1920000.0,48,445,516,497,51,496,offset,1.0,496.0,51.0,0.0,False,545.0,48.0,497.0
1,28,1,32,1920000.0,48,457,528,512,54,511,offset,1.0,511.0,54.0,0.0,False,560.0,48.0,512.0
1,29,0,32,1920000.0,48,473,544,531,57,530,offset,1.0,530.0,57.0,0.0,False,579.0,48.0,531.0
1,30,0,32,1920000.0,48,486,557,545,58,544,offset,1.0,544.0,58.0,0.0,False,593.0,48.0,545.0
1,31,1,32,1920000.0,48,504,575,560,55,559,offset,1.0,559.0,55.0,0.0,False,608.0,48.0,560.0
1,32,0,32,1920000.0,48,520,591,591,70,590,offset,1.0,590.0,70.0,0.0,False,639.0,48.0,591.0
1,33,0,32,1920000.0,48,527,598,598,70,597,offset,1.0,597.0,70.0,0.0,False,646.0,48.0,598.0
1,34,1,32,1920000.0,48,549,620,608,58,607,offset,1.0,607.0,58.0,0.0,False,656.0,48.0,608.0
