episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,kappa,t_release,reason,r_release,t_s,k,route_to_start_steps,stale,t_f,exec_s,t_s_exec
1,0,1,32,1920000.0,48,9,80,74,64,73,offset,1.0,73.0,64.0,0.0,False,122.0,48.0,74.0
1,1,1,32,1920000.0,48,29,100,34,4,33,offset,1.0,33.0,4.0,0.0,False,82.0,48.0,34.0
1,2,0,32,1920000.0,48,41,112,43,1,42,offset,1.0,42.0,1.0,0.0,False,91.0,48.0,43.0
1,3,0,32,1920000.0,48,48,119,107,58,106,offset,1.0,106.0,58.0,0.0,False,155.0,48.0,107.0
1,4,1,32,1920000.0,48,62,133,133,70,132,offset,1.0,132.0,70.0,0.0,False,181.0,48.0,133.0
1,5,1,32,1920000.0,48,92,163,163,70,162,offset,1.0,162.0,70.0,0.0,False,211.0,48.0,163.0
1,6,0,32,1920000.0,48,100,171,163,62,162,offset,1.0,162.0,62.0,0.0,False,211.0,48.0,163.0
1,7,0,32,1920000.0,48,123,194,194,70,193,offset,1.0,193.0,70.0,0.0,False,242.0,48.0,194.0
1,8,1,32,1920000.0,48,134,205,194,59,193,offset,1.0,193.0,59.0,0.0,False,242.0,48.0,194.0
1,9,2,32,1920000.0,48,150,221,167,16,166,offset,1.0,166.0,16.0,0.0,False,215.0,48.0,167.0
1,10,1,32,1920000.0,48,159,230,168,8,167,offset,1.0,167.0,8.0,0.0,False,216.0,48.0,168.0
1,11,1,32,1920000.0,48,174,245,244,69,243,offset,1.0,243.0,69.0,0.0,False,292.0,48.0,244.0
1,12,0,32,1920000.0,48,201,272,267,65,266,offset,1.0,266.0,65.0,0.0,False,315.0,48.0,267.0
1,13,1,32,1920000.0,48,221,292,292,70,291,offset,1.0,291.0,70.0,0.0,False,340.0,48.0,292.0
1,14,0,32,1920000.0,48,227,298,296,68,295,offset,1.0,295.0,68.0,0.0,False,344.0,48.0,296.0
1,15,1,32,1920000.0,48,241,312,310,68,309,offset,1.0,309.0,68.0,0.0,False,358.0,48.0,310.0
1,16,0,32,1920000.0,48,256,327,325,68,324,offset,1.0,324.0,68.0,0.0,False,373.0,48.0,325.0
1,17,1,32,1920000.0,48,273,344,340,66,339,offset,1.0,339.0,66.0,0.0,False,388.0,48.0,340.0
1,18,1,32,1920000.0,48,295,366,364,68,363,offset,1.0,363.0,68.0,0.0,False,412.0,48.0,364.0
1,19,0,32,1920000.0,48,307,378,376,68,375,offset,1.0,375.0,68.0,0.0,False,424.0,48.0,376.0
1,20,0,32,1920000.0,48,323,394,373,49,372,offset,1.0,372.0,49.0,0.0,False,421.0,48.0,373.0
1,21,1,32,1920000.0,48,335,406,401,65,400,offset,1.0,400.0,65.0,0.0,False,449.0,48.0,401.0
1,22,0,32,1920000.0,48,356,427,427,70,426,offset,1.0,426.0,70.0,0.0,False,475.0,48.0,427.0
1,23,1,32,1920000.0,48,373,444,443,69,442,offset,1.0,442.0,69.0,0.0,False,491.0,48.0,443.0
1,24,0,32,1920000.0,48,397,468,456,58,455,offset,1.0,455.0,58.0,0.0,False,504.0,48.0,456.0
1,25,1,32,1920000.0,48,402,473,472,69,471,offset,1.0,471.0,69.0,0.0,False,520.0,48.0,472.0
1,26,1,32,1920000.0,48,421,492,490,68,489,offset,1.0,489.0,68.0,0.0,False,538.0,48.0,490.0
1,27,0,32,1920000.0,48,445,516,515,69,514,offset,1.0,514.0,69.0,0.0,False,563.0,48.0,515.0
1,28,1,32,1920000.0,48,457,528,527,69,526,offset,1.0,526.0,69.0,0.0,False,575.0,48.0,527.0
1,29,0,32,1920000.0,48,473,544,544,70,543,offset,1.0,543.0,70.0,0.0,False,592.0,48.0,544.0
1,30,1,32,1920000.0,48,486,557,554,67,553,offset,1.0,553.0,67.0,0.0,False,602.0,48.0,554.0
1,31,0,32,1920000.0,48,504,575,565,60,564,offset,1.0,564.0,60.0,0.0,False,613.0,48.0,565.0
1,32,0,32,1920000.0,48,520,591,590,69,589,offset,1.0,589.0,69.0,0.0,False,638.0,48.0,590.0
1,33,1,32,1920000.0,48,527,598,598,70,597,offset,1.0,597.0,70.0,0.0,False,646.0,48.0,598.0
1,34,0,32,1920000.0,48,549,620,613,63,612,offset,1.0,612.0,63.0,0.0,False,661.0,48.0,613.0
