episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,kappa,t_release,reason,r_release,t_s,k,route_to_start_steps,stale,t_f,exec_s,t_s_exec
1,3,0,32,1920000.0,48,48,119,78,29,77,offset,1.0,77.0,29.0,0.0,False,126.0,48.0,78.0
1,7,0,32,1920000.0,48,123,194,126,2,125,offset,1.0,125.0,2.0,0.0,False,174.0,48.0,126.0
1,8,1,32,1920000.0,48,134,205,149,14,148,offset,1.0,148.0,14.0,0.0,False,197.0,48.0,149.0
1,10,0,32,1920000.0,48,159,230,199,39,198,offset,1.0,198.0,39.0,0.0,False,247.0,48.0,199.0
1,12,0,32,1920000.0,48,201,272,223,21,222,offset,1.0,222.0,21.0,0.0,False,271.0,48.0,223.0
1,13,0,32,1920000.0,48,221,292,247,25,246,offset,1.0,246.0,25.0,0.0,False,295.0,48.0,247.0
1,14,0,32,1920000.0,48,227,298,271,43,270,offset,1.0,270.0,43.0,0.0,False,319.0,48.0,271.0
1,15,0,32,1920000.0,48,241,312,295,53,294,offset,1.0,294.0,53.0,0.0,False,343.0,48.0,295.0
1,17,0,32,1920000.0,48,273,344,343,69,342,offset,1.0,342.0,69.0,0.0,False,391.0,48.0,343.0
1,18,1,32,1920000.0,48,295,366,305,9,304,offset,1.0,304.0,9.0,0.0,False,353.0,48.0,305.0
1,19,1,32,1920000.0,48,307,378,353,45,352,offset,1.0,352.0,45.0,0.0,False,401.0,48.0,353.0
1,20,0,32,1920000.0,48,323,394,391,67,390,offset,1.0,390.0,67.0,0.0,False,439.0,48.0,391.0
1,21,1,32,1920000.0,48,335,406,401,65,400,offset,1.0,400.0,65.0,0.0,False,449.0,48.0,401.0
1,22,0,32,1920000.0,48,356,427,427,70,426,offset,1.0,426.0,70.0,0.0,False,475.0,48.0,427.0
1,23,1,32,1920000.0,48,373,444,444,70,443,offset,1.0,443.0,70.0,0.0,False,492.0,48.0,444.0
1,24,0,32,1920000.0,48,397,468,468,70,467,offset,1.0,467.0,70.0,0.0,False,516.0,48.0,468.0
1,25,0,32,1920000.0,48,402,473,473,70,472,offset,1.0,472.0,70.0,0.0,False,521.0,48.0,473.0
1,26,1,32,1920000.0,48,421,492,492,70,491,offset,1.0,491.0,70.0,0.0,False,540.0,48.0,492.0
1,27,0,32,1920000.0,48,445,516,516,70,515,offset,1.0,515.0,70.0,0.0,False,564.0,48.0,516.0
1,28,0,32,1920000.0,48,457,528,528,70,527,offset,1.0,527.0,70.0,0.0,False,576.0,48.0,528.0
1,29,1,32,1920000.0,48,473,544,540,66,539,offset,1.0,539.0,66.0,0.0,False,588.0,48.0,540.0
1,30,0,32,1920000.0,48,486,557,557,70,556,offset,1.0,556.0,70.0,0.0,False,605.0,48.0,557.0
1,31,0,32,1920000.0,48,504,575,575,70,574,offset,1.0,574.0,70.0,0.0,False,623.0,48.0,575.0
1,32,1,32,1920000.0,48,520,591,588,67,587,offset,1.0,587.0,67.0,0.0,False,636.0,48.0,588.0
1,33,0,32,1920000.0,48,527,598,598,70,597,offset,1.0,597.0,70.0,0.0,False,646.0,48.0,598.0
1,34,0,32,1920000.0,48,549,620,620,70,619,offset,1.0,619.0,70.0,0.0,False,668.0,48.0,620.0
